Date,Open,High,Low,Close,Volume,Change
2024-12-02,72500,72700,70300,71400,602230,-0.005571030640668551
2024-12-03,72400,74600,71600,73600,856814,0.03081232492997188
2024-12-04,71100,74000,70400,72000,820898,-0.021739130434782594
2024-12-05,71400,73900,71300,73100,519155,0.015277777777777724
2024-12-06,73700,73700,70500,72400,851931,-0.009575923392612817
2024-12-09,71200,73400,71000,72100,821600,-0.004143646408839796
2024-12-10,73200,74000,72200,73500,639925,0.01941747572815533
2024-12-11,73300,77900,72600,74100,968278,0.008163265306122547
2024-12-12,73700,74700,69300,70300,1737597,-0.05128205128205132
2024-12-13,70500,72900,70500,72000,633655,0.024182076813655806
2024-12-16,72600,75300,71600,73700,866734,0.023611111111111027
2024-12-17,73800,73900,71400,71400,525294,-0.031207598371777445
2024-12-18,71800,72100,70800,71400,477379,0.0
2024-12-19,70200,71300,69700,70200,589052,-0.01680672268907568
2024-12-20,70200,72700,68900,69600,742669,-0.008547008547008517
2024-12-23,70400,71300,67600,67600,796851,-0.028735632183908066
2024-12-24,68000,69800,66300,66700,867146,-0.013313609467455634
2024-12-26,66700,68000,66000,66000,875077,-0.010494752623688153
2024-12-27,67000,71300,65500,70300,1429918,0.06515151515151518
2024-12-30,69800,73300,69400,73100,891957,0.03982930298719767
2025-01-02,73100,75000,72100,73400,619817,0.004103967168262557
2025-01-03,73400,76800,73100,75700,982169,0.03133514986376018
2025-01-06,75700,78300,75300,77200,819859,0.01981505944517825
2025-01-07,76900,79700,76100,78900,911368,0.022020725388601115
2025-01-08,78600,81300,77600,80000,1067627,0.013941698352344822
2025-01-09,79700,81300,78300,79000,881125,-0.012499999999999956
2025-01-10,78300,81100,78300,80300,660441,0.016455696202531733
2025-01-13,80300,82100,77100,78200,1097327,-0.026151930261519296
2025-01-14,78500,80200,77700,79400,696416,0.01534526854219953
2025-01-15,84000,84500,73100,74700,3976896,-0.05919395465994959
2025-01-16,74800,80400,74700,79000,1573977,0.05756358768406966
2025-01-17,79000,79200,77200,77900,632290,-0.013924050632911356
2025-01-20,78100,79000,77100,77100,462952,-0.010269576379974277
2025-01-21,77300,80900,76700,80300,794567,0.04150453955901434
2025-01-22,79800,81400,79600,79600,668716,-0.008717310087173136
2025-01-23,79300,80500,78700,80400,422155,0.01005025125628145
2025-01-24,79100,80400,74700,79100,1075796,-0.016169154228855676
2025-01-31,77000,81200,77000,80400,927124,0.01643489254108732
