Date,Open,High,Low,Close,Volume,Change
2024-12-02,31275,31816,30834,30895,275789,0.0
2024-12-03,30915,31856,30715,31496,355367,0.019452985920051846
2024-12-04,30494,31836,30314,31656,351856,0.005080010160020354
2024-12-05,31556,32817,30775,32357,467032,0.022144301238311792
2024-12-06,32416,32416,30834,31876,383100,-0.014865407794294905
2024-12-09,31135,31435,30434,30655,341668,-0.03830468063747017
2024-12-10,31095,31776,30775,31196,365141,0.017648018267819365
2024-12-11,31075,33218,31075,33118,483393,0.06161046287985639
2024-12-12,33778,34719,33478,34219,1004853,0.033244761157074754
2024-12-13,34860,35240,34259,34560,466363,0.009965223998363415
2024-12-16,35139,35620,33678,35360,578039,0.02314814814814814
2024-12-17,35920,38163,35640,37783,1247986,0.06852375565610869
2024-12-18,37623,38985,37062,38885,644931,0.02916655638779342
2024-12-19,37363,38444,37042,38024,512944,-0.022142214221422152
2024-12-20,38003,38744,36922,38104,427943,0.002103934357247983
2024-12-23,38444,39625,37763,38925,485146,0.021546294352299045
2024-12-24,39104,40546,38924,40046,555015,0.028798972382787502
2024-12-26,40346,40346,38103,39025,462947,-0.02549567996803681
2024-12-27,38203,39244,38103,38444,379919,-0.014887892376681644
2024-12-30,38123,38844,37883,38364,201331,-0.0020809489127041614
2025-01-02,38043,40245,38043,39645,551964,0.03339067876133872
2025-01-03,39645,41948,39044,41848,715704,0.05556816748644211
2025-01-06,42648,43149,41647,41848,484677,0.0
2025-01-07,42549,42749,40647,40647,420222,-0.028699101510227476
2025-01-08,40005,41347,39925,40947,364451,0.007380618495830049
2025-01-09,40746,41047,40045,41047,297499,0.0024421813563875183
2025-01-10,40546,41147,39826,39826,276314,-0.029746388286598258
2025-01-13,39244,40345,39144,39625,230602,-0.005046954250991775
2025-01-14,39685,39845,38043,38424,445293,-0.03030914826498421
2025-01-15,38604,39145,38143,39105,252307,0.01772329793878824
2025-01-16,39645,40025,39244,39465,271829,0.009205983889528202
2025-01-17,39725,41848,39565,41848,696796,0.06038261750918528
2025-01-20,41748,41748,40746,40847,195128,-0.023919900592620946
2025-01-21,41847,43850,41647,43750,739386,0.07107009082674365
2025-01-22,44250,44750,43349,43950,516490,0.004571428571428671
2025-01-23,44450,44650,42548,42949,440214,-0.022775881683731458
2025-01-24,43350,45052,43150,43150,374400,0.00467996926587344
2025-01-31,41046,43649,40045,42949,436982,-0.0046581691772885625
2025-02-03,40846,42248,40846,41748,420756,-0.027963398449323607
2025-02-04,42949,42949,40446,40547,347291,-0.02876784516623554
2025-02-05,40546,41648,40046,40647,209177,0.002466273707055988
2025-02-06,41347,43550,41247,43250,625434,0.06403916648215113
2025-02-07,43650,43950,42349,43150,385302,-0.0023121387283236983
2025-02-10,42048,45652,41847,45352,586079,0.051031286210892146
2025-02-11,45852,47253,44650,45552,765756,0.004409948844593448
2025-02-12,45552,46653,44651,46053,346238,0.010998419388830394
2025-02-13,46453,47054,45452,46153,452285,0.002171411200138973
2025-02-14,46153,46353,44651,45052,418329,-0.02385543734968476
2025-02-17,45051,46152,44450,45452,349773,0.008878629139660754
2025-02-18,45352,46854,45052,46754,347506,0.02864560415383255
2025-02-19,46053,47154,45852,46053,337298,-0.014993369551268287
2025-02-20,45452,46052,44651,45252,328763,-0.017393003713113142
2025-02-21,45251,45852,44050,45552,274436,0.006629541235746439
2025-02-24,44651,45052,43850,45052,258879,-0.010976466455918543
2025-02-25,44050,44450,43049,43750,313945,-0.02889993784959599
2025-02-26,43649,44550,43349,43850,205131,0.0022857142857142243
2025-02-27,44350,45651,43649,43950,334526,0.0022805017103761926
2025-02-28,42448,42949,41347,41748,485706,-0.05010238907849829
2025-03-04,40546,41347,40026,40747,461958,-0.023977196512407817
2025-03-05,41146,41647,40746,41247,212273,0.012270842025179807
2025-03-06,41648,41748,37903,38064,967072,-0.07716924867263075
2025-03-07,37983,39926,37603,39746,489282,0.04418873476250518
2025-03-10,39364,39725,38744,38744,245764,-0.025210084033613467
2025-03-11,37703,38884,37082,38564,479348,-0.004645880652488166
2025-03-12,39685,42949,39545,42349,862878,0.09814853230992626
2025-03-13,42849,43550,41347,41548,527902,-0.018914260076979383
2025-03-14,41748,44050,41748,43450,510577,0.04577837681717534
2025-03-17,43850,44651,43350,44051,447320,0.013831990794016091
2025-03-18,43650,44050,42148,42549,375169,-0.034096842296429175
2025-03-19,42048,43450,41948,42349,349034,-0.004700462995605115
2025-03-20,42849,42949,41147,41448,452299,-0.021275590923044208
2025-03-21,41647,42948,41447,42248,377496,0.01930129318664342
2025-03-24,42148,42348,41046,41247,171131,-0.023693429274758593
2025-03-25,41247,41647,40025,40246,257635,-0.024268431643513444
2025-03-26,40646,40746,39504,40446,282786,0.004969437956567013
2025-03-27,39665,40345,39244,39645,313890,-0.019804183355585203
2025-03-28,39365,39405,38724,39045,217142,-0.015134317063942526
2025-03-31,38644,38644,37322,37663,425111,-0.03539505698552947
2025-04-01,38083,38684,37603,38464,275015,0.021267557018824768
2025-04-02,38944,38944,37742,38624,188925,0.004159733777038266
2025-04-03,37442,38924,37442,38604,257166,-0.0005178127589063886
2025-04-04,37563,39104,36762,37423,374560,-0.030592684695886385
2025-04-07,34800,36522,34319,34740,488143,-0.07169387809635785
2025-04-08,35920,36381,35039,35220,275300,0.013816925734024155
2025-04-09,34880,35501,34479,34500,422964,-0.020442930153321992
2025-04-10,0,0,0,34500,0,0.0
2025-04-11,0,0,0,34500,0,0.0
2025-04-14,0,0,0,34500,0,0.0
2025-04-15,0,0,0,34500,0,0.0
2025-04-16,0,0,0,34500,0,0.0
2025-04-17,0,0,0,34500,0,0.0
2025-04-18,0,0,0,34500,0,0.0
2025-04-21,0,0,0,34500,0,0.0
2025-04-22,0,0,0,34500,0,0.0
2025-04-23,0,0,0,34500,0,0.0
2025-04-24,0,0,0,34500,0,0.0
2025-04-25,39900,40600,36050,38400,2000130,0.11304347826086958
2025-04-28,37900,37900,36050,36050,541408,-0.06119791666666663
2025-04-29,36450,36650,35750,36000,338995,-0.001386962552011095
2025-04-30,36200,36650,35650,36100,359204,0.002777777777777768
2025-05-02,36300,37350,35950,36750,321657,0.018005540166204925
