Date,Open,High,Low,Close,Volume,Change
2024-12-02,75538,77206,73576,74165,832857,-0.006563525550867366
2024-12-03,74851,75342,71810,72399,1009789,-0.023811771051034825
2024-12-04,71025,72300,69651,69946,1082206,-0.03388168344866638
2024-12-05,70633,71123,68082,68377,724364,-0.02243159008377893
2024-12-06,68965,70437,67101,69456,1135186,0.01578015999532001
2024-12-09,68670,71515,67689,68769,1298592,-0.009891154111955736
2024-12-10,70829,71222,69652,70241,820139,0.021404993529061
2024-12-11,70240,72300,69259,69750,813788,-0.006990219387537189
2024-12-12,70926,71123,68670,70044,1191902,0.00421505376344089
2024-12-13,69946,71221,69455,70829,764888,0.011207241162697779
2024-12-16,71418,71712,69456,70241,706754,-0.008301684338336002
2024-12-17,70436,70436,65237,65826,1359320,-0.06285502769038032
2024-12-18,66415,67003,65924,66415,709294,0.008947832163582747
2024-12-19,64746,66708,64648,65139,647623,-0.019212527290521697
2024-12-20,65335,65924,61902,62491,872329,-0.040651529805492914
2024-12-23,62883,63275,59841,61902,1011161,-0.009425357251444222
2024-12-24,62195,63275,60233,60332,879498,-0.02536267002681658
2024-12-26,60920,61116,57585,57585,1277301,-0.04553139295896047
2024-12-27,57585,58468,55329,55918,1411141,-0.028948510896934954
2024-12-30,55917,58271,55623,56408,913844,0.008762831288672723
2025-01-02,56506,56604,54053,54152,935277,-0.039994327045809075
2025-01-03,54446,61902,54446,59646,3104482,0.10145516324420156
2025-01-06,60822,63373,59841,62392,1601580,0.04603829259296521
2025-01-07,62588,63569,61116,61215,972863,-0.01886459802538787
2025-01-08,60430,64746,60430,63962,1515886,0.04487462223311289
2025-01-09,63766,64550,61804,63668,1008311,-0.004596479159500899
2025-01-10,63569,63667,61313,61313,769296,-0.036988754162216475
2025-01-13,60822,61803,59351,59351,753598,-0.03199973904392217
2025-01-14,60332,63766,59842,62687,1240157,0.05620798301629293
2025-01-15,63177,65041,61313,61608,1039045,-0.017212500199403347
2025-01-16,63765,64256,62000,62000,904720,0.006362810024672205
2025-01-17,61999,62686,60920,61117,548256,-0.014241935483870982
2025-01-20,61509,63962,61509,63472,1146308,0.03853265049004362
2025-01-21,62490,62883,58861,59744,1365266,-0.0587345601209982
2025-01-22,60528,61706,60136,61706,741903,0.032840117836100635
2025-01-23,61117,61215,59743,59940,491411,-0.028619583184779418
2025-01-24,60430,60528,59351,59842,458216,-0.0016349683016350092
2025-01-31,59842,60823,59057,59842,464739,0.0
2025-02-03,58566,58958,55819,56114,865953,-0.062297383108853355
2025-02-04,57487,61018,57291,58174,1048442,0.036710981216808714
2025-02-05,58272,59841,58272,59155,451829,0.016863203492969436
2025-02-06,60038,60136,58174,58567,529637,-0.009939988166680735
2025-02-07,58763,61411,57683,58763,815959,0.003346594498608413
2025-02-10,57781,59449,56898,58959,723792,0.003335432159692342
2025-02-11,59252,60037,58075,58468,740270,-0.008327821028172089
2025-02-12,57977,59841,57879,58468,662519,0.0
2025-02-13,58959,61215,58861,60725,1240238,0.03860231237600065
2025-02-14,60725,60725,59351,59548,609771,-0.019382461918485028
2025-02-17,59743,62392,59154,61117,1232488,0.026348491972862265
2025-02-18,61902,62000,60038,60627,544070,-0.008017409231474093
2025-02-19,60921,63668,60823,62589,1580814,0.03236181899153845
2025-02-20,62980,63569,61901,62098,1067780,-0.007844828963555872
2025-02-21,63079,67493,62490,65924,2709527,0.061612290250893764
2025-02-24,65237,67298,64747,67298,1479965,0.020842181906437718
2025-02-25,66904,67199,63961,64158,996683,-0.04665814734464624
2025-02-26,63275,67200,63177,67200,1127369,0.04741419620312359
2025-02-27,66900,68100,65700,65900,623392,-0.019345238095238138
2025-02-28,65000,65200,61100,62200,1276060,-0.05614567526555392
2025-03-04,61900,62100,57800,58100,1255916,-0.06591639871382637
2025-03-05,58800,60400,58200,58900,728668,0.013769363166953541
2025-03-06,59700,60700,58500,58700,713885,-0.00339558573853993
2025-03-07,58000,60000,57600,59500,628569,0.013628620102214661
2025-03-10,59400,60900,58600,60000,675281,0.008403361344537785
2025-03-11,58000,58900,57400,58300,560531,-0.02833333333333332
2025-03-12,58700,59300,58300,59000,371180,0.012006861063464935
2025-03-13,59900,60200,57400,57400,786331,-0.027118644067796627
2025-03-14,57700,59800,56600,59800,839738,0.04181184668989557
2025-03-17,59600,60200,58200,59900,736327,0.0016722408026756952
2025-03-18,60300,61300,59300,60200,723594,0.005008347245408995
2025-03-19,60000,60700,59700,60200,485981,0.0
2025-03-20,61300,62100,60200,60400,647273,0.0033222591362125353
2025-03-21,60700,63000,58800,61100,1114255,0.011589403973509826
2025-03-24,61600,61700,59800,59900,334204,-0.019639934533551506
2025-03-25,60600,61100,58500,58700,351477,-0.02003338898163609
2025-03-26,59200,60200,58500,59800,337180,0.01873935264054505
2025-03-27,59100,59600,57900,58200,217694,-0.026755852842809347
2025-03-28,58100,58500,56500,56800,330740,-0.02405498281786944
2025-03-31,54500,55500,49500,49650,2218093,-0.12588028169014087
2025-04-01,50100,50500,48300,48500,1263977,-0.023162134944612278
2025-04-02,49050,49450,46500,47200,936573,-0.026804123711340222
2025-04-03,45300,48700,45150,47850,1006606,0.013771186440677985
2025-04-04,47000,53900,47000,52100,2781441,0.08881922675026122
2025-04-07,50400,52500,49550,49650,1021352,-0.04702495201535506
2025-04-08,51500,51500,49250,49650,584098,0.0
2025-04-09,48700,50400,47650,47800,682920,-0.03726082578046319
2025-04-10,51600,52400,50500,52400,1014895,0.09623430962343105
2025-04-11,50800,51800,49850,50900,502159,-0.028625954198473247
2025-04-14,51400,53000,50800,51200,516320,0.005893909626718985
2025-04-15,51000,51300,49700,49800,577462,-0.02734375
2025-04-16,50000,50400,48000,48050,537868,-0.03514056224899598
2025-04-17,47750,48800,47750,48400,382780,0.007284079084287187
2025-04-18,48550,48850,47500,48000,406238,-0.008264462809917328
2025-04-21,47550,48450,47350,47400,359895,-0.012499999999999956
2025-04-22,47150,48300,46800,47250,360719,-0.0031645569620253333
2025-04-23,48250,49750,48000,49600,720360,0.04973544973544963
2025-04-24,50400,50600,49200,50100,538866,0.010080645161290258
2025-04-25,50500,52500,49900,51000,852234,0.017964071856287456
2025-04-28,52000,54100,51300,51500,909029,0.009803921568627416
2025-04-29,52300,52500,50000,51100,489857,-0.007766990291262155
2025-04-30,51300,51300,49650,51000,796552,-0.00195694716242667
2025-05-02,50000,50900,49500,50200,375866,-0.015686274509803977
2025-05-07,50600,50900,47950,48400,742958,-0.03585657370517925
2025-05-08,48450,49100,48000,48650,487153,0.005165289256198413
2025-05-09,48900,49000,47050,47150,523288,-0.03083247687564239
2025-05-12,47450,47750,47150,47700,522658,0.01166489925768821
2025-05-13,48250,49100,46900,46950,583073,-0.01572327044025157
2025-05-14,47000,47200,44950,46900,897935,-0.0010649627263046302
2025-05-15,46700,46800,45650,45650,370852,-0.026652452025586304
2025-05-16,45650,45950,44050,44050,535686,-0.035049288061336226
2025-05-19,43150,44500,43100,44100,480217,0.0011350737797957144
2025-05-20,44300,44450,41000,41200,848559,-0.06575963718820865
2025-05-21,41150,42550,41000,41000,640834,-0.004854368932038833
2025-05-22,41050,41950,39600,41300,845782,0.007317073170731714
2025-05-23,41550,41800,39200,39300,764511,-0.048426150121065326
2025-05-26,39050,40650,39050,39500,838977,0.0050890585241729624
2025-05-27,39200,39450,37750,38350,665029,-0.029113924050632956
2025-05-28,38750,41400,38350,40900,1423135,0.06649282920469357
2025-05-29,41100,44250,40100,43050,2143367,0.05256723716381417
2025-05-30,42700,43200,41450,42800,1271592,-0.005807200929152101
2025-06-02,42900,44700,41900,42100,882100,-0.016355140186915862
2025-06-04,43050,45100,43050,43700,1327121,0.03800475059382413
2025-06-05,43800,45750,43050,45350,908761,0.03775743707093815
2025-06-09,44850,45250,43550,44300,675804,-0.023153252480705655
2025-06-10,44800,45000,43600,44200,535924,-0.0022573363431150906
2025-06-11,44550,45350,44150,44450,613754,0.005656108597285048
2025-06-12,44250,46500,44250,44800,1236590,0.007874015748031482
2025-06-13,44550,44700,42550,42850,707979,-0.0435267857142857
2025-06-16,42150,43100,41550,42100,452980,-0.017502917152858788
2025-06-17,42350,43000,41400,41550,560646,-0.013064133016627122
2025-06-18,41700,42750,41500,41800,460963,0.006016847172081841
2025-06-19,42200,42550,41100,41300,515442,-0.011961722488038284
2025-06-20,41400,44800,41000,44250,1571903,0.0714285714285714
2025-06-23,43000,43350,42100,42850,649456,-0.031638418079096065
2025-06-24,44300,50500,44300,48900,3519746,0.14119019836639435
2025-06-25,48450,48650,47350,48000,970352,-0.018404907975460127
2025-06-26,48900,49100,46850,47350,787823,-0.013541666666666674
2025-06-27,47300,47500,44650,44950,807129,-0.05068637803590281
2025-06-30,45250,46300,44650,45150,584486,0.004449388209121219
2025-07-01,45250,46450,44750,45500,708583,0.007751937984496138
2025-07-02,45150,45700,44700,45650,405636,0.003296703296703285
2025-07-03,46350,48550,46050,48100,1347139,0.05366922234392124
2025-07-04,47550,47700,46600,46850,557597,-0.02598752598752596
2025-07-07,47300,47850,45150,45200,566169,-0.03521878335112061
2025-07-08,45200,45900,44500,44900,448922,-0.006637168141592875
2025-07-09,45400,45800,44550,44800,381876,-0.00222717149220486
2025-07-10,45250,45350,44650,45300,460539,0.01116071428571419
2025-07-11,45800,48250,45650,47200,1483975,0.04194260485651213
2025-07-14,47800,49300,46400,47800,970963,0.012711864406779627
2025-07-15,47650,48100,47000,47200,515420,-0.012552301255230103
2025-07-16,47000,47450,46050,46100,374233,-0.02330508474576276
2025-07-17,47150,48300,46200,46600,627501,0.010845986984815648
2025-07-18,47500,49550,47350,48450,2148618,0.03969957081545061
2025-07-21,48650,50200,48300,49600,1147605,0.023735810113518996
2025-07-22,50200,50300,47650,47700,878043,-0.03830645161290325
2025-07-23,48700,48750,46800,48000,520211,0.0062893081761006275
2025-07-24,48100,49400,47900,48750,675847,0.015625
2025-07-25,48600,52400,48100,50800,2119639,0.042051282051281946
2025-07-28,51400,52800,50300,51900,1138592,0.021653543307086576
2025-07-29,51000,51000,49900,49900,721467,-0.038535645472061675
2025-07-30,49950,51600,49500,51000,765856,0.022044088176352616
2025-07-31,52100,52100,49000,49300,963424,-0.033333333333333326
2025-08-01,48750,49950,47650,47700,657619,-0.032454361054766734
2025-08-04,48250,48700,47450,48000,326479,0.0062893081761006275
2025-08-05,48400,53800,48400,52100,2182627,0.0854166666666667
2025-08-06,52400,53800,51000,51900,1360405,-0.0038387715930902067
2025-08-07,52600,52600,51000,51900,476041,0.0
2025-08-08,52000,53000,51700,52000,488052,0.0019267822736031004
2025-08-11,53000,54900,53000,54500,1430799,0.04807692307692313
2025-08-12,53800,59400,53400,57100,2793008,0.047706422018348515
2025-08-13,58500,58500,56600,57200,803481,0.0017513134851139256
2025-08-14,57700,59000,57200,58600,924021,0.02447552447552437
2025-08-18,59000,59400,56100,56100,736504,-0.0426621160409556
2025-08-19,56800,57800,55600,56500,612230,0.007130124777183555
2025-08-20,54700,56700,54600,55100,604280,-0.024778761061946875
2025-08-21,55200,55300,53600,54300,546866,-0.014519056261342977
2025-08-22,53900,54500,53300,53700,311691,-0.011049723756906049
2025-08-25,55100,55900,54400,55200,441214,0.027932960893854775
2025-08-26,55300,55700,54700,55500,455783,0.005434782608695565
2025-08-27,55900,57100,54800,55000,580856,-0.009009009009009028
2025-08-28,55500,55700,52500,52500,731061,-0.045454545454545414
2025-08-29,52600,52700,50500,50600,688283,-0.03619047619047622
2025-09-01,50200,51100,49700,49900,369736,-0.013833992094861691
2025-09-02,50300,50400,49450,50300,291163,0.008016032064128265
2025-09-03,50100,50400,49700,49900,250529,-0.007952286282306154
2025-09-04,51200,51200,49900,50100,310131,0.004008016032064132
2025-09-05,50600,50700,49750,49800,304167,-0.005988023952095856
2025-09-08,49000,50300,49000,49600,319023,-0.004016064257028162
2025-09-09,49750,50100,49300,49600,332898,0.0
2025-09-10,49350,49550,48300,49200,736840,-0.008064516129032251
2025-09-11,49300,49500,48550,48600,781656,-0.012195121951219523
2025-09-12,49250,49650,49100,49100,807056,0.010288065843621297
2025-09-15,49800,50800,49500,49500,762016,0.008146639511201537
2025-09-16,50300,50500,49200,49200,738049,-0.0060606060606061
2025-09-17,49550,50400,49150,49750,455056,0.011178861788617933
2025-09-18,50000,50600,49350,50600,458044,0.0170854271356784
2025-09-19,50500,50600,49750,49750,449408,-0.01679841897233203
2025-09-22,49850,50500,49550,49550,358570,-0.004020100502512558
2025-09-23,49750,49950,49250,49650,374300,0.0020181634712410634
2025-09-24,50300,50500,48300,48550,521001,-0.022155085599194324
2025-09-25,48800,50200,48800,50100,526692,0.03192584963954692
2025-09-26,49500,49550,48050,48100,472959,-0.03992015968063867
2025-09-29,48700,48700,47600,48400,315622,0.006237006237006293
2025-09-30,48200,48250,47450,47450,320641,-0.01962809917355368
2025-10-01,47650,47850,46900,47200,333265,-0.005268703898840932
2025-10-02,47450,48250,47350,47350,455731,0.0031779661016948513
2025-10-10,47350,47450,46000,46550,591058,-0.0168954593453009
2025-10-13,45900,49150,45550,48600,817657,0.04403866809881851
2025-10-14,49000,51100,48500,50400,1247871,0.03703703703703698
2025-10-15,50500,50700,49550,50600,439055,0.003968253968253954
2025-10-16,50700,57700,50400,57700,2693674,0.14031620553359692
2025-10-17,61600,73900,59400,73300,11077590,0.27036395147313685
2025-10-20,74800,80300,70700,77700,7848219,0.060027285129604424
2025-10-21,77200,81700,74100,75900,4655287,-0.02316602316602312
2025-10-22,79800,88500,78700,87400,7354068,0.1515151515151516
2025-10-23,87200,87200,81500,81500,2106961,-0.06750572082379858
2025-10-24,83900,89100,83900,88300,2405485,0.08343558282208585
2025-10-27,91300,94100,89700,93800,2529060,0.06228765571913919
2025-10-28,96700,98400,90300,97200,3167748,0.036247334754797356
2025-10-29,95500,95800,91500,93100,1769813,-0.04218106995884774
2025-10-30,92700,98700,89000,89200,2829987,-0.041890440386680994
2025-10-31,86800,92300,86500,88000,2076158,-0.013452914798206317
2025-11-03,91400,96000,88100,94800,2687046,0.07727272727272738
2025-11-04,100000,102400,94300,95700,2905365,0.009493670886076
2025-11-05,92800,96300,87300,92800,6536141,-0.030303030303030276
2025-11-06,97000,100900,93100,93200,5661883,0.004310344827586299
2025-11-07,90400,94800,87100,87200,3748283,-0.06437768240343344
2025-11-10,88400,89800,82900,87900,4222485,0.008027522935779796
2025-11-11,89300,99800,89100,94100,12469599,0.07053469852104666
2025-11-12,95500,95900,92400,93600,2934215,-0.005313496280552554
2025-11-13,92400,95900,91700,94700,3328565,0.01175213675213671
2025-11-14,91300,93800,89700,89900,2562326,-0.05068637803590281
2025-11-17,91200,92000,87300,88200,2118696,-0.018909899888765347
2025-11-18,88800,90100,81600,81600,3490767,-0.07482993197278909
2025-11-19,81700,83100,78700,79300,2668789,-0.028186274509803932
2025-11-20,81200,85600,80600,83100,2748517,0.047919293820933184
2025-11-21,78500,81900,78500,78800,1613229,-0.05174488567990376
2025-11-24,79700,80000,74100,75300,2486630,-0.04441624365482233
2025-11-25,78000,78700,74700,75200,1687724,-0.0013280212483399723
2025-11-26,76600,84100,76000,83500,3702745,0.1103723404255319
2025-11-27,83900,85100,81800,81900,1946496,-0.019161676646706538
2025-11-28,84500,86000,82500,84500,2316467,0.031746031746031855
2025-12-01,86800,95000,86300,93000,8010476,0.10059171597633143
2025-12-02,93000,95600,90000,94100,4631955,0.011827956989247213
2025-12-03,94400,96200,92600,93400,2377262,-0.007438894792773598
2025-12-04,93800,94700,91000,91500,2051894,-0.020342612419700257
2025-12-05,90500,99000,90400,96900,8523311,0.05901639344262288
2025-12-08,99700,119000,99000,117500,19608074,0.21259029927760587
2025-12-09,114600,119600,112900,117800,7636333,0.002553191489361728
2025-12-10,120200,121600,115500,116800,5816960,-0.008488964346349714
2025-12-11,117500,118200,112500,112800,4019192,-0.03424657534246578
2025-12-12,113500,116400,108500,111400,4218295,-0.012411347517730542
2025-12-15,108600,112400,108100,110200,2409445,-0.010771992818671472
2025-12-16,110200,110300,100700,101300,3953462,-0.08076225045372054
2025-12-17,102900,107700,100700,103300,3654517,0.019743336623889496
2025-12-18,99200,101700,98300,98400,2739251,-0.047434656340755055
2025-12-19,99700,100000,92100,96800,5129836,-0.016260162601625994
2025-12-22,97700,100000,96000,98000,2277043,0.012396694214876103
2025-12-23,99000,99100,96000,97300,1487391,-0.0071428571428571175
2025-12-24,98300,99900,97050,97300,1784169,0.0
2025-12-26,97500,100800,95300,97000,2388776,-0.0030832476875641834
2025-12-29,94700,100300,93500,96900,2671495,-0.0010309278350515427
2025-12-30,95100,95200,90500,90800,2856805,-0.06295149638802888
2026-01-02,89900,91700,87800,88300,1792900,-0.02753303964757714
2026-01-05,87000,91500,87000,89900,1813119,0.018120045300113352
2026-01-06,95800,96000,91600,93200,1874200,0.03670745272525022
2026-01-07,93500,96000,91600,92500,1261733,-0.007510729613733891
2026-01-08,93400,94800,91500,91600,1071272,-0.009729729729729741
2026-01-09,92900,93000,88000,88000,1595043,-0.0393013100436681
2026-01-12,87100,95500,87100,93800,3085608,0.06590909090909092
2026-01-13,95300,97600,92600,97300,1930443,0.03731343283582089
2026-01-14,97300,97400,93300,94200,1228861,-0.031860226104830414
2026-01-15,93600,95500,92600,94700,1164784,0.005307855626327074
2026-01-16,94900,96000,91800,92600,1150134,-0.022175290390707536
2026-01-19,91400,95900,91000,95000,1854083,0.02591792656587466
2026-01-20,95300,101000,94500,98300,3536949,0.03473684210526318
2026-01-21,95400,97400,93300,95100,1690839,-0.03255340793489314
2026-01-22,96800,107300,95500,105000,6816773,0.10410094637223977
2026-01-23,109700,109700,100500,105900,3553071,0.008571428571428674
2026-01-26,109200,130300,108400,130200,14466132,0.22946175637393762
2026-01-27,126800,140000,126100,138400,11468680,0.06298003072196612
2026-01-28,139700,169800,139600,168600,16902593,0.21820809248554918
2026-01-29,174800,182700,158700,172000,9935241,0.02016607354685651
2026-01-30,171100,173000,162200,162500,4558463,-0.05523255813953487
2026-02-02,164800,176600,159100,162500,7627888,0.0
2026-02-03,170100,170300,160300,169800,3998633,0.04492307692307684
2026-02-04,168400,184500,168000,175800,5710647,0.035335689045936425
2026-02-05,175000,180500,163100,167500,3473833,-0.04721274175199086
2026-02-06,158600,162700,153400,155800,3372413,-0.06985074626865673
2026-02-09,162200,165400,152000,159300,3691114,0.0224646983311938
2026-02-10,160200,164500,155400,156000,1951145,-0.020715630885122405
2026-02-11,156600,157300,152100,152500,1350060,-0.022435897435897467
2026-02-12,153600,156600,150200,155500,1913737,0.01967213114754096
2026-02-13,152200,154600,148600,150400,1574395,-0.03279742765273308
2026-02-19,151700,173800,149000,172300,6082106,0.1456117021276595
2026-02-20,175500,175600,168400,171300,2255550,-0.00580383052814859
2026-02-23,180000,183700,167000,169300,3460369,-0.011675423234092208
2026-02-24,173000,175000,168100,169900,2166422,0.0035440047253396667
2026-02-25,172300,179100,169200,175200,2708728,0.031194820482636887
2026-02-26,178400,190000,175000,184200,5750749,0.051369863013698724
2026-02-27,180500,188000,179000,185000,2792329,0.004343105320304019
2026-03-03,179000,189400,164000,164000,5198938,-0.11351351351351346
2026-03-04,154300,164200,133500,133800,5066264,-0.1841463414634147
2026-03-05,153500,168800,152000,160800,4321845,0.2017937219730941
2026-03-06,161800,173700,159500,170000,3744596,0.05721393034825861
2026-03-09,160400,167300,155200,163800,2602659,-0.036470588235294144
2026-03-10,174600,174900,161200,164500,2767637,0.004273504273504258
2026-03-11,167900,169850,159000,161600,1729110,-0.017629179331307032
2026-03-12,159100,162100,156300,158000,1450674,-0.022277227722772297
2026-03-13,151300,153700,150500,150500,1443712,-0.04746835443037978
2026-03-16,150700,152600,143200,145900,1435565,-0.030564784053156102
2026-03-17,151900,154100,148500,149300,1146086,0.023303632625085724
2026-03-18,154000,154500,151400,154000,955316,0.031480241125251274
2026-03-19,149900,155000,149100,151100,925314,-0.018831168831168865
2026-03-20,152600,153300,150200,150900,828725,-0.001323626737260053
2026-03-23,145100,145900,139500,139600,1089923,-0.07488402915838299
2026-03-24,148200,152300,144600,149000,1448601,0.06733524355300857
2026-03-25,151400,154300,148900,151300,975936,0.01543624161073831
