Date,Open,High,Low,Close,Volume,Change
2024-12-02,218139,235452,218139,232374,1565240,0.0785718927248591
2024-12-03,236606,252765,235067,250072,1491478,0.07616170483789064
2024-12-04,248533,253919,238145,244685,1831577,-0.021541795962762733
2024-12-05,246994,249687,238145,239299,833022,-0.0220119745795615
2024-12-06,241608,241992,226988,235452,1411534,-0.016076122340670018
2024-12-09,226988,231605,215446,219293,1549336,-0.06862969947165454
2024-12-10,228142,247378,226219,244685,1625519,0.11579028970372973
2024-12-11,244301,244301,235837,236991,838957,-0.031444510288738625
2024-12-12,238145,248917,235067,240453,1564227,0.014608149676569981
2024-12-13,242377,246609,236991,243916,763027,0.014401982923897716
2024-12-16,249687,250072,235837,238914,949069,-0.020507059807474692
2024-12-17,237760,237760,229681,231989,799517,-0.028985325263483963
2024-12-18,231605,234682,224680,228527,882574,-0.014923121354891822
2024-12-19,219678,225064,216985,220448,946768,-0.035352496641534725
2024-12-20,220832,223141,210829,213138,1014555,-0.03315974742342864
2024-12-23,218524,220832,211984,213138,1017975,0.0
2024-12-24,215446,230451,211984,227757,2300144,0.06858936463699572
2024-12-26,231605,235067,226603,231989,1870501,0.018581207163775426
2024-12-27,234682,239684,228527,231605,2249283,-0.0016552508955165468
2024-12-30,228527,244685,228527,238145,1051552,0.028237732346020117
2025-01-02,236991,239299,229681,230835,771134,-0.030695584622813854
2025-01-03,230835,245840,229296,245070,961262,0.06166742478393661
2025-01-06,242762,245070,236221,242762,750379,-0.009417717386869029
2025-01-07,240453,255842,240453,250841,1032081,0.03327950832502613
2025-01-08,247378,248533,237376,238530,851064,-0.04907889858515957
2025-01-09,240069,241992,230451,237760,833222,-0.0032281054793946717
2025-01-10,237760,240069,233144,238145,435755,0.001619279946164287
2025-01-13,233144,237376,229681,230066,441435,-0.03392470973566519
2025-01-14,233528,240069,232374,236606,317456,0.02842662540314511
2025-01-15,241223,241223,232759,233528,258913,-0.013008968496149742
2025-01-16,239299,242377,237376,240069,376170,0.028009489226131334
2025-01-17,240069,240453,234298,236606,255829,-0.014425019473568002
2025-01-20,238914,247763,236606,245070,592338,0.035772550146657256
2025-01-21,243531,250841,243146,250072,527911,0.020410494960623415
2025-01-22,253149,266230,251610,263152,987307,0.05230493617838072
2025-01-23,265845,270462,261998,267000,585320,0.014622727549097103
2025-01-24,268154,280080,264691,278541,754132,0.04322471910112369
2025-01-31,280080,288159,275463,285851,659836,0.026243892281567094
2025-02-03,281234,283543,267769,271231,809473,-0.051145526865394864
2025-02-04,277772,295854,275463,287775,1179094,0.060995977598430784
2025-02-05,290853,293546,285466,289314,933650,0.005347928068803798
2025-02-06,294315,303548,291237,301625,874096,0.0425523825324734
2025-02-07,299701,304318,295854,301240,591429,-0.0012764193949440505
2025-02-10,298547,302779,292776,301625,617426,0.0012780507236753724
2025-02-11,301625,307780,288544,290853,807488,-0.035713220058019024
2025-02-12,288929,292007,281619,290468,632640,-0.0013236927245033892
2025-02-13,290468,291622,281619,285082,672427,-0.018542490050539095
2025-02-14,288544,304703,287775,303164,1025021,0.06342736475820998
2025-02-17,306242,310474,297778,306626,672005,0.011419561689382629
2025-02-18,304318,307011,298932,303933,574720,-0.008782686399718242
2025-02-19,300086,301625,290853,297778,567000,-0.02025117377843144
2025-02-20,293161,304318,288544,290853,784304,-0.023255579660015124
2025-02-21,289314,302779,289314,301625,574529,0.03703589098273019
2025-02-24,298162,302010,293546,294700,394367,-0.022958972233733888
2025-02-25,292391,304703,288929,302779,541825,0.02741431964709884
2025-02-26,305472,306242,296239,302779,449908,0.0
2025-02-27,304318,312397,300471,308935,662889,0.020331661046505856
2025-02-28,305087,306242,295854,297778,761892,-0.03611439299529029
2025-03-04,297778,310089,296239,307780,597563,0.03358878090389483
2025-03-05,312397,322015,309319,318553,651458,0.03500227435180969
2025-03-06,312397,314706,295469,300471,1298718,-0.056762924850809804
2025-03-07,297393,303741,277772,283543,1379109,-0.05633821566806785
2025-03-10,279311,293546,275463,286236,645425,0.009497677600928345
2025-03-11,277387,287005,277387,284697,515519,-0.005376682178342307
2025-03-12,285082,292391,272770,277772,652814,-0.024324105979339428
2025-03-13,280850,298162,280850,288544,1031377,0.03878000662413772
2025-03-14,291622,310089,286621,301625,1338212,0.0453345070422535
2025-03-17,306626,339136,300471,338174,2668550,0.12117364276833809
2025-03-18,348946,353563,326247,341252,2624130,0.009101823321721936
2025-03-19,338943,343175,319707,322400,1311294,-0.05524363227175222
2025-03-20,325478,327402,285466,287005,3131459,-0.10978598014888341
2025-03-21,286236,296239,278926,284697,1681411,-0.008041671747878953
2025-03-24,288929,295854,282389,286621,499260,0.0067580620800360425
2025-03-25,288929,290468,277387,278541,469154,-0.028190537329783938
2025-03-26,278541,282004,268923,278541,598941,0.0
2025-03-27,276233,280465,267769,270847,397664,-0.027622504406891624
2025-03-28,281234,281234,270077,271231,488912,0.0014177746107582045
2025-03-31,269308,287005,268538,273925,1021555,0.009932492967249296
2025-04-01,279311,291622,277772,285851,585139,0.04353746463448016
2025-04-02,286236,286236,277002,278926,399459,-0.024225907903068333
2025-04-03,271616,282389,271231,280850,342655,0.00689788689473203
2025-04-04,277387,291622,273155,279311,722734,-0.005479793484066242
2025-04-07,267769,269308,255458,258151,851840,-0.07575784698776633
2025-04-08,266230,283158,263152,277387,804911,0.0745145283186972
2025-04-09,274694,277387,263922,267384,549788,-0.03606153136232049
2025-04-10,284697,287390,280465,282389,541939,0.05611779313646292
2025-04-11,279311,291622,277772,288159,500708,0.020432807226910432
2025-04-14,289698,297778,287005,297778,455783,0.03338087652997124
2025-04-15,296239,297008,290853,292391,300271,-0.018090658141299842
2025-04-16,289698,291622,281619,282004,392927,-0.035524349244675846
2025-04-17,282389,290083,282004,289314,235251,0.02592161813307614
2025-04-18,293546,307396,289698,302394,740973,0.04521039424293338
2025-04-21,301240,302394,296623,297393,250999,-0.016538026548145845
2025-04-22,295085,301240,293546,299317,325467,0.006469553755468427
2025-04-23,303548,303933,297008,299317,278800,0.0
2025-04-24,297778,300086,295854,298932,213028,-0.0012862617225215534
2025-04-25,290083,295469,283927,283927,671672,-0.05019536215594178
2025-04-28,280850,284312,272386,274694,559280,-0.03251892211730478
2025-04-29,278157,282004,277002,279311,210493,0.016807793399200577
2025-04-30,278926,282389,268154,270077,390051,-0.03305992245203371
2025-05-02,268154,276233,267000,274309,204574,0.015669605334774905
2025-05-07,269693,275079,261229,274309,429467,0.0
2025-05-08,275079,280850,270847,271231,456457,-0.011220922390442922
2025-05-09,271616,275079,265076,265461,262797,-0.02127337951782793
2025-05-12,261998,262768,251995,258536,567070,-0.02608669446736056
2025-05-13,267000,272770,265461,267769,365158,0.035712628028591764
2025-05-14,251610,263152,245840,257766,1420845,-0.03735682621961467
2025-05-15,252380,258536,247378,254688,526360,-0.0119410628244222
2025-05-16,256997,257766,242762,244301,731097,-0.040783232818193293
2025-05-19,246224,250841,243531,245840,316382,0.006299605814139131
2025-05-20,250072,253534,244301,244301,289965,-0.006260169215750122
2025-05-21,247763,254688,246994,250841,354459,0.026770254726750986
2025-05-22,248533,253919,246994,248917,226657,-0.007670197455758809
2025-05-23,251995,254688,245070,248533,294097,-0.001542682902332948
2025-05-26,250456,257766,247378,255073,333038,0.026314412975339208
2025-05-27,263922,264691,257766,264691,359494,0.03770685254809414
2025-05-28,265845,265845,253919,256612,447223,-0.030522382702849793
2025-05-29,259690,262768,255842,257381,251055,0.002996742163265953
2025-05-30,258151,261998,253919,253919,390642,-0.013450876327312455
2025-06-02,255842,273155,254304,269308,554116,0.060605941264733953
2025-06-04,287775,298547,285082,293161,1018291,0.08857144978983178
2025-06-05,289314,293161,280850,283543,498585,-0.032807911011355495
2025-06-09,283927,300471,279311,298162,722518,0.05155831743333472
2025-06-10,298932,306242,293546,302394,501122,0.014193626283698135
2025-06-11,306626,319322,304318,313936,818626,0.038168746734392967
2025-06-12,316629,320476,310474,315860,621862,0.006128637684113869
2025-06-13,312782,314706,292007,296623,956088,-0.060903564870512295
2025-06-16,302779,317014,302394,312012,528808,0.051880670076157376
2025-06-17,312012,315860,304703,305857,366051,-0.019726805379280288
2025-06-18,301625,316629,299701,303933,431457,-0.006290521387445791
2025-06-19,305857,305857,296239,297778,355680,-0.02025117377843144
2025-06-20,300086,308165,295854,300086,587042,0.007750740484522067
2025-06-23,293930,294700,288544,292391,353382,-0.025642649107255888
2025-06-24,300855,306242,295854,300086,420674,0.026317499512638953
2025-06-25,300471,308550,297393,300086,422439,0.0
2025-06-26,299317,301240,293161,296239,290571,-0.012819658364602193
2025-06-27,296623,301625,292776,292776,231772,-0.011689885531614652
2025-06-30,290853,292776,286236,286236,266770,-0.022337896548897396
2025-07-01,287775,292391,285466,286621,216186,0.0013450439497477706
2025-07-02,294700,303548,290083,302010,738821,0.0536911112584213
2025-07-03,301240,311628,297008,306242,441417,0.014012781033740707
2025-07-04,305087,307780,288929,288929,567598,-0.05653372169721982
2025-07-07,285851,320861,285851,320861,1308125,0.11051850108504158
2025-07-08,316244,322785,313167,322400,519850,0.004796469499253497
2025-07-09,321246,328556,317783,325863,485603,0.01074131513647636
2025-07-10,334711,348561,326632,345484,1193410,0.060212420557105295
2025-07-11,344329,347023,336250,337789,458675,-0.02227310092507906
2025-07-14,342021,343945,334711,342406,347233,0.013668295888853654
2025-07-15,342791,360873,339713,360873,973848,0.05393305023860573
2025-07-16,353948,383187,351639,373953,1172956,0.0362454381458297
2025-07-17,370876,379340,369337,375877,520282,0.005145031594879557
2025-07-18,378570,390881,372414,377031,601665,0.0030701532682233523
2025-07-21,370876,375492,365489,371645,348810,-0.014285297495431393
2025-07-22,372030,386265,363951,366259,616504,-0.014492324664666545
2025-07-23,372030,372414,363566,368567,284091,0.006301551634225966
2025-07-24,370491,375877,367028,367028,289278,-0.004175631567666094
2025-07-25,363951,365874,354717,355487,416158,-0.03144446745207452
2025-07-28,361257,362027,350485,351639,284718,-0.010824587115703221
2025-07-29,352024,353178,342406,351255,377870,-0.0010920290411473577
2025-07-30,357410,359719,347023,347407,286709,-0.010955004199228457
2025-07-31,348177,350485,338943,349331,411092,0.005538172805959585
2025-08-01,337789,338943,323939,324708,596342,-0.0704861578273901
2025-08-04,328940,338943,325093,332403,409461,0.023698215011641155
2025-08-05,342021,347407,335096,341636,429969,0.02777652427926336
2025-08-06,335481,341636,333942,338174,322208,-0.010133592478544395
2025-08-07,338559,339328,330479,332403,285085,-0.017065179463826352
2025-08-08,332403,339328,330095,330864,256718,-0.004629922112616258
2025-08-11,330095,337020,322785,330864,319207,0.0
2025-08-12,334327,345099,331249,334327,352411,0.010466536099424495
2025-08-13,341636,349716,335865,345484,468533,0.03337151950036943
2025-08-14,336635,342021,327786,336250,704526,-0.026727721110094804
2025-08-18,340867,347792,336250,338174,395745,0.00572193308550184
2025-08-19,338559,340482,324708,328556,443530,-0.028440980087174106
2025-08-20,322400,325093,318553,323939,329939,-0.01405239898221311
2025-08-21,323170,326247,310474,312012,399412,-0.0368186603033287
2025-08-22,313167,335096,313167,324708,503066,0.04069074266374373
2025-08-25,335096,341252,331634,337020,336150,0.03791714401862589
2025-08-26,332788,347023,331249,340482,412047,0.010272387395406701
2025-08-27,337404,341636,324708,325478,545426,-0.0440669403962618
2025-08-28,328171,328171,320861,321631,263658,-0.01181953926225432
2025-08-29,336635,343560,330864,337404,588025,0.04904067083085906
2025-09-01,347792,361642,347407,350100,881459,0.03762848099014837
2025-09-02,355102,358180,347407,355871,384335,0.01648386175378458
2025-09-03,354332,357410,350100,356641,260769,0.0021637053876264467
2025-09-04,356641,363566,354332,359719,299587,0.008630527617407902
