Date,Open,High,Low,Close,Volume,Change
2024-12-02,23050,23300,22100,22350,132168,-0.021881838074398252
2024-12-03,22350,22850,22350,22550,123847,0.008948545861297452
2024-12-04,22100,22800,21800,22150,145096,-0.0177383592017738
2024-12-05,22000,22500,21750,21800,203934,-0.015801354401805856
2024-12-06,22000,22350,21650,22300,190834,0.022935779816513735
2024-12-09,22100,22100,21150,21300,166417,-0.04484304932735428
2024-12-10,21550,22300,21450,21800,142878,0.023474178403755763
2024-12-11,21550,22750,21550,22450,119595,0.029816513761467878
2024-12-12,22750,23100,21750,22700,345071,0.011135857461024523
2024-12-13,23050,23100,22250,22400,164854,-0.013215859030836996
2024-12-16,22400,22750,22400,22500,110790,0.0044642857142858094
2024-12-17,22550,22800,22050,22400,152335,-0.004444444444444473
2024-12-18,22400,23300,22300,23200,120023,0.03571428571428581
2024-12-19,22600,22950,22400,22450,124678,-0.032327586206896575
2024-12-20,22350,22550,22000,22250,79094,-0.008908685968819552
2024-12-23,22300,22850,22200,22600,88930,0.01573033707865168
2024-12-24,22850,23050,22600,22950,115434,0.015486725663716783
2024-12-26,23100,23100,21850,22250,118437,-0.030501089324618702
2024-12-27,22000,22650,21850,22150,117531,-0.004494382022471877
2024-12-30,21850,22450,21600,22350,75249,0.009029345372460584
2025-01-02,21900,22300,21700,22100,91382,-0.01118568232662187
2025-01-03,22000,23650,22000,23200,199066,0.04977375565610864
2025-01-06,23150,24400,23150,23950,233603,0.032327586206896575
2025-01-07,24200,24300,23150,23200,222900,-0.03131524008350728
2025-01-08,23000,24400,22800,24300,233699,0.047413793103448176
2025-01-09,24100,24700,23950,24200,226953,-0.004115226337448541
2025-01-10,24200,24550,23250,23250,217388,-0.039256198347107474
2025-01-13,23050,24100,22850,23400,153957,0.006451612903225712
2025-01-14,23350,23600,22950,23000,158921,-0.017094017094017144
2025-01-15,23200,24200,23100,23600,179687,0.026086956521739202
2025-01-16,24150,24150,23450,23450,215559,-0.006355932203389814
2025-01-17,23300,24150,23300,24000,179191,0.023454157782516027
2025-01-20,24250,24250,23600,23950,169172,-0.002083333333333326
2025-01-21,24100,24500,23550,24250,158995,0.012526096033402823
2025-01-22,24600,24600,23900,24400,185697,0.006185567010309256
2025-01-23,24300,24300,23200,23300,293049,-0.04508196721311475
2025-01-24,23400,23950,23150,23500,174569,0.008583690987124415
2025-01-31,23000,23250,22500,22550,207117,-0.04042553191489362
2025-02-03,22000,22000,20900,21100,218052,-0.06430155210643018
2025-02-04,21350,21900,21200,21200,198557,0.004739336492890933
2025-02-05,21500,22000,21400,21600,123770,0.018867924528301883
2025-02-06,21850,22200,21550,21800,199985,0.0092592592592593
2025-02-07,21750,22850,21500,22700,300567,0.041284403669724856
2025-02-10,22300,24200,22100,24000,359305,0.05726872246696035
2025-02-11,24050,27250,23500,25950,1854019,0.08125000000000004
2025-02-12,26050,26400,24750,25650,615040,-0.011560693641618491
2025-02-13,25650,26400,25050,25050,445029,-0.023391812865497075
2025-02-14,25350,26500,24950,26250,667264,0.0479041916167664
2025-02-17,26500,26700,25800,25900,538614,-0.013333333333333308
2025-02-18,26050,26300,25600,26050,377874,0.005791505791505891
2025-02-19,26250,27500,26100,26650,900737,0.02303262955854124
2025-02-20,26650,27400,25950,26500,806476,-0.0056285178236398226
2025-02-21,26500,27850,25750,26750,1049923,0.009433962264151052
2025-02-24,25850,27400,25800,27400,500965,0.024299065420560817
2025-02-25,27200,28500,26700,27800,633366,0.014598540145985384
2025-02-26,27750,27900,26300,26350,490248,-0.05215827338129497
2025-02-27,26850,27550,25950,26000,652638,-0.013282732447817858
2025-02-28,25300,26150,25250,25350,321813,-0.025000000000000022
2025-03-04,25050,25850,25000,25500,209984,0.00591715976331364
