Date,Open,High,Low,Close,Volume,Change
2026-09-10,112000,118700,109300,118700,524969,0.0330722367275893
2026-09-09,104900,115200,104900,114900,457164,0.09637404580152675
2026-09-08,108700,110700,104700,104800,250745,-0.017806935332708496
2026-09-07,107600,107700,105500,106700,152906,0.006603773584905603
2026-09-04,107500,109300,105100,106000,268846,-0.0046948356807511304
2026-09-03,108300,109500,103400,106500,348467,0.0018814675446847673
2026-09-02,109843,114174,106300,106300,590585,-0.07056046165952612
2026-09-01,118800,118898,112500,114370,457126,-0.038083062793318634
2026-08-31,114174,119193,112303,118898,546338,0.02199606322901171
2026-08-28,115355,117225,112796,116339,287754,0.0016961994799469249
2026-08-27,109252,116437,109154,116142,541692,0.05829931476891681
2026-08-26,109646,110433,106792,109744,259481,-0.008895591940684011
2026-08-25,112402,114666,106693,110729,400929,-0.03846020250438531
2026-08-24,104922,115847,104922,115158,663446,0.1079596293908811
2026-08-21,108859,109252,103347,103937,322998,-0.07449489327978775
2026-08-20,110926,114174,109744,112303,290965,0.03915944147828743
2026-08-19,103248,109843,102166,108071,280809,0.006416345383770006
2026-08-18,113386,113878,106398,107382,455577,-0.06512976328321562
2026-08-14,113977,118307,111122,114863,351268,0.019219677542436697
2026-08-13,112992,114961,109941,112697,390770,0.0008703452073286488
2026-08-12,108366,112599,105807,112599,302268,0.04189838161949089
2026-08-11,112205,114764,106398,108071,449551,-0.04355175587652227
2026-08-10,106201,113583,103937,112992,485458,0.07289559891753306
2026-08-07,105020,109941,99016,105315,513931,0.04390103681382951
2026-08-06,98819,102756,96752,100886,404198,0.007862216405758238
2026-08-05,103347,104528,98918,100099,461267,-0.007800884166286659
2026-08-04,95571,102166,95571,100886,565740,0.05888156513707554
2026-08-03,97146,99114,88977,95276,659878,-0.06472955727888485
2026-07-31,100000,103544,96457,101870,505612,0.07253029553279067
2026-07-30,88878,101083,88878,94981,543164,0.042121085778236145
2026-07-29,100689,103150,86910,91142,593085,-0.09037196722456764
2026-07-28,104725,106103,98032,100197,324999,-0.07873299006987866
2026-07-27,111615,111615,106300,108760,284817,0.020310521131385206
2026-07-24,112894,113386,106398,106595,313660,-0.0837552325531421
2026-07-23,106398,116536,105315,116339,359372,0.0995397279953123
2026-07-22,107776,111221,105807,105807,305335,0.015100783820862773
2026-07-21,101378,105611,100000,104233,293114,0.01729438518070281
2026-07-20,108170,108859,101477,102461,319487,-0.07384073036246952
2026-07-16,118111,119587,109941,110630,295629,-0.07030488419778813
2026-07-15,114272,122048,114272,118996,433101,0.07370947512790194
2026-07-14,116831,118800,106398,110827,501947,-0.06010312600708989
2026-07-13,121063,124902,115945,117914,580206,-0.01479717592012364
2026-07-10,112008,121457,112008,119685,574518,0.09058353987461731
2026-07-09,111516,116044,107677,109744,793042,-0.009771986970684043
2026-07-08,115650,117914,110138,110827,524609,-0.06322533746946501
2026-07-07,118701,123721,115650,118307,494367,-0.012330528284244968
2026-07-06,122540,123229,115453,119784,395031,-0.021700247466126532
2026-07-03,121063,123327,113485,122441,590675,-0.008767526958323835
2026-07-02,127756,128741,120670,123524,672441,-0.054260360919065054
2026-07-01,132186,140256,127461,130611,1531302,-0.06876711156741955
2026-06-30,152166,152166,140256,140256,999894,-0.07767577662624614
2026-06-29,130906,154036,130315,152068,967962,0.15557581974999057
2026-06-26,140060,141634,127560,131595,810375,-0.07152886060409358
2026-06-25,149804,153741,140650,141733,545419,-0.05573654721217325
2026-06-24,147835,154036,143701,150099,530208,0.01060434677223876
2026-06-23,162796,168111,148032,148524,694925,-0.09478534337745925
2026-06-22,166733,168800,160040,164076,488061,-0.01593565760827187
2026-06-19,168702,172835,162107,166733,919870,-0.01682912015661575
2026-06-18,175493,176576,167520,169587,524350,-0.04277908853843293
2026-06-17,179725,180217,174213,177166,366782,0.0027847900653179547
2026-06-16,182973,183465,176280,176674,480074,-0.037534592839554626
2026-06-15,175591,183564,174115,183564,518849,0.09705720637804505
2026-06-12,169489,175788,165453,167324,652519,0.03469727232813691
2026-06-11,157383,161713,153052,161713,912947,-0.0012167253412389556
2026-06-10,163387,169981,158465,161910,544785,-0.01849528070271156
2026-06-09,159351,169095,157973,164961,674384,0.04946369269527828
2026-06-08,167324,168702,156005,157186,661831,-0.11327109130397994
2026-06-05,194391,194883,177265,177265,784810,-0.08763613530150494
2026-06-04,198328,205710,193111,194292,666693,-0.0030325887840396692
2026-06-02,200296,214568,194784,194883,881106,-0.04347676707191972
2026-06-01,211615,211615,201773,203741,672603,-0.04608491272754511
2026-05-29,214076,214076,206694,213584,1339902,-0.006863200967171967
2026-05-28,218997,219489,203249,215060,783679,0.023417832958184892
2026-05-27,214568,223918,209647,210139,669795,-0.029546913460517188
2026-05-26,221458,231793,214568,216537,935138,0.018518344308560586
2026-05-22,196851,216290,196851,212600,1159309,0.1076955139894753
2026-05-21,180808,196261,179233,191930,569907,0.10356604836762151
2026-05-20,178150,179922,172146,173918,566878,-0.031248607459560596
2026-05-19,188977,193505,178643,179528,589851,-0.042016627357231995
2026-05-18,187993,191438,181202,187402,586924,-0.0005279971840149722
2026-05-15,204725,212107,185237,187501,838223,-0.08851781634339606
2026-05-14,202265,205710,192028,205710,820694,0.060377222328180435
2026-05-13,199804,201773,191635,193997,676783,-0.040877067213803686
2026-05-12,219981,223426,199804,202265,1008295,-0.07432324203107477
2026-05-11,232777,232777,215060,218505,843126,-0.06526323894918318
2026-05-08,231793,239667,224411,233761,639241,0.008490334048051551
2026-05-07,225887,239667,221950,231793,1158474,0.030635429496271627
2026-05-06,214568,225887,210631,224903,989616,0.060328041978812585
2026-05-04,208170,214568,206694,212107,606591,0.04611431417904188
2026-04-30,210631,210631,202757,202757,504564,-0.030589754010183823
2026-04-29,207678,215552,204233,209155,598457,-0.004682614840653132
2026-04-28,207678,212600,205710,210139,508678,0.0289179515553315
2026-04-27,205218,207186,201773,204233,351511,-0.002403223836854318
2026-04-24,204233,206202,200788,204725,395182,0.012162262378562883
2026-04-23,215552,216044,200296,202265,715430,-0.05733846612728832
2026-04-22,218997,218997,209155,214568,756034,-0.011339498408046822
2026-04-21,210631,217029,207678,217029,978089,0.050001451420941034
2026-04-20,204725,209647,201281,206694,476006,0.009617779948711602
2026-04-17,202265,208170,200788,204725,584402,0.014630302369494474
2026-04-16,203741,206202,199804,201773,357104,0.012347475315083845
2026-04-15,198820,202757,196851,199312,376072,0.0237613387711495
2026-04-14,200296,201281,194588,194686,311687,-0.00602960171953415
2026-04-13,198328,201281,195867,195867,291164,-0.012408737041668338
2026-04-10,203741,203741,198328,198328,272120,-0.02184388208545207
2026-04-09,204233,206448,196851,202757,583421,-0.0119921254470855
2026-04-08,209155,211123,201773,205218,594476,0.03474042999475624
2026-04-07,196556,207678,195572,198328,550830,0.00800496053427402
2026-04-06,189568,200788,189568,196753,588489,0.03790196657663736
2026-04-03,196359,197343,187009,189568,478009,-0.021836945304437583
2026-04-02,199312,207678,190651,193800,740373,-0.025248968916607994
2026-04-01,198820,200788,194391,198820,417268,0.05099009377610031
2026-03-31,201773,202265,189174,189174,612734,-0.0555278188281344
2026-03-30,193406,202757,193210,200296,410922,0.004936983222284752
2026-03-27,190847,202757,185729,199312,507096,0.01809786023323401
2026-03-26,198820,203741,194292,195769,380916,-0.02019479089507714
2026-03-25,190355,200788,190158,199804,513239,0.051810362072414406
2026-03-24,183859,193800,182776,189962,625595,0.07761515770365324
2026-03-23,180906,181398,175493,176280,468919,-0.06670408039009101
2026-03-20,187796,189962,185828,188879,417356,0.01160069197110003
2026-03-19,187206,192914,186517,186713,446618,-0.03460595845009984
2026-03-18,193800,193899,190454,193406,330164,0.0154998057273672
2026-03-17,188288,193800,185434,190454,483969,0.03255082678232579
2026-03-16,186713,189273,178446,184450,615160,-0.020383667573079522
2026-03-13,186025,188780,182383,188288,759203,-0.03237609718996037
2026-03-12,191930,197343,188584,194588,694720,0.0010134214032542221
2026-03-11,202265,203741,192422,194391,515443,-0.027091549718724295
2026-03-10,212107,212107,196851,199804,664078,0.002468491611142376
2026-03-09,191733,202757,187993,199312,921864,0.0
2026-03-06,191536,202265,188288,199312,666000,0.03633451883280303
2026-03-05,180119,202757,180119,192324,1256829,0.179952513298117
2026-03-04,185237,194883,162993,162993,1541311,-0.1699234565260569
2026-03-03,212107,220474,196359,196359,899135,-0.09932435221752833
2026-02-27,210631,221458,209155,218013,798851,0.00911388420877235
2026-02-26,218013,220966,210631,216044,869121,0.016199435559736575
2026-02-25,212600,216537,207432,212600,565641,0.011711295856552173
2026-02-24,208170,211123,203741,210139,480023,0.019092928293614975
2026-02-23,215060,218997,204233,206202,566418,-0.021027294177970002
2026-02-20,214076,214076,205710,210631,423582,0.0
2026-02-19,196162,212107,193948,210631,1113286,0.0912788257785746
2026-02-13,199804,201773,191930,193013,830345,-0.05265508660505247
2026-02-12,198328,204233,195375,203741,584785,0.03500109219663594
2026-02-11,200296,204233,196753,196851,375753,-0.009903430238406563
2026-02-10,203741,209647,197836,198820,454647,-0.021791005121796436
2026-02-09,200788,203741,194391,203249,914255,0.0418751281525529
2026-02-06,196851,200788,190257,195080,1139215,-0.06288129893836769
2026-02-05,215060,218013,202757,208170,990089,-0.049439033411416644
2026-02-04,214076,227363,212600,218997,1099865,0.015982222387173506
2026-02-03,221458,221458,208662,215552,1093525,0.02097829227511916
2026-02-02,223426,231793,208662,211123,1926701,-0.07543311086587134
2026-01-30,246064,251970,228348,228348,2324874,-0.0569081515072668
2026-01-29,241143,255907,224903,242127,3422664,0.07423412231859627
2026-01-28,211615,226871,210139,225395,2915948,0.07259956504980036
2026-01-27,198328,212107,197343,210139,1834105,0.021530309659228974
2026-01-26,176182,205710,175395,205710,4333786,0.1990836811303598
