Date,Open,High,Low,Close,Volume,Change
2024-12-02,151500,152000,143200,143200,173466,-0.05603164139749506
2024-12-03,143000,147500,142500,143400,125168,0.0013966480446927498
2024-12-04,139000,142100,133600,133700,281740,-0.06764295676429566
2024-12-05,134000,134900,130700,131400,132391,-0.01720269259536278
2024-12-06,131600,134000,128000,132900,134572,0.011415525114155223
2024-12-09,128700,129500,122900,123200,180501,-0.07298720842738904
2024-12-10,123200,129500,123200,129000,107199,0.04707792207792205
2024-12-11,128700,132300,126800,130400,76350,0.010852713178294504
2024-12-12,132300,132400,129000,130600,104693,0.0015337423312884457
2024-12-13,131100,132800,129800,132400,57533,0.013782542113323082
2024-12-16,133600,134200,132000,132100,71519,-0.0022658610271902857
2024-12-17,132300,135800,130400,134200,91177,0.015897047691143085
2024-12-18,134500,139000,132600,135000,143467,0.005961251862891315
2024-12-19,130000,132400,129500,130900,77868,-0.03037037037037038
2024-12-20,130700,131100,127200,127900,79146,-0.02291825821237581
2024-12-23,129800,136700,128500,134800,134941,0.05394839718530098
2024-12-24,135700,148700,134500,145700,525056,0.08086053412462912
2024-12-26,147300,148900,143000,143700,210771,-0.013726835964310236
2024-12-27,144500,146500,138800,141200,144003,-0.01739735560194855
2024-12-30,144000,163500,142000,162700,843433,0.15226628895184136
2025-01-02,211000,211500,207000,211500,728153,0.29993853718500296
2025-01-03,225000,238500,204500,233000,5158783,0.10165484633569744
2025-01-06,231000,245500,227500,233000,1992288,0.0
2025-01-07,238500,256000,236000,242000,2361109,0.03862660944205998
2025-01-08,235500,242500,228000,234000,954907,-0.03305785123966942
2025-01-09,230500,238500,220000,236500,1342606,0.010683760683760646
2025-01-10,235500,238500,228000,230000,422563,-0.02748414376321351
2025-01-13,228000,242000,226500,239000,724247,0.03913043478260869
2025-01-14,236500,257000,232500,249000,1427202,0.04184100418410042
2025-01-15,251000,255000,240000,241000,747477,-0.032128514056224855
2025-01-16,243500,253000,240500,249500,574484,0.03526970954356856
2025-01-17,246000,265500,245000,261500,787330,0.04809619238476959
2025-01-20,261000,267500,257000,259000,488051,-0.009560229445506718
2025-01-21,261500,265000,256500,260500,407749,0.005791505791505891
2025-01-22,263500,269000,251000,253000,575536,-0.028790786948176605
2025-01-23,253000,258000,246500,248000,398533,-0.01976284584980237
2025-01-24,245000,249500,242000,247000,450626,-0.0040322580645161255
2025-01-31,243000,301000,242500,299500,1839937,0.21255060728744946
2025-02-03,294000,315000,294000,309500,1180641,0.03338898163606019
2025-02-04,313000,356000,311000,340000,2278111,0.09854604200323092
2025-02-05,344500,379000,342500,371000,1692431,0.09117647058823519
2025-02-06,379000,391000,360000,374500,1667849,0.009433962264151052
2025-02-07,379000,416500,368000,410500,1334315,0.09612817089452608
2025-02-10,419000,419000,372500,377000,1652453,-0.0816077953714982
2025-02-11,369000,410000,365500,399000,1555861,0.05835543766578244
2025-02-12,396000,400000,370000,373000,985085,-0.06516290726817042
2025-02-13,372000,392500,371000,379500,909923,0.01742627345844494
2025-02-14,387000,422500,386000,402000,1998643,0.059288537549407216
2025-02-17,409000,409000,382000,399000,944305,-0.007462686567164201
2025-02-18,390000,419000,386000,417500,1350279,0.0463659147869675
