Date,Open,High,Low,Close,Volume,Change
2024-12-02,27500,28250,27300,27600,703746,0.014705882352941124
2024-12-03,27850,29150,27700,28750,1090968,0.04166666666666674
2024-12-04,28000,29100,27650,28600,1107736,-0.00521739130434784
2024-12-05,29150,30000,28100,29300,1016463,0.02447552447552437
2024-12-06,29300,29350,27600,28800,967203,-0.017064846416382284
2024-12-09,28000,28350,26350,26450,1154661,-0.08159722222222221
2024-12-10,27000,29650,27000,29600,931967,0.11909262759924388
2024-12-11,29900,30050,28900,29800,760914,0.006756756756756799
2024-12-12,29750,30800,29300,29500,771536,-0.010067114093959773
2024-12-13,29800,30700,28900,30100,473162,0.02033898305084736
2024-12-16,30500,30550,29000,29100,594627,-0.03322259136212624
2024-12-17,29100,29600,28350,29000,456625,-0.0034364261168384758
2024-12-18,28900,29300,28050,28850,499056,-0.005172413793103403
2024-12-19,27700,28350,26800,27350,820616,-0.051993067590987874
2024-12-20,27100,27450,26400,26400,691714,-0.034734917733089565
2024-12-23,26900,27650,26550,27150,461368,0.02840909090909083
2024-12-24,27300,29050,26950,28450,686117,0.047882136279926435
2024-12-26,28700,29150,28100,28500,509834,0.0017574692442883233
2024-12-27,28200,29200,27850,28450,575385,-0.0017543859649122862
2024-12-30,28050,30450,28000,29900,801055,0.05096660808435849
2025-01-02,30050,30300,29400,29750,427846,-0.0050167224080267525
2025-01-03,30100,31400,29550,31150,678046,0.04705882352941182
2025-01-06,31150,31200,30200,30750,571106,-0.012841091492776902
2025-01-07,30800,32000,30650,31650,781691,0.029268292682926855
2025-01-08,31550,32100,29800,29900,963324,-0.05529225908372826
2025-01-09,30200,32800,29600,32050,1501155,0.07190635451505023
2025-01-10,32300,32350,30650,31050,802026,-0.03120124804992197
2025-01-13,30550,31400,30350,30700,476050,-0.011272141706924366
2025-01-14,31000,31400,30750,30900,371203,0.006514657980456029
2025-01-15,30850,31100,29400,29700,650437,-0.03883495145631066
2025-01-16,30750,33350,30600,32850,1869175,0.10606060606060597
2025-01-17,32850,33050,31750,32500,638900,-0.010654490106544956
2025-01-20,32800,32800,31000,31850,617835,-0.020000000000000018
2025-01-21,32250,32950,31900,32450,519376,0.018838304552590168
2025-01-22,32950,33600,32150,32200,729101,-0.007704160246533087
