Date,Open,High,Low,Close,Volume,Change
2024-12-02,93900,95800,93500,94200,856300,0.013993541442411273
2024-12-03,95900,98000,95000,98000,1269834,0.04033970276008492
2024-12-04,96700,99700,96300,98100,1718985,0.0010204081632652073
2024-12-05,97200,98400,93800,94000,1047065,-0.041794087665647295
2024-12-06,94100,96200,93200,94800,974415,0.008510638297872353
2024-12-09,93200,94400,92000,92000,1163885,-0.029535864978902926
2024-12-10,93000,96000,93000,95800,1426079,0.04130434782608705
2024-12-11,96500,97500,95400,96500,891106,0.007306889352818313
2024-12-12,96800,98900,96800,97200,1672208,0.007253886010362587
2024-12-13,97500,98600,96100,98100,784619,0.0092592592592593
2024-12-16,98100,98200,95300,95300,977937,-0.02854230377166156
2024-12-17,95400,97200,95400,95700,1015342,0.0041972717733473885
2024-12-18,96500,102400,96500,101800,2225773,0.0637408568443052
2024-12-19,100000,101800,98900,100600,1674120,-0.011787819253438081
2024-12-20,100100,101200,99000,101200,1253819,0.005964214711729587
2024-12-23,101200,102700,99500,100900,778490,-0.0029644268774703386
2024-12-24,100600,101500,99500,100600,588138,-0.0029732408325073845
2024-12-26,100800,103000,99600,102900,912601,0.022862823061630122
2024-12-27,101100,101800,100000,100900,607220,-0.0194363459669582
2024-12-30,100500,103100,100400,100700,704616,-0.001982160555004997
2025-01-02,101000,102300,100500,101600,712616,0.008937437934458892
2025-01-03,101500,101800,99200,100700,1015616,-0.008858267716535417
2025-01-06,100800,101300,99200,100500,784082,-0.0019860973187686426
2025-01-07,100500,101500,99100,99100,1128286,-0.013930348258706426
2025-01-08,99000,101400,98900,101000,1058728,0.019172552976791213
2025-01-09,101200,105700,101200,103300,2359171,0.022772277227722793
2025-01-10,104000,106600,103500,105600,1951844,0.022265246853823806
2025-01-13,104700,105400,103600,105400,1130422,-0.0018939393939394478
2025-01-14,104700,107900,104200,106700,1300498,0.012333965844402384
2025-01-15,106500,107200,102700,103300,1177799,-0.03186504217432051
2025-01-16,104500,104800,103000,103400,654359,0.0009680542110357404
2025-01-17,102400,103000,100400,101500,919480,-0.01837524177949712
2025-01-20,101500,102000,100800,101000,411505,-0.0049261083743842304
2025-01-21,102100,105300,100700,101000,1033495,0.0
2025-01-22,101900,103400,100700,103000,856499,0.01980198019801982
2025-01-23,102500,104000,101100,102700,730474,-0.002912621359223322
2025-01-24,104400,104400,101000,101700,1296839,-0.009737098344693274
2025-01-31,100800,102800,100200,102000,909716,0.002949852507374562
2025-02-03,100200,100700,95000,96100,2040413,-0.05784313725490198
2025-02-04,99100,99200,96300,96700,1255891,0.00624349635796051
2025-02-05,97400,99300,97000,98100,923434,0.014477766287487093
2025-02-06,98300,98800,97200,98800,563800,0.007135575942915473
2025-02-07,97600,98900,96300,96500,991140,-0.023279352226720618
2025-02-10,94000,95100,93000,94600,1722666,-0.01968911917098448
2025-02-11,93200,95100,93200,93800,1172529,-0.008456659619450302
2025-02-12,93300,94100,91400,91700,1688145,-0.02238805970149249
2025-02-13,93800,95600,93300,94300,2326740,0.028353326063249806
2025-02-14,94400,95900,93700,95000,1349332,0.007423117709437932
2025-02-17,94300,94900,93100,94300,1049521,-0.00736842105263158
2025-02-18,94300,95300,93700,93900,883917,-0.0042417815482502785
2025-02-19,92800,95800,92800,95000,1053531,0.011714589989350266
2025-02-20,94100,94800,93500,94500,1078110,-0.0052631578947368585
2025-02-21,95800,96700,94300,94600,960186,0.0010582010582009804
2025-02-24,93700,94900,93600,94900,659841,0.003171247357293794
2025-02-25,94000,94300,93200,93200,1001392,-0.017913593256059013
2025-02-26,93200,94200,93100,94100,789301,0.00965665236051505
2025-02-27,93700,94700,93600,94600,841391,0.005313496280552554
2025-02-28,93500,94400,93000,93200,1640049,-0.014799154334038
2025-03-04,93100,96300,91900,93300,1312252,0.0010729613733906351
2025-03-05,94600,96600,94400,95900,1593290,0.02786709539121124
2025-03-06,99000,99300,97300,98000,1778981,0.021897810218978186
2025-03-07,96700,97800,96100,96800,1138412,-0.01224489795918371
