Date,Open,High,Low,Close,Volume,Change
2024-12-02,76300,76400,74900,75300,135001,0.005340453938584844
2024-12-03,76600,77400,75800,77100,170223,0.0239043824701195
2024-12-04,76600,76700,75000,76000,177142,-0.014267185473411104
2024-12-05,75300,75800,74500,74600,142139,-0.018421052631578894
2024-12-06,75200,76000,74600,75800,184966,0.01608579088471851
2024-12-09,75200,75200,73700,73800,234635,-0.02638522427440637
2024-12-10,74500,75000,74000,74600,176034,0.01084010840108407
2024-12-11,74700,76200,74600,75900,127380,0.01742627345844494
2024-12-12,76300,76600,75500,76200,309993,0.0039525691699604515
2024-12-13,75800,77600,75800,77600,164235,0.018372703412073532
2024-12-16,77000,77900,76300,76600,144012,-0.012886597938144284
2024-12-17,76200,76200,74500,75000,228538,-0.02088772845953002
2024-12-18,75600,76900,75100,76600,171389,0.021333333333333426
2024-12-19,75200,75700,74800,75200,212217,-0.018276762402088753
2024-12-20,74700,75300,72700,73100,306747,-0.027925531914893664
2024-12-23,73800,75500,73100,75500,142881,0.03283173734610134
2024-12-24,75300,75700,74600,75300,58895,-0.0026490066225165476
2024-12-26,75300,75300,73800,74100,108640,-0.015936254980079667
2024-12-27,73200,74000,72700,73400,95957,-0.009446693657219951
2024-12-30,74000,74000,72000,72000,179338,-0.019073569482288777
2025-01-02,72000,72700,71600,72200,87178,0.002777777777777768
2025-01-03,71900,74800,71900,74100,121137,0.026315789473684292
2025-01-06,73400,75000,73400,74700,89412,0.00809716599190291
2025-01-07,74700,75400,74100,74600,94648,-0.0013386880856760541
2025-01-08,74000,75200,73900,74900,91022,0.004021447721179516
2025-01-09,74300,74800,73900,74000,145856,-0.012016021361815787
2025-01-10,73800,74700,73700,73900,143916,-0.0013513513513513375
2025-01-13,74100,74500,73100,73900,148455,0.0
2025-01-14,74000,74000,72200,72700,143820,-0.016238159675236785
2025-01-15,73100,73900,72000,72200,161810,-0.00687757909215958
2025-01-16,72700,73200,72100,73000,125941,0.011080332409972193
2025-01-17,72900,73900,72700,73100,149034,0.00136986301369868
2025-01-20,73300,74500,72900,74100,106697,0.013679890560875485
2025-01-21,74500,74700,72100,72800,138856,-0.01754385964912286
2025-01-22,73400,74200,72500,74000,116462,0.016483516483516425
2025-01-23,74600,74600,72900,73300,96305,-0.009459459459459474
2025-01-24,73700,73900,72900,73600,63437,0.004092769440654953
2025-01-31,74300,74900,73300,74900,344911,0.017663043478260976
2025-02-03,73200,73200,70700,71800,338798,-0.041388518024032095
2025-02-04,72300,73100,71600,72000,322998,0.0027855153203342198
2025-02-05,72400,72600,71600,72100,170365,0.001388888888888884
2025-02-06,72500,73800,71900,73800,107968,0.023578363384188616
2025-02-07,73100,73800,72300,72800,146754,-0.013550135501354976
2025-02-10,72700,72700,69700,69700,339496,-0.04258241758241754
2025-02-11,70000,70300,68000,68500,254153,-0.017216642754662836
2025-02-12,68900,69100,68600,68900,110666,0.005839416058394109
2025-02-13,69300,70800,68400,70800,232696,0.027576197387518153
2025-02-14,70400,70500,69600,69900,165471,-0.012711864406779627
2025-02-17,69900,70100,69100,69700,183587,-0.0028612303290415086
2025-02-18,69400,69600,68500,68900,241125,-0.011477761836441891
2025-02-19,69000,70600,69000,70100,237700,0.01741654571843254
2025-02-20,69800,70500,69800,70400,158777,0.004279600570613384
2025-02-21,70600,71100,70300,70600,191183,0.0028409090909091717
2025-02-24,69900,70200,69600,70100,218753,-0.007082152974504208
2025-02-25,69600,70300,69500,69900,209772,-0.0028530670470755526
2025-02-26,70100,70200,69600,70100,217650,0.0028612303290413976
2025-02-27,70300,70400,69500,70100,260310,0.0
2025-02-28,69400,69600,66500,66500,1226185,-0.051355206847360946
2025-03-04,66500,67200,66000,66000,288284,-0.007518796992481258
2025-03-05,66500,67200,66200,66600,232281,0.009090909090909038
2025-03-06,67000,67800,66700,67800,203860,0.018018018018018056
2025-03-07,67200,67700,67000,67000,173859,-0.01179941002949858
2025-03-10,66700,68500,66600,68200,198356,0.017910447761193993
2025-03-11,66900,68800,66900,68300,337726,0.0014662756598240456
2025-03-12,67900,68300,67500,67800,243666,-0.007320644216691097
2025-03-13,67600,68400,67400,68000,356793,0.002949852507374562
2025-03-14,67600,67600,67000,67400,265688,-0.008823529411764675
2025-03-17,67800,68800,67700,68600,260197,0.017804154302670572
2025-03-18,68300,68900,68300,68800,197001,0.00291545189504383
2025-03-19,69000,71300,69000,70200,460270,0.02034883720930236
2025-03-20,70200,70500,69700,70000,274683,-0.002849002849002802
2025-03-21,69900,70250,69500,69700,298366,-0.004285714285714337
2025-03-24,69500,69900,69300,69700,155051,0.0
2025-03-25,67200,67800,66300,67500,322748,-0.031563845050215256
2025-03-26,67500,67700,67100,67200,205683,-0.004444444444444473
2025-03-27,66700,67200,66500,66800,214535,-0.005952380952380931
2025-03-28,67000,67050,65500,65700,284292,-0.01646706586826352
2025-03-31,65100,65400,64300,64600,410900,-0.016742770167427756
2025-04-01,64300,65600,64100,65000,176565,0.006191950464396356
2025-04-02,65000,65500,62800,63000,431950,-0.03076923076923077
2025-04-03,61500,62400,60800,62300,249751,-0.011111111111111072
2025-04-04,61800,62800,61200,62600,169340,0.0048154093097914075
2025-04-07,60300,61300,59300,60800,256374,-0.028753993610223683
2025-04-08,61100,61300,59300,59800,254963,-0.016447368421052655
2025-04-09,59000,59500,58300,58500,217545,-0.021739130434782594
2025-04-10,60500,61100,59800,60900,434751,0.0410256410256411
2025-04-11,60100,61900,59900,61500,252991,0.009852216748768461
2025-04-14,61300,62400,61200,62400,88802,0.014634146341463428
2025-04-15,62300,63300,62200,62700,108922,0.004807692307692291
2025-04-16,63000,63200,62300,62700,111633,0.0
2025-04-17,63000,63100,62200,63000,73937,0.004784688995215225
2025-04-18,62800,63300,62500,63200,65217,0.0031746031746031633
2025-04-21,63200,63600,62500,63200,40088,0.0
2025-04-22,63100,63800,62700,63500,108123,0.004746835443038
2025-04-23,64600,64900,63900,64800,219416,0.020472440944881987
2025-04-24,64500,65000,64300,65000,118743,0.0030864197530864335
2025-04-25,65200,65900,64900,65100,133229,0.0015384615384614886
2025-04-28,64700,65800,64700,65400,69411,0.004608294930875667
2025-04-29,65500,66300,65400,65500,165346,0.001529051987767538
2025-04-30,64900,66600,64800,66600,221444,0.016793893129771087
