Date,Open,High,Low,Close,Volume,Change
2024-12-02,287000,289000,279000,280500,303499,-0.0070796460176991705
2024-12-03,283000,284000,275000,275500,548888,-0.017825311942959
2024-12-04,270000,274000,267000,273000,544889,-0.00907441016333943
2024-12-05,273500,274500,265000,266500,402025,-0.023809523809523836
2024-12-06,266500,270500,257000,265500,467577,-0.0037523452157598447
2024-12-09,258500,261000,252000,253500,567811,-0.04519774011299438
2024-12-10,256000,271000,256000,271000,570207,0.06903353057199202
2024-12-11,271000,273500,268500,272500,315948,0.005535055350553542
2024-12-12,274000,278500,268500,274500,679478,0.007339449541284404
2024-12-13,274500,276000,270000,271000,483308,-0.012750455373406244
2024-12-16,274000,277000,270000,270500,421901,-0.0018450184501844769
2024-12-17,271000,271500,262000,264000,569889,-0.02402957486136781
2024-12-18,264000,270000,264000,268500,243305,0.017045454545454586
2024-12-19,261500,266500,260000,263000,278879,-0.020484171322160183
2024-12-20,262500,265500,258500,259500,384248,-0.013307984790874472
2024-12-23,260000,264000,258500,262000,289621,0.009633911368015502
2024-12-24,264500,268500,261000,261000,219033,-0.003816793893129722
2024-12-26,262500,262500,255500,256000,301681,-0.019157088122605415
2024-12-27,253500,259500,250000,253500,353337,-0.009765625
2024-12-30,251500,259000,251500,253500,251843,0.0
2025-01-02,254500,255000,248500,250000,272261,-0.013806706114398382
2025-01-03,249000,262000,249000,259000,350244,0.03600000000000003
2025-01-06,260000,263500,258000,262000,255736,0.01158301158301156
2025-01-07,264500,267000,262000,262500,279604,0.001908396946564972
2025-01-08,260000,266000,258500,263500,416860,0.003809523809523707
2025-01-09,263000,264500,258000,261000,508533,-0.009487666034155628
2025-01-10,259500,263500,257500,262000,315902,0.003831417624521105
2025-01-13,259500,261500,256000,257000,242769,-0.01908396946564883
2025-01-14,258500,262000,255000,259500,302202,0.009727626459143934
2025-01-15,261000,265000,257000,257000,231931,-0.009633911368015391
2025-01-16,261500,265000,261000,262000,217450,0.01945525291828787
2025-01-17,262000,263000,259000,260000,154275,-0.007633587786259555
2025-01-20,262500,272500,262000,271000,440938,0.04230769230769238
2025-01-21,270000,272000,257000,258000,407749,-0.047970479704797064
2025-01-22,260500,266500,260500,264000,242748,0.023255813953488413
2025-01-23,262500,263000,257000,259500,189906,-0.017045454545454586
