Date,Open,High,Low,Close,Volume,Change
2024-12-02,253569,258464,251121,253569,269390,0.017683203364865507
2024-12-03,258464,262380,253568,255527,421229,0.007721764095768746
2024-12-04,247694,255037,247205,253569,474420,-0.007662595342175171
2024-12-05,253568,254058,245736,246226,311786,-0.02895858720900424
2024-12-06,245736,252589,239372,246226,365050,0.0
2024-12-09,240841,243289,233498,234478,393456,-0.04771226434251463
2024-12-10,236925,248673,236925,247205,289722,0.05427801328909321
2024-12-11,246226,250142,240841,243289,266666,-0.01584110353754986
2024-12-12,245736,253079,241820,249653,497996,0.026158190464838027
2024-12-13,251611,257485,247695,255038,416657,0.021569939075436695
2024-12-16,258953,262380,255526,257485,260673,0.009594648640594672
2024-12-17,255527,256506,239862,241821,648435,-0.06083461172495486
2024-12-18,244757,254058,242799,252590,404014,0.04453293965371086
2024-12-19,245247,252100,243289,248674,297787,-0.015503384932103459
2024-12-20,253079,253079,242800,242800,470501,-0.023621287307881045
2024-12-23,245736,252590,238394,250632,312770,0.03225700164744638
2024-12-24,251121,255527,249163,249653,206637,-0.0039061253152031794
2024-12-26,250632,251121,241821,241821,217080,-0.031371543702659266
2024-12-27,240352,244758,237415,242800,218362,0.004048449059428361
2024-12-30,241820,248673,241820,242310,199422,-0.0020181219110378956
2025-01-02,242310,244757,233009,234478,329634,-0.0323222318517602
2025-01-03,230072,243779,227135,241821,454357,0.03131637083223149
2025-01-06,241820,245737,238394,243779,294522,0.0080968981188565
2025-01-07,243778,249163,240841,241331,366621,-0.010041882196579643
2025-01-08,239372,246715,237414,244268,512518,0.012170007168577524
2025-01-09,244267,245246,232519,233988,722180,-0.04208492311723189
2025-01-10,233988,234967,227624,229093,413626,-0.020919876232969203
2025-01-13,227625,230072,224688,224688,375335,-0.01922799910953199
2025-01-14,227624,233499,225666,231541,361798,0.03050007120985554
2025-01-15,232030,233499,226156,226646,282940,-0.021140964235275783
2025-01-16,230562,234478,229093,229583,292772,0.012958534454612147
2025-01-17,228113,231540,227624,229093,215815,-0.0021343043692259034
2025-01-20,230072,239373,230072,238394,436132,0.04059923262605136
2025-01-21,235946,237904,225176,229093,429840,-0.039015243672240074
2025-01-22,230561,236436,229582,234478,275832,0.023505737844456087
2025-01-23,233009,233499,227625,227625,245299,-0.029226622540280967
2025-01-24,228114,229583,220282,221751,486052,-0.025805601317957172
2025-01-31,220771,221261,215386,217345,412028,-0.019869132495456632
2025-02-03,211959,211959,202658,203638,518647,-0.0630656329798247
2025-02-04,206086,209512,201191,201191,523511,-0.012016421296614621
2025-02-05,203638,211470,203148,208044,404393,0.03406215983816363
2025-02-06,208534,209513,204128,207555,351675,-0.0023504643248543067
2025-02-07,205107,211960,204127,205107,313332,-0.011794464117944603
2025-02-10,201191,208534,195806,206576,677930,0.007162115383677836
2025-02-11,205596,210491,203638,206086,296924,-0.0023720083649600987
2025-02-12,206085,208043,203637,204617,247127,-0.007128092155701982
2025-02-13,206575,212450,206086,209513,840837,0.023927630646525033
2025-02-14,209512,212449,207064,209023,314999,-0.002338757022237292
2025-02-17,210980,217344,208533,214897,359054,0.028102170574530128
2025-02-18,216855,216855,210491,212939,266985,-0.009111341712541354
2025-02-19,211470,223219,211470,221261,511308,0.03908161492258344
2025-02-20,220771,227135,219792,222240,395944,0.004424638775021306
2025-02-21,222729,228114,220282,226646,390613,0.019825413966882754
2025-02-24,223708,243289,223219,241821,810911,0.06695463409899127
2025-02-25,238394,242310,231540,231541,580972,-0.04251078276907294
2025-02-26,229582,235457,228114,232520,682151,0.004228192847055112
2025-02-27,234967,237415,231051,233499,441715,0.004210390504042705
2025-02-28,230072,230072,217834,219303,704342,-0.06079683424768412
2025-03-04,217345,219303,208044,208534,604511,-0.04910557539112548
2025-03-05,210981,212449,205596,209023,562644,0.0023449413524891938
2025-03-06,211470,216365,207064,208044,584454,-0.004683695095755058
2025-03-07,205596,216365,203638,213918,522099,0.02823441195131804
2025-03-10,213918,215876,209023,211471,472306,-0.011438962593143143
2025-03-11,202658,206575,201679,204617,487464,-0.03241106345550926
2025-03-12,207554,210492,205596,208534,387217,0.01914308195311243
2025-03-13,210980,211959,199722,199722,1089451,-0.04225689815569644
