Date,Open,High,Low,Close,Volume,Change
2024-12-02,109300,109300,106000,107200,295509,-0.007407407407407418
2024-12-03,108200,109700,107700,109300,430199,0.019589552238805874
2024-12-04,106600,108500,105700,106200,388496,-0.02836230558096986
2024-12-05,106700,111300,106100,109500,468211,0.031073446327683607
2024-12-06,110600,113500,107600,110400,670528,0.008219178082191858
2024-12-09,109300,110400,105600,105600,405189,-0.04347826086956519
2024-12-10,107900,116500,107900,116300,715825,0.10132575757575757
2024-12-11,116300,119400,115200,119300,489644,0.02579535683576961
2024-12-12,119300,122300,118200,120700,667265,0.011735121542330251
2024-12-13,120400,127800,120400,126100,865640,0.04473902236951122
2024-12-16,127600,128000,124900,127500,363406,0.011102299762093537
2024-12-17,126600,126600,123500,124600,475738,-0.02274509803921565
2024-12-18,125900,128000,125000,126100,324832,0.012038523274478408
2024-12-19,122500,130500,122300,127900,624189,0.014274385408405976
2024-12-20,127900,130000,126100,128700,498624,0.006254886630179923
2024-12-23,129300,129500,127000,128200,196254,-0.0038850038850039015
2024-12-24,128700,129300,126600,127000,236529,-0.009360374414976613
2024-12-26,128200,128200,124400,125900,250854,-0.008661417322834652
2024-12-27,125000,126800,123400,124500,223180,-0.011119936457505974
2024-12-30,124100,125400,123100,123800,160820,-0.005622489959839383
2025-01-02,124000,125000,120500,122400,215485,-0.011308562197092087
2025-01-03,122000,124400,121400,122300,439170,-0.0008169934640522847
2025-01-06,124800,133000,124600,130900,813823,0.07031888798037622
2025-01-07,132100,132200,125900,126800,472125,-0.031321619556913705
2025-01-08,125200,132300,125100,131200,406346,0.034700315457413256
2025-01-09,131500,133400,129200,129200,459274,-0.015243902439024404
2025-01-10,131100,131500,128600,129300,265143,0.0007739938080495445
2025-01-13,128100,129300,126500,126600,275227,-0.02088167053364265
2025-01-14,127200,129700,125900,126100,271971,-0.003949447077409185
2025-01-15,127100,129000,123000,123100,397814,-0.023790642347343405
2025-01-16,124500,126400,123200,123600,309865,0.004061738424045558
2025-01-17,123600,128500,123400,128200,414875,0.03721682847896446
2025-01-20,128600,128700,126300,126600,201645,-0.012480499219968744
2025-01-21,127200,129200,124200,126500,268429,-0.0007898894154818592
2025-01-22,127700,130800,126000,130500,313614,0.031620553359683834
2025-01-23,130800,131600,127500,127500,311761,-0.02298850574712641
2025-01-24,127800,129700,126100,128100,271505,0.004705882352941115
2025-01-31,130800,135600,129300,134100,708321,0.04683840749414525
2025-02-03,131800,132200,129200,131100,368952,-0.022371364653243853
2025-02-04,132400,134200,130700,131800,351405,0.005339435545385296
2025-02-05,133300,134100,131000,131000,259904,-0.006069802731411222
2025-02-06,132100,134600,130200,134600,330138,0.027480916030534264
2025-02-07,136300,139200,135400,138500,770507,0.028974739970282215
2025-02-10,137600,146500,137100,144100,892180,0.0404332129963898
2025-02-11,145200,146000,143000,144700,389860,0.004163775156141636
2025-02-12,144800,146900,141200,144500,346112,-0.0013821700069108767
2025-02-13,144700,146500,142600,145200,436412,0.004844290657439521
2025-02-14,145900,149100,144200,148200,518379,0.02066115702479343
2025-02-17,149700,149800,145400,147400,272783,-0.005398110661268607
2025-02-18,147100,147100,143500,145300,301393,-0.014246947082767969
2025-02-19,144900,146100,144200,144700,310954,-0.004129387474191337
2025-02-20,143800,144400,140700,143900,413639,-0.005528680027643396
2025-02-21,144200,144500,141000,143200,213753,-0.00486448922863103
2025-02-24,141700,143800,141600,143700,205121,0.0034916201117318746
2025-02-25,142200,144000,140400,142100,171757,-0.011134307585247027
2025-02-26,141500,142100,140100,141100,389461,-0.0070372976776917895
2025-02-27,141900,144600,141500,142500,321309,0.009922041105598911
2025-02-28,139000,139800,134600,135000,571810,-0.052631578947368474
2025-03-04,133000,137900,133000,136800,182106,0.01333333333333342
2025-03-05,137700,139300,135300,135700,232103,-0.008040935672514626
2025-03-06,136100,137800,134600,135900,200474,0.0014738393515105752
2025-03-07,135000,137800,134400,134900,222195,-0.00735835172921262
2025-03-10,133800,134900,132600,132900,177602,-0.014825796886582698
2025-03-11,130000,138600,128700,135800,333978,0.021820917983446098
2025-03-12,137000,138700,135000,137300,199437,0.011045655375552244
2025-03-13,138500,141200,136950,138100,449549,0.0058266569555718295
2025-03-14,139500,140700,136600,137400,269055,-0.005068790731354134
2025-03-17,138100,142400,138100,139800,323118,0.017467248908296984
2025-03-18,140600,140800,136500,137100,211056,-0.01931330472102999
2025-03-19,136600,138800,136400,138000,156085,0.006564551422319376
2025-03-20,138500,140800,137700,139500,259013,0.010869565217391353
2025-03-21,139200,141100,138300,138500,245822,-0.007168458781361964
2025-03-24,138500,140900,137600,137600,127611,-0.006498194945848357
2025-03-25,139000,140300,136800,137600,214304,0.0
2025-03-26,137900,140900,137500,139200,203917,0.011627906976744207
2025-03-27,137700,138700,136900,137100,130604,-0.015086206896551713
2025-03-28,137400,137500,134500,135900,103968,-0.008752735229759279
2025-03-31,132200,133800,127300,129100,340830,-0.05003679175864606
2025-04-01,129500,130200,127600,128700,256790,-0.0030983733539891034
2025-04-02,129500,133000,128000,131700,258189,0.02331002331002341
2025-04-03,125200,126900,120300,120500,796234,-0.08504176157934695
2025-04-04,117500,122500,117000,121200,374721,0.0058091286307053736
2025-04-07,116200,117900,114400,114700,330364,-0.05363036303630364
2025-04-08,117600,117700,111700,112800,334751,-0.016564952048823023
2025-04-09,114200,114200,108800,109500,298087,-0.0292553191489362
2025-04-10,118800,119300,116200,119000,355878,0.08675799086757996
2025-04-11,116800,118100,115600,117800,166672,-0.010084033613445342
2025-04-14,120200,122800,119400,119700,222790,0.016129032258064502
2025-04-15,119200,120000,118300,119700,128263,0.0
2025-04-16,128100,128400,120500,120600,819352,0.007518796992481258
2025-04-17,120200,121600,119400,120800,201221,0.0016583747927032544
2025-04-18,121500,121900,120400,121000,149144,0.0016556291390728006
2025-04-21,120600,121600,120200,121200,112569,0.0016528925619834212
2025-04-22,120000,121200,119200,119400,139262,-0.014851485148514865
2025-04-23,121500,122700,120700,122400,196893,0.025125628140703515
2025-04-24,122800,123200,120900,122000,153151,-0.0032679738562091387
2025-04-25,123100,123400,121700,123000,168263,0.008196721311475308
2025-04-28,122200,123200,121000,121300,155015,-0.013821138211382089
2025-04-29,121600,123100,120500,121800,236087,0.004122011541632276
2025-04-30,121700,122100,116700,117700,612216,-0.0336617405582923
2025-05-02,117700,118200,117200,117600,172181,-0.000849617672047609
2025-05-07,118500,119600,117800,118300,166753,0.005952380952380931
2025-05-08,118600,118800,117100,117800,259417,-0.004226542688081203
2025-05-09,117900,118200,117000,117200,140994,-0.005093378607809895
2025-05-12,118100,125800,117900,125800,606796,0.07337883959044378
2025-05-13,127100,127100,124800,126000,288938,0.0015898251192367763
2025-05-14,126600,127300,125100,126300,235423,0.0023809523809523725
2025-05-15,125000,125400,121900,122200,264306,-0.03246239113222482
2025-05-16,122300,123200,121500,122600,174391,0.003273322422258529
2025-05-19,121100,121900,119700,120700,131104,-0.015497553017944532
2025-05-20,121600,122000,119200,119400,212393,-0.010770505385252704
2025-05-21,119800,121800,119800,120700,245860,0.010887772194304812
2025-05-22,120300,122000,118300,118800,211136,-0.0157415078707539
2025-05-23,118900,119600,117100,117300,181029,-0.012626262626262652
2025-05-26,116900,121400,116200,121100,190038,0.03239556692242118
2025-05-27,120300,120300,118000,118800,199064,-0.018992568125516085
2025-05-28,119600,124100,119400,123300,403093,0.037878787878787845
2025-05-29,125000,125000,122300,124000,209243,0.005677210056772131
2025-05-30,122800,125600,122000,122200,495787,-0.014516129032258074
2025-06-02,121500,123500,120200,120800,204952,-0.011456628477905073
2025-06-04,121700,123000,121000,121700,309432,0.007450331125827825
2025-06-05,123100,133300,122800,132000,956814,0.0846343467543138
2025-06-09,132600,132600,129500,130000,449209,-0.015151515151515138
2025-06-10,131100,131400,129200,129800,350480,-0.0015384615384614886
2025-06-11,130900,133400,130400,132400,366885,0.02003081664098616
2025-06-12,132800,132900,130800,131400,462595,-0.007552870090634434
2025-06-13,132100,132900,126500,127400,381735,-0.030441400304414
2025-06-16,127200,127300,124000,126900,315381,-0.003924646781789609
2025-06-17,128200,132800,127500,130700,475355,0.029944838455476797
2025-06-18,130000,133700,129200,133000,419263,0.01759755164498844
2025-06-19,134300,134600,129800,130300,433979,-0.020300751879699264
2025-06-20,132200,134800,132100,133300,455163,0.023023791250959436
2025-06-23,131000,131000,129200,130300,283319,-0.022505626406601698
2025-06-24,132900,138200,132900,136700,546143,0.049117421335379996
2025-06-25,139300,140400,136300,139100,415635,0.017556693489392927
2025-06-26,143900,144000,136900,138900,573696,-0.0014378145219267058
2025-06-27,138500,138500,134700,135500,267773,-0.024478041756659463
2025-06-30,136000,136500,133700,134700,222339,-0.005904059040590437
2025-07-01,136000,137200,134500,135200,229190,0.0037119524870081744
2025-07-02,133900,134800,132900,134500,201839,-0.005177514792899407
2025-07-03,136700,142700,136500,142300,742580,0.057992565055762
2025-07-04,141500,141700,138200,138600,335510,-0.026001405481377415
2025-07-07,138600,139800,137100,138900,240096,0.0021645021645022577
2025-07-08,137800,139200,136200,136700,255103,-0.015838732901367836
2025-07-09,137500,138900,134700,135400,309504,-0.009509875640087762
2025-07-10,136300,137300,135500,137100,290592,0.01255539143279183
2025-07-11,136000,138100,135800,137100,322790,0.0
2025-07-14,136700,137800,136100,137500,197188,0.0029175784099197966
2025-07-15,137600,139500,136800,139400,320381,0.01381818181818173
2025-07-16,138700,139600,137600,138000,216989,-0.010043041606886627
2025-07-17,138700,138700,135300,137800,283955,-0.0014492753623188692
2025-07-18,137800,139400,137200,138700,273011,0.006531204644412147
2025-07-21,138200,140000,136800,137300,256275,-0.010093727469358327
2025-07-22,137400,138100,133800,134500,319850,-0.02039329934450107
2025-07-23,135300,137000,132500,135900,256124,0.010408921933085402
2025-07-24,135600,136700,134900,135100,171950,-0.005886681383370118
2025-07-25,134500,135500,134300,134900,102962,-0.001480384900074072
2025-07-28,135900,138800,134600,138500,272477,0.026686434395848835
2025-07-29,138000,138100,134900,137400,231470,-0.007942238267148016
2025-07-30,137600,156700,137500,151900,3094286,0.1055312954876273
2025-07-31,150300,151800,147200,148700,628014,-0.02106649111257408
2025-08-01,146600,150200,142800,143300,581414,-0.03631472763954269
2025-08-04,143500,153400,142600,150300,850292,0.04884856943475224
2025-08-05,155300,157400,153200,155700,965006,0.03592814371257491
2025-08-06,153600,156600,153200,155600,453969,-0.0006422607578676631
2025-08-07,161100,163600,154500,155300,645193,-0.001928020565552746
2025-08-08,156400,162400,154500,160100,670902,0.030907920154539692
2025-08-11,160700,162700,159100,159800,359552,-0.0018738288569644101
2025-08-12,158200,160500,157800,157800,272659,-0.01251564455569465
2025-08-13,160000,163500,159100,162900,569109,0.0323193916349811
2025-08-14,162800,163500,161300,162600,259530,-0.0018416206261510082
2025-08-18,161200,161200,158200,158200,300453,-0.027060270602705994
2025-08-19,158900,159900,157100,159000,209985,0.005056890012642201
2025-08-20,156000,157600,153800,156500,352079,-0.01572327044025157
2025-08-21,156800,156900,153800,154800,277095,-0.010862619808306717
2025-08-22,155300,156200,154400,154700,144547,-0.0006459948320413078
2025-08-25,156300,158000,155000,157600,176204,0.018745959922430444
2025-08-26,158100,161500,158100,159500,485021,0.012055837563451854
2025-08-27,161000,162200,159300,161300,315995,0.011285266457680354
2025-08-28,160700,164400,160100,161900,330401,0.0037197768133911957
2025-08-29,162500,163400,159600,160500,268324,-0.00864731315626932
2025-09-01,158800,166600,158000,162200,443088,0.010591900311526459
2025-09-02,164400,170000,163200,169900,862789,0.047472256473489516
2025-09-03,172500,176500,171600,174200,793926,0.025309005297233567
2025-09-04,175100,179500,173700,178400,696996,0.024110218140068973
2025-09-05,180200,180500,176500,178200,400194,-0.0011210762331838042
2025-09-08,176200,178900,175800,178700,334713,0.0028058361391694042
2025-09-09,181200,182500,178100,180300,336513,0.008953553441522155
2025-09-10,179000,181300,178500,180500,359528,0.0011092623405435376
2025-09-11,183200,190000,183000,188000,931358,0.04155124653739617
2025-09-12,190100,193900,188300,190400,675115,0.012765957446808418
2025-09-15,191300,191700,187000,189000,504841,-0.007352941176470562
2025-09-16,189500,195000,189500,192900,556664,0.02063492063492056
2025-09-17,191800,195900,190600,192100,462395,-0.00414722654224986
2025-09-18,192400,195000,192000,194500,359269,0.012493492972410314
2025-09-19,194000,197700,192900,197700,532083,0.01645244215938302
2025-09-22,198300,208000,197800,207000,719169,0.047040971168436974
2025-09-23,209000,209500,200000,204000,368573,-0.01449275362318836
2025-09-24,201500,203000,197000,201500,523315,-0.01225490196078427
2025-09-25,199000,200500,197100,200000,381508,-0.007444168734491274
2025-09-26,197700,198100,188600,191700,850907,-0.04149999999999998
2025-09-29,193100,198700,192600,197600,337478,0.03077725612936888
2025-09-30,197100,198100,193300,193500,312982,-0.020748987854251055
2025-10-01,195800,196300,190800,193300,404107,-0.001033591731266159
2025-10-02,197800,199400,195200,195800,664365,0.012933264355923457
2025-10-10,202000,211000,199600,210500,947198,0.07507660878447386
2025-10-13,202000,204500,198500,203500,473190,-0.0332541567695962
2025-10-14,206000,208000,197000,198200,567219,-0.02604422604422607
2025-10-15,198900,200500,195400,200000,442942,0.00908173562058523
2025-10-16,199000,203000,197500,201500,440547,0.007500000000000062
2025-10-17,200000,208000,199000,207000,572650,0.027295285359801413
2025-10-20,208000,214500,204500,212500,522458,0.02657004830917864
2025-10-21,215000,221000,214000,216000,600165,0.016470588235294015
2025-10-22,214000,216000,207000,212000,339613,-0.01851851851851849
2025-10-23,207500,223500,206500,222000,637592,0.04716981132075482
2025-10-24,223000,223500,218500,222000,382187,0.0
2025-10-27,223500,228500,220500,228500,486164,0.029279279279279313
2025-10-28,229000,233500,226000,232000,448107,0.015317286652078765
2025-10-29,238000,240000,224000,232000,1072233,0.0
2025-10-30,229500,230000,221500,225000,787280,-0.030172413793103425
2025-10-31,226000,248000,225000,245000,908689,0.0888888888888888
2025-11-03,242000,247000,236000,243000,841490,-0.008163265306122436
2025-11-04,246000,250500,236000,239000,557195,-0.016460905349794275
2025-11-05,230500,232000,219500,229500,632356,-0.03974895397489542
2025-11-06,236500,237000,227500,232000,505655,0.01089324618736387
2025-11-07,220000,231500,215000,222500,587100,-0.04094827586206895
2025-11-10,224500,226500,218000,224000,377980,0.006741573033707926
2025-11-11,228500,233500,224500,227500,361539,0.015625
2025-11-12,226500,229500,223500,226500,285570,-0.00439560439560438
2025-11-13,225000,226250,220500,221500,495921,-0.02207505518763797
2025-11-14,213500,216500,212000,213000,601975,-0.038374717832957095
2025-11-17,216000,217000,208500,215500,470203,0.011737089201877993
2025-11-18,210500,212000,202500,204000,641226,-0.05336426914153136
2025-11-19,208000,222500,201000,215000,1166055,0.05392156862745101
2025-11-20,224000,228000,218500,218500,783585,0.016279069767441756
2025-11-21,208000,221500,207000,217500,689878,-0.004576659038901587
2025-11-24,223500,231500,219000,226000,917018,0.03908045977011487
2025-11-25,239500,245000,236000,241500,1028743,0.06858407079646023
2025-11-26,250000,258000,242000,257000,893102,0.06418219461697716
2025-11-27,252500,259250,250000,255000,531577,-0.0077821011673151474
2025-11-28,253000,254500,247500,251000,529584,-0.015686274509803977
2025-12-01,255000,259000,243500,250000,544242,-0.003984063745019917
2025-12-02,251500,258500,248250,252000,450595,0.008000000000000007
2025-12-03,255000,266000,251500,261000,598750,0.03571428571428581
2025-12-04,259000,266000,256500,265000,549696,0.015325670498084198
2025-12-05,261500,263500,256500,263000,394859,-0.007547169811320753
2025-12-08,265000,267500,257500,262000,347964,-0.0038022813688213253
2025-12-09,263500,274000,262500,269500,572729,0.028625954198473247
2025-12-10,275000,281000,265500,268500,781774,-0.0037105751391465214
2025-12-11,272000,282500,269500,269500,842236,0.003724394785847407
2025-12-12,272000,273500,264000,272000,455596,0.00927643784786647
2025-12-15,261000,265500,259000,263500,454635,-0.03125
2025-12-16,263000,263500,253500,255000,582349,-0.032258064516129004
2025-12-17,258000,260000,249000,258500,605403,0.013725490196078383
2025-12-18,251000,257500,249000,254000,322946,-0.01740812379110257
2025-12-19,260000,264000,251000,253000,490969,-0.003937007874015741
2025-12-22,259500,260000,252500,254500,416568,0.005928853754940677
2025-12-23,256000,256000,250000,251500,383556,-0.011787819253438081
2025-12-24,253000,257000,250000,253500,280065,0.007952286282306265
2025-12-26,257500,264500,255000,259000,615217,0.021696252465483346
2025-12-29,261000,262000,254500,257500,376430,-0.00579150579150578
2025-12-30,256000,256500,251000,255000,351562,-0.009708737864077666
2026-01-02,256500,273000,253000,270000,714957,0.05882352941176472
