Date,Open,High,Low,Close,Volume,Change
2024-12-02,1235000,1534000,1228000,1411000,133739,0.19576271186440675
2024-12-03,1450000,1642000,1420000,1542000,116463,0.09284195605953216
2024-12-04,1604000,1720000,1580000,1671000,85292,0.08365758754863806
2024-12-05,1731000,2000000,1711000,2000000,95215,0.1968880909634949
2024-12-06,2124000,2407000,1736000,1813000,250745,-0.09350000000000003
2024-12-09,1845000,1930000,1475000,1535000,125038,-0.15333701047986759
2024-12-10,1511000,1664000,1446000,1532000,109717,-0.001954397394136831
2024-12-11,1534000,1565000,1400000,1402000,73976,-0.08485639686684077
2024-12-12,1370000,1397000,1283000,1361000,176712,-0.02924393723252494
2024-12-13,1345000,1372000,1222000,1225000,86832,-0.09992652461425422
2024-12-16,1221000,1260000,1165000,1166000,61990,-0.04816326530612247
2024-12-17,1167000,1195000,1100000,1112000,51803,-0.046312178387650116
2024-12-18,1123000,1136000,1066000,1066000,51163,-0.04136690647482011
2024-12-19,1055000,1107000,1020000,1066000,51230,0.0
2024-12-20,1020000,1024000,990000,991000,158689,-0.07035647279549717
2024-12-23,992000,1126000,982000,1102000,87083,0.11200807265388502
2024-12-24,1128000,1155000,1044000,1134000,91935,0.029038112522685955
2024-12-26,1139000,1260000,1138000,1219000,98562,0.0749559082892417
2024-12-27,1220000,1228000,1027000,1027000,61976,-0.1575061525840853
2024-12-30,1025000,1095000,1002000,1006000,52413,-0.020447906523855863
2025-01-02,1019000,1030000,951000,957000,38685,-0.04870775347912526
2025-01-03,957000,981000,939000,948000,36677,-0.009404388714733591
2025-01-06,950000,959000,917000,931000,41820,-0.01793248945147674
2025-01-07,931000,946000,926000,932000,29194,0.0010741138560688146
2025-01-08,925000,927000,890000,902000,47658,-0.03218884120171672
2025-01-09,900000,929000,886000,927000,84336,0.027716186252771724
2025-01-10,918000,924000,870000,875000,37499,-0.056094929881337685
2025-01-13,876000,881000,833000,843000,41320,-0.03657142857142859
2025-01-14,843000,845000,816000,837000,37257,-0.007117437722419906
2025-01-15,841000,843000,817000,829000,30666,-0.009557945041816063
2025-01-16,830000,834000,808000,817000,30081,-0.014475271411338975
2025-01-17,809000,863000,808000,840000,68053,0.028151774785801775
2025-01-20,860000,927000,826000,830000,107580,-0.011904761904761862
2025-01-21,843000,851000,759000,759000,57771,-0.08554216867469877
2025-01-22,755000,779000,739000,759000,83884,0.0
2025-01-23,775000,780000,749000,757000,58612,-0.0026350461133070047
2025-01-24,767000,862000,754000,845000,98923,0.1162483487450463
2025-01-31,860000,861000,810000,824000,35526,-0.02485207100591713
2025-02-03,807000,808000,777000,789000,21922,-0.04247572815533984
2025-02-04,786000,812000,782000,799000,34134,0.012674271229404344
2025-02-05,798000,811000,787000,795000,21145,-0.005006257822277815
2025-02-06,803000,811000,783000,790000,23450,-0.0062893081761006275
2025-02-07,788000,797000,780000,784000,23523,-0.0075949367088608
2025-02-10,785000,785000,751000,760000,22697,-0.030612244897959218
2025-02-11,761000,800000,760000,789000,25561,0.03815789473684217
2025-02-12,798000,825000,786000,790000,35715,0.0012674271229404788
2025-02-13,800000,800000,760000,778000,78016,-0.015189873417721489
2025-02-14,780000,804000,765000,796000,20623,0.023136246786632286
2025-02-17,806000,836000,795000,813000,33415,0.021356783919598055
2025-02-18,821000,832000,806000,814000,29635,0.0012300123001229846
2025-02-19,812000,849000,811000,840000,35828,0.03194103194103204
2025-02-20,831000,842000,815000,840000,22223,0.0
2025-02-21,850000,850000,798000,816000,30336,-0.02857142857142858
2025-02-24,821000,825000,808000,817000,17193,0.001225490196078427
2025-02-25,809000,809000,772000,775000,24858,-0.05140758873929008
2025-02-26,779000,784000,766000,782000,15604,0.00903225806451613
2025-02-27,778000,782000,761000,774000,15206,-0.010230179028132946
2025-02-28,769000,769000,742000,743000,89630,-0.040051679586563305
2025-03-04,733000,755000,711000,739000,15249,-0.0053835800807536804
2025-03-05,740000,748000,722000,727000,20488,-0.016238159675236785
2025-03-06,727000,728000,706000,720000,24579,-0.009628610729023435
2025-03-07,718000,733000,696000,726000,21638,0.008333333333333304
2025-03-10,731000,856000,730000,829000,137345,0.14187327823691454
2025-03-11,817000,899000,794000,845000,125763,0.0193003618817853
2025-03-12,833000,1070000,810000,1065000,172603,0.2603550295857988
2025-03-13,1059000,1090000,955000,955000,164139,-0.10328638497652587
2025-03-14,935000,991000,910000,913000,73364,-0.043979057591623016
2025-03-17,924000,948000,878000,893000,42153,-0.02190580503833517
2025-03-18,894000,910000,875000,882000,20798,-0.012318029115341522
2025-03-19,882000,891000,820000,827000,45865,-0.06235827664399096
2025-03-20,827000,870000,820000,847000,44889,0.0241837968561065
2025-03-21,848000,855000,805000,848000,101574,0.0011806375442739991
2025-03-24,840000,848000,819000,819000,13716,-0.034198113207547176
2025-03-25,821000,830000,818000,824000,14056,0.006105006105006083
2025-03-26,830000,869000,823000,849000,20260,0.03033980582524265
2025-03-27,853000,871000,807000,839000,29255,-0.011778563015312105
2025-03-28,849000,900000,740000,766000,65745,-0.08700834326579265
2025-03-31,770000,791000,748000,778000,19946,0.015665796344647598
2025-04-01,785000,791000,766000,772000,15174,-0.007712082262210762
2025-04-02,773000,779000,731000,742000,25576,-0.03886010362694303
2025-04-03,710000,725000,701000,711000,24323,-0.0417789757412399
2025-04-04,701000,709000,682000,705000,16832,-0.008438818565400852
2025-04-07,666000,692000,655000,673000,17115,-0.04539007092198577
2025-04-08,674000,691000,655000,666000,17415,-0.010401188707280795
2025-04-09,659000,673000,643000,653000,16913,-0.019519519519519468
2025-04-10,674000,700000,666000,700000,38375,0.07197549770290967
2025-04-11,687000,687000,663000,683000,16425,-0.024285714285714244
2025-04-14,685000,738000,682000,682000,19448,-0.0014641288433382416
2025-04-15,691000,698000,678000,694000,8649,0.017595307917888547
2025-04-16,695000,698000,680000,691000,7088,-0.004322766570605152
2025-04-17,691000,698000,683000,690000,7972,-0.0014471780028944004
2025-04-18,688000,690000,677000,679000,9254,-0.01594202898550723
2025-04-21,680000,688000,675000,684000,7275,0.007363770250368162
2025-04-22,684000,713000,675000,712000,21301,0.040935672514619936
2025-04-23,725000,741000,690000,706000,14436,-0.008426966292134797
2025-04-24,698000,724000,696000,721000,13628,0.021246458923512845
2025-04-25,721000,734000,712000,714000,10879,-0.009708737864077666
2025-04-28,715000,791000,715000,772000,44378,0.08123249299719881
2025-04-29,800000,800000,773000,786000,23178,0.0181347150259068
2025-04-30,765000,809000,765000,798000,51452,0.01526717557251911
2025-05-02,797000,802000,773000,783000,16028,-0.018796992481203034
2025-05-07,806000,808000,766000,771000,24904,-0.01532567049808431
2025-05-08,771000,799000,771000,791000,33467,0.025940337224383825
2025-05-09,808000,883000,803000,848000,52765,0.07206068268015176
2025-05-12,872000,880000,847000,858000,17236,0.011792452830188704
2025-05-13,839000,840000,815000,818000,15563,-0.046620046620046596
2025-05-14,825000,840000,802000,839000,11602,0.025672371638141733
2025-05-15,825000,834000,815000,815000,8695,-0.028605482717520836
2025-05-16,823000,825000,810000,821000,7841,0.007361963190184007
2025-05-19,813000,822000,783000,794000,13147,-0.032886723507917215
2025-05-20,798000,807000,788000,796000,9532,0.0025188916876575096
2025-05-21,799000,816000,790000,797000,9676,0.0012562814070351536
2025-05-22,790000,796000,773000,780000,12170,-0.021329987452948562
2025-05-23,774000,780000,765000,778000,11378,-0.002564102564102555
2025-05-26,767000,784000,765000,776000,12703,-0.0025706940874036244
2025-05-27,769000,769000,736000,743000,21940,-0.04252577319587625
2025-05-28,736000,752000,725000,748000,20546,0.006729475100942128
2025-05-29,754000,760000,741000,750000,14172,0.002673796791443861
2025-05-30,743000,748000,728000,731000,28870,-0.02533333333333332
2025-06-02,731000,739000,718000,730000,16607,-0.001367989056087593
2025-06-04,730000,775000,727000,770000,28116,0.0547945205479452
2025-06-05,753000,770000,753000,758000,17348,-0.01558441558441559
2025-06-09,759000,778000,758000,770000,22599,0.0158311345646438
2025-06-10,763000,770000,755000,765000,17839,-0.00649350649350644
2025-06-11,761000,774000,757000,761000,15543,-0.005228758169934622
2025-06-12,753000,783000,753000,783000,41648,0.028909329829172048
2025-06-13,776000,793000,767000,788000,20653,0.0063856960408683605
2025-06-16,796000,797000,764000,794000,22924,0.0076142131979695105
2025-06-17,812000,870000,804000,836000,35024,0.05289672544080615
2025-06-18,845000,854000,821000,836000,22302,0.0
2025-06-19,843000,851000,811000,833000,20348,-0.0035885167464114742
2025-06-20,830000,830000,809000,816000,161186,-0.020408163265306145
2025-06-23,836000,848000,817000,818000,33411,0.002450980392156854
2025-06-24,823000,828000,811000,819000,18255,0.0012224938875304847
2025-06-25,814000,815000,790000,790000,25148,-0.035409035409035394
2025-06-26,794000,798000,782000,793000,17555,0.0037974683544304
