Date,Open,High,Low,Close,Volume,Change
2024-12-02,24250,24400,23900,24100,1350602,0.008368200836819994
2024-12-03,24100,24250,23550,23800,1960150,-0.012448132780082943
2024-12-04,23000,23450,21300,21700,8835581,-0.08823529411764708
2024-12-05,21750,22000,21300,21650,2115376,-0.0023041474654378336
2024-12-06,21700,22000,20750,21250,2829447,-0.018475750577367167
2024-12-09,21000,21250,20450,20900,2010349,-0.016470588235294126
2024-12-10,21000,21550,20950,21400,1601929,0.02392344497607657
2024-12-11,21600,21600,21250,21450,933777,0.002336448598130758
2024-12-12,21450,21800,21050,21150,2340214,-0.013986013986013957
2024-12-13,21250,21500,21050,21350,1115002,0.009456264775413725
2024-12-16,21500,21850,21450,21550,1126990,0.00936768149882905
2024-12-17,21600,21750,21150,21300,1264645,-0.011600928074245953
2024-12-18,21400,21400,21000,21300,1423546,0.0
2024-12-19,20950,21000,20400,20600,2281302,-0.032863849765258246
2024-12-20,20650,20750,20250,20300,1462786,-0.014563106796116498
2024-12-23,20450,20750,20200,20700,1094287,0.019704433497536922
2024-12-24,20650,20700,20400,20550,784465,-0.007246376811594235
2024-12-26,20500,20600,20300,20400,791883,-0.007299270072992692
2024-12-27,20250,20350,19830,20000,1841452,-0.019607843137254943
2024-12-30,20000,20500,20000,20050,952798,0.0024999999999999467
2025-01-02,20050,20050,19400,19560,2127882,-0.0244389027431422
2025-01-03,19590,20100,19580,20000,1308102,0.02249488752556239
2025-01-06,20050,20100,19880,19980,1728811,-0.0010000000000000009
2025-01-07,19980,20550,19940,20450,1696531,0.023523523523523604
2025-01-08,20250,20500,20100,20450,1100398,0.0
2025-01-09,20350,20400,20100,20300,2030747,-0.007334963325183352
2025-01-10,20200,20600,20150,20400,1036168,0.0049261083743843415
2025-01-13,20300,20400,20100,20150,963122,-0.01225490196078427
2025-01-14,20200,20550,20100,20150,1371283,0.0
2025-01-15,20300,20500,20100,20400,1184187,0.012406947890818865
2025-01-16,20500,20550,20150,20250,1099328,-0.007352941176470562
2025-01-17,20400,20850,20400,20750,2146865,0.024691358024691468
2025-01-20,20750,20900,20600,20750,865294,0.0
2025-01-21,20900,21350,20850,21200,1664631,0.02168674698795181
2025-01-22,21300,21400,20950,21000,1072444,-0.009433962264150941
2025-01-23,21000,21050,20600,20800,996634,-0.00952380952380949
2025-01-24,20800,21050,20650,21000,768592,0.009615384615384581
2025-01-31,21250,21250,20800,21050,805990,0.0023809523809523725
2025-02-03,20850,20850,20450,20650,1088094,-0.019002375296912066
2025-02-04,20800,20900,20550,20650,1031303,0.0
2025-02-05,20700,21150,20650,21050,1226805,0.01937046004842613
2025-02-06,21200,21300,21000,21200,895892,0.0071258907363420665
2025-02-07,21050,21100,20750,20750,988722,-0.021226415094339646
2025-02-10,20750,20900,20650,20700,793476,-0.002409638554216831
2025-02-11,20700,20900,20550,20650,869389,-0.0024154589371980784
2025-02-12,20700,20750,20500,20650,933552,0.0
2025-02-13,20650,20750,20550,20700,1224800,0.002421307506053294
2025-02-14,20700,21150,20650,21100,1445490,0.019323671497584627
2025-02-17,21050,21300,21000,21200,940869,0.004739336492890933
2025-02-18,21250,21300,20950,21200,1080543,0.0
