Date,Open,High,Low,Close,Volume,Change
2024-12-02,61800,61800,60400,60900,827485,-0.008143322475570036
2024-12-03,61300,61300,59800,60000,887790,-0.014778325123152691
2024-12-04,58400,59900,58300,58800,1145912,-0.020000000000000018
2024-12-05,58000,59100,57000,58200,688344,-0.010204081632653073
2024-12-06,58500,58800,57300,58000,646596,-0.0034364261168384758
2024-12-09,57100,57500,56500,57200,628419,-0.01379310344827589
2024-12-10,57700,58000,56000,56200,1020849,-0.0174825174825175
2024-12-11,56300,56700,56000,56500,445384,0.005338078291814874
2024-12-12,56600,57300,56500,56500,952526,0.0
2024-12-13,56800,57500,56400,57400,456701,0.015929203539823078
2024-12-16,57800,58500,57300,57600,467240,0.0034843205574912606
2024-12-17,57600,58100,56500,57000,621407,-0.01041666666666663
2024-12-18,57400,58000,57000,57600,336657,0.010526315789473717
2024-12-19,56700,58000,56600,57000,728794,-0.01041666666666663
2024-12-20,56500,56700,55300,56000,749674,-0.01754385964912286
2024-12-23,56300,57100,56000,56700,294944,0.012499999999999956
2024-12-24,56800,56900,56100,56800,303885,0.0017636684303350414
2024-12-26,56900,57200,56300,56700,261298,-0.0017605633802817433
2024-12-27,56300,56800,56100,56300,219551,-0.007054673721340388
2024-12-30,56300,56400,55100,55200,426571,-0.019538188277087087
2025-01-02,55100,56200,55000,56100,356158,0.016304347826086918
2025-01-03,56600,57000,56300,56700,387268,0.010695187165775444
2025-01-06,56600,56800,55200,55600,602146,-0.01940035273368612
2025-01-07,55600,56200,55500,55800,536013,0.003597122302158251
2025-01-08,55400,56300,55300,56100,394975,0.005376344086021501
2025-01-09,55800,56000,55300,55300,509760,-0.014260249554367221
2025-01-10,55100,55600,54600,55600,702722,0.005424954792043302
2025-01-13,55500,56000,55300,56000,404440,0.007194244604316502
2025-01-14,56000,56100,55400,55500,237239,-0.008928571428571397
2025-01-15,55600,55800,55000,55200,340658,-0.00540540540540535
2025-01-16,55400,55600,55000,55300,326260,0.0018115942028984477
2025-01-17,55100,55700,55100,55700,386870,0.00723327305605781
2025-01-20,55500,55600,55100,55400,282138,-0.0053859964093356805
2025-01-21,55000,55500,54600,54900,694682,-0.009025270758122761
2025-01-22,55000,55200,54200,54500,712731,-0.007285974499089298
2025-01-23,54600,55200,54500,54900,454669,0.007339449541284404
2025-01-24,55100,55300,54300,54800,600388,-0.0018214936247723523
2025-01-31,55300,55700,55000,55400,917281,0.010948905109489093
2025-02-03,54900,55900,54800,55900,1135847,0.00902527075812265
2025-02-04,55700,56100,55400,55700,427000,-0.003577817531305927
2025-02-05,55700,56100,55500,55800,385639,0.0017953321364452268
2025-02-06,55800,56100,55500,56100,341741,0.005376344086021501
2025-02-07,55600,56000,55200,55200,425766,-0.016042780748663055
2025-02-10,55400,55800,54900,55000,666106,-0.0036231884057971175
2025-02-11,55000,56000,55000,56000,502170,0.018181818181818077
2025-02-12,56500,57200,55700,56000,400834,0.0
2025-02-13,55800,56300,55600,56300,521661,0.005357142857142838
2025-02-14,56300,56500,55900,56300,355303,0.0
2025-02-17,56300,56700,55900,56400,369195,0.001776198934280604
2025-02-18,56200,56300,55800,56000,375811,-0.007092198581560294
2025-02-19,56100,57700,56000,57700,774212,0.03035714285714275
2025-02-20,58000,59100,57700,59100,755501,0.024263431542461023
2025-02-21,58800,58900,57800,58200,290145,-0.015228426395939132
2025-02-24,58200,59000,58100,58700,378570,0.00859106529209619
2025-02-25,58200,58200,57400,58200,423812,-0.008517887563884163
2025-02-26,58400,58500,57700,58000,613359,-0.0034364261168384758
2025-02-27,57500,57500,55900,56300,949550,-0.02931034482758621
2025-02-28,56300,57200,56000,56000,1084138,-0.005328596802841923
2025-03-04,56700,57500,55800,56000,696920,0.0
2025-03-05,56400,56800,56000,56600,538931,0.010714285714285676
2025-03-06,56300,56500,55500,56000,591270,-0.010600706713780883
2025-03-07,55900,56000,55100,55400,550882,-0.010714285714285676
2025-03-10,55000,56000,55000,55100,521608,-0.005415162454873612
2025-03-11,55000,55600,55000,55600,450300,0.00907441016333932
2025-03-12,55700,55900,55200,55900,372127,0.0053956834532373765
2025-03-13,55900,56000,55300,56000,595666,0.0017889087656528524
2025-03-14,56000,56000,55200,55300,510417,-0.012499999999999956
2025-03-17,55600,55800,55400,55800,550101,0.009041591320072317
2025-03-18,55700,56200,55500,55900,419298,0.0017921146953405742
2025-03-19,56000,56700,55800,56700,482354,0.014311270125223707
2025-03-20,56500,56600,56200,56300,327396,-0.007054673721340388
2025-03-21,56100,56500,56000,56300,447711,0.0
2025-03-24,56000,56200,55800,55800,327348,-0.008880994671403242
2025-03-25,55700,56200,55600,56100,315942,0.005376344086021501
2025-03-26,56100,56300,55800,55800,303640,-0.005347593582887722
2025-03-27,55600,56100,55600,55700,295742,-0.0017921146953404632
2025-03-28,55400,56000,55400,55700,315483,0.0
2025-03-31,55500,55700,54900,55500,494539,-0.0035906642728904536
2025-04-01,55700,56000,55400,55400,270999,-0.0018018018018017834
2025-04-02,55500,56000,55300,55800,416518,0.0072202166064982976
2025-04-03,55000,55900,54500,55700,377033,-0.0017921146953404632
2025-04-04,55700,56100,55500,56100,460645,0.007181328545780907
2025-04-07,55000,55900,55000,55900,628581,-0.0035650623885917776
2025-04-08,55200,55500,54200,54800,884188,-0.019677996422182487
2025-04-09,55400,55400,54500,55100,1007041,0.005474452554744547
2025-04-10,55300,55900,54700,55900,869220,0.014519056261343088
2025-04-11,55400,56500,55200,56500,412082,0.01073345259391778
2025-04-14,56000,56300,55700,55900,272329,-0.010619469026548645
2025-04-15,55800,56400,55800,56200,318980,0.005366726296958779
2025-04-16,56400,57800,56300,57800,894790,0.028469750889679624
2025-04-17,57600,57900,57200,57900,348469,0.0017301038062282892
2025-04-18,58000,58200,57600,57700,225417,-0.003454231433506094
2025-04-21,57700,58000,57600,58000,165552,0.005199306759098743
2025-04-22,58100,58800,57700,58800,628806,0.01379310344827589
2025-04-23,58600,58600,57300,57600,610123,-0.020408163265306145
2025-04-24,57200,57800,57200,57700,375945,0.0017361111111111605
2025-04-25,57700,58400,57600,57800,488076,0.0017331022530329143
2025-04-28,55500,55700,52900,53900,3257168,-0.06747404844290661
2025-04-29,52800,53900,52600,53400,2448303,-0.00927643784786647
2025-04-30,53600,54700,53500,54300,1444315,0.016853932584269593
2025-05-02,53500,53700,52900,53700,1177967,-0.011049723756906049
2025-05-07,53700,54000,53100,53100,1404200,-0.011173184357541888
2025-05-08,53100,53800,52900,53100,1072531,0.0
2025-05-09,53000,53100,52300,52400,956445,-0.013182674199623379
2025-05-12,52500,52600,51500,52200,1157794,-0.003816793893129722
2025-05-13,52300,52500,51500,51600,1173452,-0.011494252873563204
2025-05-14,51600,52000,51200,51300,1612625,-0.005813953488372103
2025-05-15,51100,51800,51000,51100,1182555,-0.003898635477582846
2025-05-16,51100,52400,51000,52200,1020577,0.021526418786692814
2025-05-19,51800,51900,51200,51200,932424,-0.019157088122605415
2025-05-20,51300,52000,51200,51500,543658,0.005859375
2025-05-21,51600,51900,51400,51600,615409,0.001941747572815622
2025-05-22,51400,51500,50400,50800,1326891,-0.015503875968992276
2025-05-23,50700,51100,50600,50700,921410,-0.0019685039370078705
2025-05-26,50900,51500,50700,51500,600197,0.015779092702169706
2025-05-27,51300,51800,51300,51800,755230,0.005825242718446644
2025-05-28,51900,52200,51600,51700,1255821,-0.0019305019305019266
2025-05-29,51400,51600,51200,51300,987116,-0.007736943907156624
2025-05-30,51400,51900,51300,51500,1574573,0.003898635477582957
2025-06-02,51500,51900,51500,51700,677882,0.003883495145631022
2025-06-04,51900,53100,51800,52500,1196353,0.015473887814313247
2025-06-05,52700,52900,52300,52600,879905,0.0019047619047618536
2025-06-09,52800,53300,52650,53100,939726,0.009505703422053147
2025-06-10,53200,53300,52600,52800,894461,-0.005649717514124242
2025-06-11,52900,53800,52800,53700,1200295,0.017045454545454586
2025-06-12,54000,54200,53500,54100,1149307,0.007448789571694592
2025-06-13,54400,55000,54100,54600,1841643,0.009242144177449063
2025-06-16,55100,55500,54500,55200,803389,0.01098901098901095
2025-06-17,55300,55600,55000,55300,1272261,0.0018115942028984477
2025-06-18,54900,55500,54500,55300,852691,0.0
2025-06-19,55200,55500,55000,55300,663399,0.0
2025-06-20,55500,56800,55400,56300,910847,0.018083182640144635
2025-06-23,55800,56400,55400,56100,709184,-0.003552397868561319
2025-06-24,56700,57000,56500,56800,1024495,0.012477718360071277
2025-06-25,57100,57300,56200,57100,788270,0.005281690140845008
2025-06-26,57200,57200,56400,56700,749636,-0.007005253940455369
2025-06-27,56600,56700,55900,56200,639168,-0.00881834215167554
2025-06-30,55900,57000,55700,56700,741639,0.008896797153024938
2025-07-01,57000,57700,56800,57500,712507,0.014109347442680775
2025-07-02,56600,58000,56600,57900,1155122,0.006956521739130528
2025-07-03,58000,58100,57300,57600,788433,-0.005181347150259086
2025-07-04,56700,57800,54300,54400,2317864,-0.05555555555555558
2025-07-07,53200,54500,52800,53900,1812868,-0.009191176470588203
2025-07-08,53900,55200,53800,54600,1114121,0.01298701298701288
2025-07-09,55000,56000,54800,55000,988807,0.0073260073260073
2025-07-10,55400,55800,55100,55300,990517,0.005454545454545379
2025-07-11,55500,56000,55400,55700,786726,0.00723327305605781
2025-07-14,55600,56900,55600,56500,733546,0.014362657091562037
2025-07-15,56900,56900,56000,56000,894845,-0.008849557522123908
2025-07-16,56300,56900,55900,55900,614679,-0.0017857142857142794
2025-07-17,56400,56500,55900,56400,610036,0.008944543828264706
2025-07-18,56500,56800,55900,56000,525083,-0.007092198581560294
2025-07-21,56200,56400,55900,55900,416089,-0.0017857142857142794
2025-07-22,56200,56850,56100,56500,570359,0.01073345259391778
2025-07-23,56600,56800,56000,56100,462969,-0.0070796460176991705
2025-07-24,56400,56400,55500,55500,683382,-0.010695187165775444
2025-07-25,55700,56000,55400,55500,516334,0.0
2025-07-28,55800,55800,55100,55200,622141,-0.00540540540540535
2025-07-29,54800,55300,54200,55100,757636,-0.0018115942028985588
2025-07-30,55000,56000,55000,56000,619875,0.016333938294010864
2025-07-31,55600,56100,55600,56100,528744,0.0017857142857142794
2025-08-01,55700,56100,55400,55500,502513,-0.010695187165775444
2025-08-04,55500,56400,55100,56200,545264,0.012612612612612706
2025-08-05,56600,57200,56200,56500,551169,0.005338078291814874
2025-08-06,56400,56700,56000,56300,476647,-0.0035398230088495852
2025-08-07,56000,56000,55200,55500,907842,-0.014209591474245165
2025-08-08,55700,56100,55600,56100,384048,0.0108108108108107
2025-08-11,56100,56200,55700,55900,307904,-0.0035650623885917776
2025-08-12,55900,56500,55900,56100,378175,0.003577817531305927
2025-08-13,56200,56200,55700,55900,357034,-0.0035650623885917776
2025-08-14,56000,56300,55900,56100,387088,0.003577817531305927
2025-08-18,55800,56000,55600,55800,581602,-0.005347593582887722
2025-08-19,55900,55900,55500,55700,517668,-0.0017921146953404632
2025-08-20,55900,56000,55600,55900,633210,0.0035906642728904536
2025-08-21,56000,56400,55500,55500,542945,-0.007155635062611854
2025-08-22,55600,55800,55400,55500,358496,0.0
2025-08-25,55600,55700,55200,55200,828367,-0.00540540540540535
2025-08-26,55200,55500,55000,55100,862682,-0.0018115942028985588
2025-08-27,55300,55600,55100,55400,542428,0.005444646098003547
2025-08-28,55000,55300,54800,54900,704797,-0.009025270758122761
2025-08-29,55000,55100,54200,54200,1014170,-0.012750455373406244
2025-09-01,54300,55100,54100,54800,476628,0.011070110701107083
2025-09-02,54900,55300,54600,54700,480839,-0.0018248175182481452
2025-09-03,54700,54800,54300,54400,405659,-0.005484460694698323
2025-09-04,54200,54800,54200,54700,280404,0.005514705882353033
2025-09-05,54500,54900,54500,54800,244775,0.001828153564899404
2025-09-08,54800,54900,54000,54100,605744,-0.012773722627737238
2025-09-09,54400,54400,54100,54200,522785,0.001848428835489857
2025-09-10,54100,54900,54100,54800,683214,0.011070110701107083
2025-09-11,54700,55100,54600,54900,636267,0.0018248175182482562
2025-09-12,55100,55300,54800,55100,653103,0.0036429872495447047
2025-09-15,55000,55200,54400,54500,669445,-0.010889292196007205
2025-09-16,54400,54800,54300,54500,504582,0.0
2025-09-17,54500,55400,54500,55400,840509,0.016513761467889854
2025-09-18,55200,55700,55100,55700,449138,0.005415162454873723
2025-09-19,55500,55600,55200,55500,997145,-0.0035906642728904536
2025-09-22,55500,55500,55000,55100,363252,-0.007207207207207245
2025-09-23,55100,55200,54900,55000,462075,-0.001814882032667886
2025-09-24,55200,55400,54900,55100,329476,0.0018181818181817189
2025-09-25,55100,55300,54900,55200,553931,0.001814882032667775
2025-09-26,55000,55100,54700,54900,576165,-0.005434782608695676
2025-09-29,54900,55100,54500,54500,710802,-0.007285974499089298
2025-09-30,54300,54700,54200,54300,821758,-0.003669724770642202
2025-10-01,54400,54600,54300,54400,410494,0.0018416206261511192
2025-10-02,54400,54800,54300,54400,1064753,0.0
2025-10-10,54100,54800,54000,54600,2379791,0.003676470588235281
2025-10-13,54400,54600,54000,54300,689003,-0.005494505494505475
2025-10-14,54000,54100,53600,53600,1280221,-0.012891344383057057
2025-10-15,53800,54400,53800,54100,598149,0.009328358208955168
2025-10-16,54300,54800,54200,54800,477136,0.012939001848428777
2025-10-17,54600,54700,54300,54500,485639,-0.005474452554744547
2025-10-20,54400,54700,54200,54500,550983,0.0
2025-10-21,54500,54800,54300,54300,727453,-0.003669724770642202
2025-10-22,54300,54600,54200,54600,576418,0.005524861878453136
2025-10-23,54400,54500,54100,54200,624507,-0.0073260073260073
2025-10-24,54300,54400,53600,53800,1019707,-0.0073800738007380184
2025-10-27,53800,54100,53800,53800,498423,0.0
2025-10-28,53700,53900,53600,53800,571131,0.0
2025-10-29,53900,54700,53700,54100,1074651,0.005576208178438735
2025-10-30,53900,54100,51900,52700,2076493,-0.025878003696857665
2025-10-31,52100,52300,51400,52300,1485546,-0.007590132827324458
2025-11-03,52900,52900,52100,52100,1266806,-0.003824091778202643
2025-11-04,52300,52900,52200,52400,990020,0.0057581573896352545
2025-11-05,52400,52700,51800,52700,1104824,0.005725190839694694
2025-11-06,52900,53700,52800,53500,1015403,0.015180265654648917
2025-11-07,53200,53600,52800,53400,1164417,-0.0018691588785046953
2025-11-10,53800,54400,53600,53900,976744,0.009363295880149725
2025-11-11,54000,54400,53800,54200,682758,0.005565862708719838
2025-11-12,54300,54400,54100,54100,536150,-0.0018450184501844769
2025-11-13,54000,54300,53800,54100,843445,0.0
2025-11-14,54100,54400,53900,53900,606861,-0.003696857670979714
2025-11-17,53900,54000,53300,53600,615499,-0.005565862708719838
2025-11-18,53400,53700,52700,52700,621674,-0.016791044776119368
2025-11-19,52900,53700,52700,53400,701409,0.013282732447817747
2025-11-20,53700,53900,53400,53400,637226,0.0
2025-11-21,53300,53600,52900,53400,841029,0.0
2025-11-24,53600,54100,53100,54100,5597624,0.013108614232209659
2025-11-25,53900,54000,53500,53500,741627,-0.011090573012939031
2025-11-26,53900,54200,53600,54100,776549,0.01121495327102795
2025-11-27,53700,54300,53300,53400,449828,-0.012939001848428888
2025-11-28,53500,53700,53300,53500,343883,0.001872659176029856
2025-12-01,53700,53800,53100,53500,365995,0.0
2025-12-02,53500,53700,53300,53400,520645,-0.0018691588785046953
2025-12-03,53400,54000,53400,53900,563915,0.009363295880149725
2025-12-04,53700,54200,53600,54200,465614,0.005565862708719838
2025-12-05,54100,54400,54000,54400,460225,0.0036900369003689537
2025-12-08,54300,54400,53700,53900,398841,-0.009191176470588203
2025-12-09,54000,54000,53600,54000,360127,0.0018552875695732052
2025-12-10,53900,54000,53600,53600,347052,-0.007407407407407418
2025-12-11,53800,53900,53400,53400,697646,-0.003731343283582045
2025-12-12,53700,54000,53400,54000,639680,0.011235955056179803
2025-12-15,53900,54000,53500,53600,335492,-0.007407407407407418
2025-12-16,53600,53700,52900,53000,1351057,-0.011194029850746245
2025-12-17,53100,53200,52800,53000,406436,0.0
2025-12-18,52900,53100,52700,53000,415364,0.0
2025-12-19,53000,53500,52800,53500,693700,0.009433962264151052
2025-12-22,52600,53200,52400,53200,683774,-0.005607476635513975
2025-12-23,53000,53400,52800,53400,421775,0.003759398496240518
2025-12-24,53300,53600,53200,53400,339335,0.0
2025-12-26,53300,53500,53000,53100,383370,-0.005617977528089901
2025-12-29,52900,53200,52700,53200,359600,0.0018832391713747842
2025-12-30,53200,53500,53000,53500,451306,0.005639097744360999
2026-01-02,53500,53700,52900,53300,509639,-0.0037383177570093906
2026-01-05,53300,53400,52900,53000,578565,-0.0056285178236398226
2026-01-06,53100,53300,53000,53200,610336,0.0037735849056603765
2026-01-07,53000,53200,52800,53100,609996,-0.001879699248120259
2026-01-08,53200,53300,52700,52800,686938,-0.005649717514124242
2026-01-09,53100,53100,52600,53000,445753,0.0037878787878788955
2026-01-12,52900,53100,52600,53000,510996,0.0
2026-01-13,53500,54400,53400,54300,1785740,0.02452830188679256
2026-01-14,54300,55100,54100,54900,994623,0.011049723756906049
2026-01-15,54900,55100,54200,54900,921872,0.0
2026-01-16,55600,55600,55000,55300,885656,0.007285974499089187
2026-01-19,55200,59600,54900,59200,2911218,0.07052441229656425
2026-01-20,59500,63000,59300,62200,3784804,0.05067567567567566
2026-01-21,61300,61500,60000,61000,1528834,-0.019292604501607746
2026-01-22,62000,62900,61200,61700,1194187,0.011475409836065653
2026-01-23,62000,63500,61900,62700,1123298,0.01620745542949753
2026-01-26,62600,62800,60900,61800,1169977,-0.014354066985645897
2026-01-27,63300,71600,63200,69400,5938623,0.12297734627831725
2026-01-28,70000,70000,67600,69000,2381065,-0.0057636887608069065
2026-01-29,69700,70100,67200,69500,1745150,0.007246376811594235
2026-01-30,70400,75100,70400,72500,3149692,0.043165467625899234
2026-02-02,71500,71900,68200,69100,1715655,-0.04689655172413798
2026-02-03,71700,73700,71400,73600,1596162,0.06512301013024602
2026-02-04,77100,79400,75700,77900,2024677,0.05842391304347827
2026-02-05,76800,79000,76200,77500,1644691,-0.005134788189987138
2026-02-06,73600,73700,67600,69200,2886610,-0.10709677419354835
2026-02-09,73100,74400,72000,73400,1641780,0.06069364161849711
2026-02-10,74500,74900,72800,73700,1044261,0.004087193460490468
2026-02-11,74400,75600,73700,75400,1278084,0.023066485753052923
2026-02-12,76200,78000,75400,78000,1425568,0.034482758620689724
2026-02-13,81200,88600,79500,86500,4134911,0.10897435897435903
2026-02-19,84200,84800,79900,81500,2352769,-0.05780346820809246
2026-02-20,82100,82300,80500,80800,1296944,-0.008588957055214674
2026-02-23,80900,82000,78800,80100,1315259,-0.008663366336633671
2026-02-24,80100,82100,79100,80900,1068342,0.009987515605493158
2026-02-25,81000,81400,79600,81000,976090,0.0012360939431397266
2026-02-26,81200,82300,80400,82300,998759,0.016049382716049276
2026-02-27,80800,80900,77900,79800,2108292,-0.03037667071688943
2026-03-03,79800,81500,77800,78200,1676549,-0.020050125313283207
2026-03-04,75000,77400,69000,70300,1891071,-0.10102301790281332
2026-03-05,77300,78500,74800,77900,1756072,0.10810810810810811
2026-03-06,76300,77300,74700,76500,847527,-0.01797175866495504
2026-03-09,71600,76400,71100,75800,996566,-0.009150326797385588
2026-03-10,78900,78900,75700,77200,838936,0.01846965699208436
2026-03-11,78200,79900,77300,77900,1080443,0.0090673575129534
2026-03-12,76700,77800,76000,76200,622743,-0.02182284980744542
2026-03-13,74000,75900,73600,75000,420881,-0.015748031496062964
2026-03-16,76000,77300,75800,76300,415991,0.017333333333333423
2026-03-17,78000,81400,77500,79700,1010185,0.044560943643512374
2026-03-18,81100,81500,80000,81200,806629,0.01882057716436636
2026-03-19,79000,80200,78100,78200,1009929,-0.036945812807881784
2026-03-20,78300,79000,77100,78800,1316759,0.007672634271099765
2026-03-23,76100,76300,73900,74200,562548,-0.058375634517766506
2026-03-24,77200,77200,74900,76600,472244,0.032345013477088846
2026-03-25,80000,80600,77900,79800,734636,0.04177545691906004
2026-03-26,81000,82100,79800,80000,830301,0.0025062656641603454
2026-03-27,78500,79900,77500,79900,823758,-0.0012499999999999734
2026-03-30,77600,78500,76300,78300,842066,-0.020025031289111372
2026-03-31,76400,77700,75800,76400,855608,-0.024265644955300147
2026-04-01,78500,79000,77100,78500,670971,0.027486910994764413
2026-04-02,78600,79500,76700,77800,807732,-0.008917197452229297
2026-04-03,78800,81000,78500,80900,667043,0.03984575835475579
2026-04-06,80300,81500,79600,80400,341676,-0.006180469715698411
2026-04-07,80000,81600,79500,81600,558531,0.014925373134328401
2026-04-08,85600,89500,84500,89000,1998469,0.09068627450980382
2026-04-09,93000,99700,91300,93800,2478327,0.053932584269662964
2026-04-10,95000,96300,90000,93000,1372619,-0.008528784648187626
2026-04-13,94000,96700,92000,92500,1272423,-0.005376344086021501
2026-04-14,95400,98000,94400,95500,878473,0.03243243243243232
2026-04-15,99500,100400,97300,98100,1428297,0.027225130890052407
2026-04-16,100000,100100,95600,95900,933706,-0.022426095820591185
2026-04-17,98200,99800,97100,98300,890641,0.02502606882168923
