Date,Open,High,Low,Close,Volume,Change
2024-12-02,149100,150000,146900,148600,113010,0.012951601908657073
2024-12-03,150500,151200,136800,138000,533405,-0.07133243606998652
2024-12-04,135600,137700,133600,136500,262347,-0.010869565217391353
2024-12-05,136500,137900,135300,136100,139220,-0.00293040293040292
2024-12-06,135500,139400,134400,136100,188270,0.0
2024-12-09,136100,136100,131300,132400,145952,-0.027185892725936855
2024-12-10,133500,137800,133400,136900,129403,0.03398791540785506
2024-12-11,136100,139000,135400,137900,147862,0.007304601899196461
2024-12-12,138700,140900,137600,138500,222106,0.00435097897026826
2024-12-13,138100,140400,138000,140400,106808,0.013718411552346543
2024-12-16,140500,141600,138400,138700,96854,-0.012108262108262102
2024-12-17,140000,140000,133100,133700,210760,-0.03604902667627974
2024-12-18,133700,134400,133200,134400,160688,0.005235602094240788
2024-12-19,132500,132800,129200,132000,207331,-0.017857142857142905
2024-12-20,131100,134000,130100,134000,303766,0.015151515151515138
2024-12-23,135500,135500,131200,134000,89085,0.0
2024-12-24,133600,133900,131700,131900,68557,-0.015671641791044744
2024-12-26,132700,132700,129000,129300,143804,-0.019711902956785488
2024-12-27,128000,128700,125400,127800,147086,-0.011600928074245953
2024-12-30,127500,129100,126600,127800,118374,0.0
2025-01-02,127500,128300,122500,124500,171775,-0.025821596244131495
2025-01-03,124400,128600,124400,128000,137043,0.028112449799196693
2025-01-06,128500,130100,128200,129200,104401,0.009374999999999911
2025-01-07,129600,130400,125400,125600,161015,-0.02786377708978327
2025-01-08,125000,132000,125000,129900,195346,0.03423566878980888
2025-01-09,129500,130200,127400,127700,134211,-0.016936104695919885
2025-01-10,128000,129000,126300,128000,117046,0.002349256068911565
2025-01-13,128000,128400,124400,125000,133627,-0.0234375
2025-01-14,125500,125800,124100,124300,121896,-0.005600000000000049
2025-01-15,124800,126000,122600,123600,168611,-0.005631536604987941
2025-01-16,124700,125300,124000,125200,130493,0.012944983818770295
2025-01-17,125000,125000,123200,124000,116390,-0.009584664536741228
2025-01-20,124400,124600,122900,124600,85488,0.004838709677419395
2025-01-21,125700,126400,122000,123200,153664,-0.011235955056179803
2025-01-22,123400,126900,122800,126100,150220,0.023538961038961137
2025-01-23,126100,128900,120900,121400,302700,-0.03727200634417127
2025-01-24,121200,121200,113100,113700,793055,-0.06342668863261947
2025-01-31,114900,120700,114700,120700,407844,0.06156552330694809
2025-02-03,119200,123200,118300,122700,261098,0.016570008285004212
2025-02-04,125000,128000,123900,125700,345751,0.02444987775061125
2025-02-05,125800,129500,124800,127300,254589,0.012728719172633296
2025-02-06,127900,128700,125700,127300,127379,0.0
2025-02-07,126100,127700,125300,126400,100357,-0.0070699135899450205
2025-02-10,126300,127100,124600,126300,116998,-0.0007911392405063333
2025-02-11,126300,127500,124800,125500,107139,-0.006334125098970689
2025-02-12,126000,126800,125000,126300,74412,0.0063745019920318224
2025-02-13,126300,126700,124800,125300,130765,-0.007917656373713333
2025-02-14,125400,130500,125400,129000,178851,0.029529130087789346
2025-02-17,130000,131600,129500,130900,130643,0.014728682170542573
2025-02-18,130100,131000,128100,129600,144008,-0.009931245225362817
2025-02-19,129600,132300,129400,130900,97678,0.010030864197530853
2025-02-20,129200,131000,129200,130000,98388,-0.006875477463712754
2025-02-21,130000,130000,128200,129000,80338,-0.007692307692307665
2025-02-24,128000,129800,128000,129700,61440,0.005426356589147252
2025-02-25,129100,129500,126000,126000,131991,-0.028527370855821133
2025-02-26,126000,127900,124900,127100,115438,0.0087301587301587
2025-02-27,126500,126900,124500,126900,131436,-0.0015735641227380137
2025-02-28,125000,125600,122600,123300,179173,-0.028368794326241176
2025-03-04,122900,123900,121300,121600,95668,-0.013787510137875048
2025-03-05,122800,124200,121700,122900,108027,0.010690789473684292
2025-03-06,122600,124100,121600,122300,124378,-0.004882017900732283
2025-03-07,121200,122200,119900,120900,130135,-0.011447260834014705
2025-03-10,120100,121500,119000,119600,119796,-0.010752688172043001
2025-03-11,118000,119800,117100,118500,106466,-0.009197324414715768
2025-03-12,118800,120100,118200,119100,121528,0.005063291139240533
2025-03-13,119100,121800,118600,119200,160573,0.0008396305625524292
2025-03-14,119500,120900,118600,120200,109152,0.008389261744966348
2025-03-17,121000,123000,120400,122800,120017,0.021630615640598982
2025-03-18,123600,124200,121600,121700,96542,-0.00895765472312704
2025-03-19,122000,123300,121000,122100,96307,0.0032867707477404196
2025-03-20,122300,123800,122100,122500,109626,0.003276003276003303
2025-03-21,122000,122800,120800,121200,205785,-0.0106122448979592
2025-03-24,120500,121500,119100,120300,101912,-0.007425742574257432
2025-03-25,120500,121400,119800,120600,79638,0.0024937655860348684
2025-03-26,121100,122700,120100,121500,86443,0.00746268656716409
2025-03-27,120500,122000,119700,121000,70109,-0.004115226337448541
2025-03-28,122100,122100,117700,118600,118049,-0.01983471074380161
2025-03-31,118100,118100,116000,116200,132533,-0.0202360876897133
2025-04-01,116400,118700,116400,118100,76387,0.016351118760757233
2025-04-02,117600,118300,114800,116900,167526,-0.010160880609652811
2025-04-03,114000,117000,113800,116800,89520,-0.0008554319931565191
2025-04-04,116200,117900,115200,117200,114275,0.003424657534246478
2025-04-07,114500,114800,111700,112300,133845,-0.04180887372013653
2025-04-08,113800,114100,110100,110200,110012,-0.018699910952804988
2025-04-09,109600,112700,109000,109600,144523,-0.005444646098003658
2025-04-10,113500,113600,111300,113200,140874,0.03284671532846706
2025-04-11,111500,115300,111400,115300,110312,0.018551236749116518
2025-04-14,115300,116300,114500,114900,90051,-0.003469210754553309
2025-04-15,115000,116100,114400,115800,88867,0.007832898172323688
2025-04-16,115500,116500,115300,115400,51045,-0.003454231433506094
2025-04-17,115900,116300,115100,116200,77648,0.006932409012131657
2025-04-18,115900,116700,115400,116400,41471,0.001721170395869276
2025-04-21,116800,117500,116000,116900,35843,0.004295532646048095
2025-04-22,116700,119200,116300,117800,81096,0.007698887938409005
2025-04-23,119100,119200,117500,119200,78977,0.011884550084889645
2025-04-24,119000,125500,117700,124300,331275,0.04278523489932895
2025-04-25,124500,125800,122900,123400,143492,-0.007240547063555924
2025-04-28,123400,128300,123400,127400,201789,0.03241491085899506
2025-04-29,127300,128600,126700,128300,102970,0.007064364207221452
2025-04-30,128400,129400,127800,128400,109613,0.000779423226812126
2025-05-02,127500,129200,127000,128800,94377,0.0031152647975076775
2025-05-07,129200,129500,127200,128000,121371,-0.006211180124223614
2025-05-08,127200,130100,126800,128500,129968,0.00390625
2025-05-09,128500,129500,127100,129000,72175,0.0038910505836575737
2025-05-12,129800,131100,128500,131000,91456,0.015503875968992276
2025-05-13,129700,131600,129500,130500,73321,-0.003816793893129722
2025-05-14,130900,131300,128300,131000,86778,0.003831417624521105
2025-05-15,129500,131100,129100,129200,60617,-0.013740458015267132
2025-05-16,129700,130700,128900,129400,51686,0.001547987616099089
2025-05-19,130200,133500,129500,132800,170737,0.026275115919629055
2025-05-20,131000,133000,127300,127700,144393,-0.03840361445783136
2025-05-21,128500,136100,127100,134600,271342,0.05403288958496466
2025-05-22,133400,134700,130400,130900,102772,-0.027488855869242212
2025-05-23,130900,132800,130500,130500,73502,-0.0030557677616500634
2025-05-26,131300,134400,131000,134400,76022,0.029885057471264354
2025-05-27,134000,135000,133100,133700,91728,-0.00520833333333337
2025-05-28,134400,135300,132700,132700,115382,-0.007479431563201189
2025-05-29,134100,134100,130700,132900,110020,0.0015071590052750938
2025-05-30,132000,133200,130000,130200,240435,-0.020316027088036148
2025-06-02,128900,133600,128900,132700,103095,0.01920122887864828
2025-06-04,133100,135500,132400,132800,150383,0.0007535795026374359
2025-06-05,131800,135400,131800,134600,108022,0.013554216867469826
2025-06-09,135500,139500,135000,136400,155534,0.013372956909361022
2025-06-10,138000,138600,136100,137100,121393,0.00513196480938416
2025-06-11,136500,138300,135800,137800,112908,0.0051057622173595885
2025-06-12,137700,141100,135400,138600,224304,0.005805515239477588
2025-06-13,138200,139900,136200,137200,121230,-0.010101010101010055
2025-06-16,140400,169000,139600,166900,930054,0.21647230320699706
2025-06-17,167900,168000,155500,158200,697737,-0.05212702216896348
2025-06-18,155100,162700,154800,161100,427782,0.018331226295828174
2025-06-19,170000,172000,164100,168400,771653,0.04531346989447549
2025-06-20,167000,175200,162200,172000,500243,0.0213776722090262
2025-06-23,171000,195000,170000,191800,1516711,0.11511627906976751
2025-06-24,197800,198800,187400,193500,689133,0.008863399374348324
2025-06-25,186900,187900,175700,180100,774478,-0.069250645994832
2025-06-26,175100,178900,170300,174900,536713,-0.028872848417545782
2025-06-27,176500,178800,172400,173300,267429,-0.009148084619782781
2025-06-30,171100,173800,168100,169600,362309,-0.021350259665320226
2025-07-01,169900,173500,168200,168400,231436,-0.007075471698113178
2025-07-02,168700,169900,163800,165000,218497,-0.020190023752969077
2025-07-03,164500,169300,164500,165500,200392,0.003030303030302939
2025-07-04,167000,167400,164100,164200,134069,-0.007854984894259842
2025-07-07,164100,167800,163500,166000,178478,0.010962241169305775
2025-07-08,167200,167300,163200,164300,156852,-0.010240963855421725
2025-07-09,164400,166800,162600,166500,219361,0.013390139987827121
2025-07-10,165400,176500,164600,176500,484183,0.06006006006006004
2025-07-11,181900,185500,178700,184000,683189,0.04249291784702547
2025-07-14,180800,187200,178700,183700,341095,-0.001630434782608714
2025-07-15,181900,185000,176800,184000,291709,0.0016330974414806576
2025-07-16,182200,191800,180100,187400,447126,0.018478260869565277
2025-07-17,191500,195500,180100,186200,790765,-0.006403415154749181
2025-07-18,185500,188600,182000,186000,319491,-0.0010741138560687036
2025-07-21,184000,185600,181900,183300,194324,-0.014516129032258074
2025-07-22,181900,184700,177100,178200,234468,-0.02782324058919805
2025-07-23,178800,178800,171800,173900,237848,-0.02413019079685741
2025-07-24,174100,175500,158800,160400,720578,-0.0776308223116734
2025-07-25,161500,161600,156100,159600,395174,-0.004987531172069848
2025-07-28,159900,161300,155000,157300,363383,-0.014411027568922319
2025-07-29,157300,160200,156500,157500,271443,0.0012714558169104606
2025-07-30,158000,161800,157500,159600,291075,0.01333333333333342
2025-07-31,160000,160700,158300,159700,180134,0.0006265664160400863
2025-08-01,157300,158000,152200,152500,304806,-0.04508453350031305
2025-08-04,151500,155500,151200,154400,215877,0.012459016393442601
2025-08-05,154800,156400,154200,154800,132141,0.002590673575129543
2025-08-06,154100,154800,152100,154300,138687,-0.003229974160206761
