Date,Open,High,Low,Close,Volume,Change
2024-12-02,121100,122900,120000,121500,215902,0.021008403361344463
2024-12-03,123700,125000,122700,124200,317019,0.022222222222222143
2024-12-04,123000,123700,120800,122700,263710,-0.012077294685990392
2024-12-05,121500,122700,120000,121500,209008,-0.009779951100244544
2024-12-06,122200,122500,120000,120700,266184,-0.006584362139917643
2024-12-09,119700,119700,116100,116100,244188,-0.03811101905550951
2024-12-10,116300,117700,116100,116200,295559,0.0008613264427217437
2024-12-11,115800,116600,114700,116500,256239,0.002581755593803692
2024-12-12,117000,120600,116300,118700,735868,0.018884120171673846
2024-12-13,119100,120600,118100,118800,243198,0.0008424599831506896
2024-12-16,118900,119200,117000,117400,193601,-0.011784511784511786
2024-12-17,117400,118000,116200,116400,202903,-0.008517887563884163
2024-12-18,116800,119200,116600,118900,188534,0.021477663230240474
2024-12-19,116200,116500,114900,115700,248389,-0.02691337258200166
2024-12-20,115300,117000,114500,116900,326013,0.010371650821088929
2024-12-23,117300,118700,115800,118700,116069,0.015397775876817787
2024-12-24,118500,118500,117100,117600,88205,-0.009267059814658807
2024-12-26,118000,118500,117100,117600,97008,0.0
2024-12-27,116100,116900,115000,115800,142614,-0.015306122448979553
2024-12-30,115800,117900,114800,114800,191662,-0.008635578583765069
2025-01-02,114500,114800,112400,113300,162987,-0.013066202090592283
2025-01-03,112900,116200,112900,115600,156137,0.0203000882612534
2025-01-06,115400,119600,114400,119000,235577,0.02941176470588225
2025-01-07,118400,121600,118300,118300,212774,-0.00588235294117645
2025-01-08,117900,121900,117800,120900,293820,0.0219780219780219
2025-01-09,121500,123100,120500,120600,337173,-0.002481389578163795
2025-01-10,120600,122900,120500,121400,197465,0.0066334991708125735
2025-01-13,120600,121700,118700,119800,226431,-0.01317957166392092
2025-01-14,119200,120900,118500,119400,179747,-0.0033388981636059967
2025-01-15,120700,121500,118100,118200,184619,-0.01005025125628145
2025-01-16,119400,120600,119000,120300,171755,0.017766497461928932
2025-01-17,120200,121500,118700,118800,151583,-0.012468827930174564
2025-01-20,121200,123000,120000,120700,141994,0.015993265993266004
2025-01-21,121200,121400,118700,119400,133769,-0.010770505385252704
2025-01-22,120300,123600,119200,122600,210404,0.02680067001675046
2025-01-23,123600,123900,115600,115600,678881,-0.057096247960848334
2025-01-24,116400,116600,114200,115000,392757,-0.00519031141868509
2025-01-31,116100,119900,114200,119900,630392,0.042608695652173845
2025-02-03,118600,119600,116000,118700,420051,-0.010008340283569672
2025-02-04,119000,121400,117600,118600,296534,-0.0008424599831508006
2025-02-05,119600,119900,117700,118500,177434,-0.000843170320404707
2025-02-06,119100,119600,118000,119600,185334,0.009282700421940904
2025-02-07,118500,120300,118200,120000,217647,0.0033444816053511683
2025-02-10,119200,119700,116600,118600,289759,-0.011666666666666714
2025-02-11,118600,120000,117800,118800,215247,0.001686340640809414
2025-02-12,119900,121600,119000,121000,226397,0.0185185185185186
2025-02-13,121400,122100,120300,121600,269261,0.0049586776859504855
2025-02-14,121800,129000,121800,127600,678715,0.049342105263157965
2025-02-17,129700,131900,128500,130400,467897,0.021943573667711602
2025-02-18,129800,133500,129100,132900,394727,0.01917177914110435
2025-02-19,132100,136800,131100,134400,392444,0.011286681715575675
2025-02-20,133100,135000,131800,132700,323264,-0.012648809523809534
2025-02-21,132700,132700,127800,128900,397648,-0.028636021100226117
2025-02-24,128900,130100,127700,130100,237007,0.009309542280837801
2025-02-25,128800,130600,127100,129100,249280,-0.00768639508070712
2025-02-26,128000,128600,124300,125200,465642,-0.030209140201394313
2025-02-27,125700,126900,125200,126000,212770,0.006389776357827559
2025-02-28,124700,124800,121500,121500,499389,-0.0357142857142857
2025-03-04,121300,124400,121200,122200,199433,0.0057613168724279795
2025-03-05,122100,123000,121000,121500,239312,-0.005728314238952592
2025-03-06,122100,123700,121700,122300,210702,0.006584362139917754
2025-03-07,121200,123000,119300,122200,231386,-0.0008176614881438837
2025-03-10,121000,122900,120900,122200,135883,0.0
2025-03-11,119500,120200,118200,119200,203070,-0.02454991816693941
2025-03-12,119100,120200,118200,119600,281555,0.003355704697986628
2025-03-13,119600,121600,118600,118900,285549,-0.0058528428093646
2025-03-14,119100,119800,118300,119600,275806,0.005887300252312766
2025-03-17,120500,124500,120500,123500,373791,0.032608695652173836
2025-03-18,124000,124100,121900,122300,177144,-0.009716599190283448
2025-03-19,122300,124200,122300,123200,162004,0.007358953393295176
2025-03-20,123500,124400,123200,124100,160103,0.007305194805194759
2025-03-21,123300,126200,123000,124900,382337,0.006446414182111226
2025-03-24,124400,125400,123800,124000,137489,-0.007205764611689314
2025-03-25,124000,124800,122800,124100,139862,0.0008064516129031585
2025-03-26,124900,124900,122900,124300,131779,0.0016116035455278066
2025-03-27,123000,124700,122600,124000,150294,-0.002413515687851975
2025-03-28,123500,123600,119000,119900,229119,-0.03306451612903227
2025-03-31,118100,118700,116300,116900,353978,-0.025020850708924125
2025-04-01,117100,121000,117100,119200,215787,0.019674935842600494
2025-04-02,119300,120500,117000,119300,307897,0.0008389261744965459
2025-04-03,116100,118100,115500,118100,239733,-0.010058675607711676
2025-04-04,116700,119000,115300,117400,269509,-0.005927180355630779
2025-04-07,112800,113600,110700,112200,348099,-0.04429301533219765
2025-04-08,113400,114300,111200,111400,236919,-0.007130124777183555
2025-04-09,110600,111300,108100,108300,282877,-0.027827648114901238
2025-04-10,111600,113900,110600,113800,272014,0.050784856879039664
2025-04-11,112000,114500,111500,114500,192141,0.0061511423550086874
2025-04-14,114500,115000,113300,113700,136454,-0.006986899563318771
2025-04-15,114200,115900,114000,115400,143161,0.014951627088830355
2025-04-16,114800,115400,114000,114000,99707,-0.012131715771230511
2025-04-17,114100,114400,113100,113800,135610,-0.0017543859649122862
2025-04-18,114200,114700,113300,114400,69710,0.005272407732864748
2025-04-21,114700,115300,113600,114500,79598,0.0008741258741258306
2025-04-22,114200,116800,113600,115800,123933,0.011353711790393017
2025-04-23,117500,118000,115700,117600,148918,0.015544041450777257
2025-04-24,116900,118600,116100,118100,136552,0.00425170068027203
2025-04-25,118600,119300,116500,117000,159021,-0.009314140558848383
2025-04-28,117600,119300,117400,117600,115074,0.00512820512820511
2025-04-29,117900,118900,117600,118900,128705,0.011054421768707412
2025-04-30,118000,122400,118000,122400,290974,0.029436501261564274
2025-05-02,121000,122800,120100,122200,212726,-0.0016339869281045694
2025-05-07,123700,123800,121200,122800,222256,0.004909983633387904
2025-05-08,122000,122900,121600,121800,195550,-0.008143322475570036
2025-05-09,121900,123200,121500,123000,161453,0.009852216748768461
2025-05-12,123600,125300,123300,125300,175449,0.01869918699187001
2025-05-13,124100,125200,123400,124300,147343,-0.007980845969672745
2025-05-14,124100,125900,123400,125200,209039,0.007240547063555924
2025-05-15,124100,124800,122900,123200,138878,-0.015974440894568676
2025-05-16,122800,123900,122300,123900,106983,0.005681818181818121
2025-05-19,122400,123300,119700,122400,188011,-0.01210653753026636
2025-05-20,123000,124700,122000,124400,170947,0.016339869281045694
2025-05-21,124500,140400,124400,139000,1746887,0.117363344051447
