Date,Open,High,Low,Close,Volume,Change
2024-12-02,109200,109200,106000,106600,144939,-0.00466853408029877
2024-12-03,108700,109900,108500,109000,249657,0.022514071294559068
2024-12-04,108000,108000,103000,104200,341039,-0.044036697247706424
2024-12-05,104600,105300,101200,101500,302713,-0.025911708253358978
2024-12-06,101500,103300,99000,102800,323043,0.012807881773398977
2024-12-09,101800,101800,98000,98000,320840,-0.046692607003890996
2024-12-10,99000,100800,98100,100500,252143,0.025510204081632626
2024-12-11,98900,102300,98800,101500,166361,0.00995024875621886
2024-12-12,102900,105500,102100,103900,502884,0.02364532019704435
2024-12-13,103900,104200,98300,98800,410434,-0.04908565928777675
2024-12-16,100000,101000,98000,98200,187232,-0.006072874493927127
2024-12-17,98400,100300,96700,98700,461074,0.005091649694501044
2024-12-18,99600,100700,97900,100000,287346,0.01317122593718345
2024-12-19,98000,100100,97600,98500,268058,-0.015000000000000013
2024-12-20,98100,99300,97700,98500,212917,0.0
2024-12-23,99300,103100,98100,102800,239115,0.04365482233502549
2024-12-24,102800,103400,102200,102600,160486,-0.0019455252918287869
2024-12-26,103400,103400,99800,100500,163192,-0.020467836257309968
2024-12-27,97400,98300,96300,97200,301311,-0.032835820895522394
2024-12-30,98100,98100,94600,94800,261424,-0.024691358024691357
2025-01-02,93300,94600,91000,91500,358508,-0.034810126582278444
2025-01-03,92100,94500,91900,93200,280120,0.01857923497267766
2025-01-06,92800,93600,90700,92600,344271,-0.006437768240343367
2025-01-07,92600,93800,92000,92600,148136,0.0
2025-01-08,92500,95500,92000,95200,340850,0.02807775377969768
2025-01-09,94100,95400,93800,94000,198085,-0.012605042016806678
2025-01-10,93100,94900,93000,93900,243047,-0.0010638297872340718
2025-01-13,93400,94200,92800,93900,269150,0.0
2025-01-14,94600,94600,92500,93500,293758,-0.004259850905218299
2025-01-15,94000,94200,90000,91000,334945,-0.0267379679144385
2025-01-16,92000,92500,90600,91300,312247,0.003296703296703285
2025-01-17,91800,92900,90800,91100,183971,-0.0021905805038334725
2025-01-20,91100,91500,87900,88100,255900,-0.03293084522502743
2025-01-21,88500,88700,85500,85800,345576,-0.026106696935300766
2025-01-22,86400,87300,85200,85200,323289,-0.006993006993006978
2025-01-23,84500,86900,83300,83600,287898,-0.018779342723004744
2025-01-24,83500,83700,81000,81200,397120,-0.028708133971291905
2025-01-31,83100,89500,81800,89100,630866,0.09729064039408875
2025-02-03,87500,92300,85800,91600,468783,0.02805836139169471
2025-02-04,92500,95600,91800,93900,451185,0.025109170305676942
2025-02-05,94900,96900,94400,95000,331635,0.011714589989350266
2025-02-06,95000,95500,93100,94800,203849,-0.002105263157894721
2025-02-07,93700,93900,90800,90900,532899,-0.04113924050632911
2025-02-10,90600,91200,89600,89800,163286,-0.012101210121012063
2025-02-11,90100,91000,89100,89100,133169,-0.007795100222717122
2025-02-12,88400,92400,88400,90800,283889,0.019079685746352437
2025-02-13,90300,91200,88800,90000,240316,-0.008810572687224627
2025-02-14,91900,97700,91500,96600,691310,0.07333333333333325
