Date,Open,High,Low,Close,Volume,Change
2024-12-02,208500,210500,203000,203500,1220401,-0.014527845036319653
2024-12-03,207500,210000,204500,209000,1101247,0.027027027027026973
2024-12-04,205000,209000,200500,202500,1758995,-0.031100478468899517
2024-12-05,204500,208000,203000,204000,1438398,0.007407407407407307
2024-12-06,204000,206000,197300,204500,1336764,0.002450980392156854
2024-12-09,200500,204000,200500,201500,1206493,-0.014669926650366705
2024-12-10,204500,209000,203000,209000,905766,0.037220843672456594
2024-12-11,209000,218000,208500,218000,1547595,0.04306220095693769
2024-12-12,219000,220000,206000,208000,2167932,-0.04587155963302747
2024-12-13,209000,212000,205000,210000,1102386,0.009615384615384581
2024-12-16,213500,218000,211500,214000,945545,0.01904761904761898
2024-12-17,214500,215000,209000,209500,895923,-0.0210280373831776
2024-12-18,209500,215000,209500,212500,663879,0.014319809069212486
2024-12-19,208500,211500,207500,209500,640399,-0.014117647058823568
2024-12-20,211000,213000,208500,210000,775746,0.0023866348448686736
2024-12-23,212500,213000,200000,201000,1169871,-0.042857142857142816
2024-12-24,200500,204000,200500,202500,557658,0.00746268656716409
2024-12-26,202500,203000,197000,199900,645976,-0.012839506172839465
2024-12-27,198700,200500,195500,197700,689235,-0.011005502751375684
2024-12-30,196800,201500,196400,198900,577293,0.006069802731411222
2025-01-02,199500,202000,191700,193800,698458,-0.02564102564102566
2025-01-03,193200,202000,193200,200500,798480,0.03457172342621262
2025-01-06,200500,208500,200500,208500,770359,0.03990024937655856
2025-01-07,210000,213000,207000,208000,603701,-0.0023980815347721673
2025-01-08,206500,210000,206000,207000,523637,-0.004807692307692291
2025-01-09,208500,210000,201000,202500,777551,-0.021739130434782594
2025-01-10,203000,204500,201000,202000,441863,-0.0024691358024691024
2025-01-13,201000,205000,200000,204000,543782,0.00990099009900991
2025-01-14,204000,205500,202000,202000,499095,-0.009803921568627416
2025-01-15,203000,207000,202000,206500,678808,0.022277227722772297
2025-01-16,210000,211000,205000,206500,642605,0.0
2025-01-17,206000,210000,203500,209000,701799,0.012106537530266248
2025-01-20,209000,209500,204500,205000,398841,-0.019138755980861233
2025-01-21,205000,208000,203000,204500,357682,-0.0024390243902439046
2025-01-22,207000,211500,204000,204000,555170,-0.0024449877750610804
2025-01-23,206000,207500,204000,204500,487301,0.002450980392156854
2025-01-24,205500,209000,203500,204000,419464,-0.0024449877750610804
2025-01-31,208500,218500,208500,216500,1964710,0.06127450980392157
2025-02-03,217500,219500,213500,217000,1410072,0.002309468822170979
2025-02-04,220000,224000,217000,218500,1432688,0.00691244239631339
2025-02-05,222500,232000,219000,229000,2336982,0.048054919908466776
2025-02-06,229500,232000,223500,232000,1718369,0.013100436681222627
2025-02-07,235500,235500,223000,225500,1908836,-0.028017241379310387
2025-02-10,229500,232000,227000,227500,1234703,0.008869179600886845
2025-02-11,227500,231500,225500,228500,808905,0.00439560439560438
2025-02-12,230000,230500,222500,225000,945298,-0.015317286652078765
2025-02-13,225000,226000,218000,220000,1028493,-0.022222222222222254
2025-02-14,222000,224500,220000,221000,574538,0.00454545454545463
2025-02-17,221500,224000,219500,221000,615576,0.0
2025-02-18,221500,223000,218000,222500,630070,0.006787330316742057
2025-02-19,222500,224000,220000,222000,569222,-0.0022471910112359383
2025-02-20,221000,225500,218500,221500,614258,-0.0022522522522522292
2025-02-21,222500,228000,222000,226500,821558,0.02257336343115135
2025-02-24,224000,228000,224000,228000,526842,0.0066225165562914245
2025-02-25,226000,230000,224500,228500,622624,0.002192982456140413
2025-02-26,228500,232000,227500,231500,708250,0.013129102844638973
2025-02-27,230500,230500,218000,219000,1125911,-0.05399568034557234
2025-02-28,214500,217000,206500,207000,1660981,-0.0547945205479452
2025-03-04,205000,210000,204500,205500,673266,-0.007246376811594235
2025-03-05,210500,212000,205500,207500,761832,0.009732360097323589
2025-03-06,208500,220000,207500,219000,998317,0.055421686746987886
2025-03-07,216000,216500,213000,213000,630434,-0.0273972602739726
2025-03-10,211500,217000,210500,215000,542653,0.009389671361502261
2025-03-11,205500,214500,205000,212500,586599,-0.011627906976744207
2025-03-12,212500,215500,211000,214000,409913,0.007058823529411784
2025-03-13,217500,219500,213000,216000,622944,0.009345794392523255
2025-03-14,215500,216500,208000,208000,519114,-0.03703703703703709
2025-03-17,210000,211000,207500,211000,481843,0.014423076923076872
2025-03-18,211000,214000,208000,209000,669726,-0.009478672985781977
2025-03-19,208000,211500,207500,208000,710932,-0.004784688995215336
2025-03-20,210000,210000,207500,208000,593445,0.0
2025-03-21,209500,210500,206000,209500,685909,0.007211538461538547
2025-03-24,209500,210500,206000,207000,354434,-0.011933174224343701
2025-03-25,208500,209000,206500,207500,365297,0.0024154589371980784
2025-03-26,207500,208500,203000,204000,790441,-0.016867469879518038
2025-03-27,201000,203000,196500,197800,1501086,-0.0303921568627451
