Date,Open,High,Low,Close,Volume,Change
2024-12-02,287500,289000,279000,282500,207368,-0.005281690140845119
2024-12-03,286500,289000,279500,282500,251104,0.0
2024-12-04,271500,279500,268500,276000,410398,-0.023008849557522137
2024-12-05,276000,277500,263000,265000,356114,-0.03985507246376807
2024-12-06,264500,270000,259000,266500,293620,0.005660377358490676
2024-12-09,257000,259000,246000,246500,604144,-0.075046904315197
2024-12-10,250500,270000,250500,268000,436988,0.0872210953346857
2024-12-11,267500,269500,259500,262500,262560,-0.020522388059701524
2024-12-12,265000,270000,261000,267500,423597,0.01904761904761898
2024-12-13,262500,273500,259000,268500,245172,0.0037383177570093906
2024-12-16,270000,273000,265500,268000,171458,-0.0018621973929237035
2024-12-17,264500,266000,254500,257000,335413,-0.04104477611940294
2024-12-18,257000,262500,255500,260000,325939,0.011673151750972721
2024-12-19,252500,260500,250500,258000,225833,-0.007692307692307665
2024-12-20,260000,261500,254000,257500,280470,-0.0019379844961240345
2024-12-23,256000,257500,248000,256000,226183,-0.005825242718446644
2024-12-24,256500,258500,252500,253000,115503,-0.01171875
2024-12-26,254000,254500,246500,248000,194741,-0.01976284584980237
2024-12-27,244000,250000,242000,247000,229662,-0.0040322580645161255
2024-12-30,245000,255000,244500,250000,198781,0.012145748987854255
2025-01-02,250000,252000,240000,242500,207721,-0.030000000000000027
2025-01-03,239500,259000,239000,253500,363270,0.0453608247422681
2025-01-06,254000,259500,251000,256500,186799,0.01183431952662728
2025-01-07,260500,264000,255000,255500,191554,-0.003898635477582846
2025-01-08,253000,260000,252000,256500,264700,0.00391389432485334
2025-01-09,256500,256500,247000,249000,333340,-0.0292397660818714
2025-01-10,249000,250500,245000,245000,203151,-0.016064257028112428
2025-01-13,242500,245000,239000,241000,209303,-0.01632653061224487
2025-01-14,243000,246000,238500,244500,272203,0.014522821576763434
2025-01-15,245000,247500,239500,240000,182124,-0.018404907975460127
2025-01-16,244000,248000,243000,244000,187927,0.016666666666666607
2025-01-17,242000,247000,240000,243500,183472,-0.002049180327868827
2025-01-20,247000,253500,246500,252500,246145,0.03696098562628336
2025-01-21,250500,252500,238000,240500,260411,-0.04752475247524757
2025-01-22,242000,249000,241500,246000,203935,0.022869022869022926
2025-01-23,244500,244500,239500,240500,174612,-0.022357723577235755
2025-01-24,241000,242500,237000,239500,205167,-0.004158004158004158
2025-01-31,242000,242000,236000,237500,257381,-0.008350730688935326
2025-02-03,234500,234500,221500,222000,339676,-0.0652631578947368
2025-02-04,222500,223000,211500,213000,670959,-0.04054054054054057
2025-02-05,213500,224500,213500,221500,499007,0.039906103286385
2025-02-06,219500,222000,217000,222000,224642,0.0022573363431150906
2025-02-07,220000,224500,216000,217000,322872,-0.022522522522522515
2025-02-10,214000,222000,208000,221000,437549,0.018433179723502224
2025-02-11,222000,226000,218000,221500,205949,0.002262443438914019
2025-02-12,222500,225500,218500,220000,209801,-0.006772009029345383
2025-02-13,220500,231000,220500,229500,486366,0.04318181818181821
2025-02-14,231000,232000,226500,227500,201032,-0.008714596949891074
2025-02-17,227500,241500,227500,237500,342695,0.04395604395604402
2025-02-18,238000,240500,236500,239000,192906,0.006315789473684275
2025-02-19,238000,249500,238000,245500,342081,0.027196652719665204
2025-02-20,245000,250000,244000,246500,296350,0.004073319755600879
2025-02-21,246500,254000,244500,251000,289285,0.018255578093306246
2025-02-24,249000,258000,247500,255500,245505,0.017928286852589626
2025-02-25,253500,255000,248000,248500,196297,-0.0273972602739726
2025-02-26,245000,254000,245000,252000,190782,0.014084507042253502
2025-02-27,250500,252500,247500,251000,147558,-0.003968253968253954
2025-02-28,245500,246500,233000,234500,498771,-0.06573705179282874
2025-03-04,231000,232500,225500,227500,344750,-0.02985074626865669
2025-03-05,229500,235500,223500,230500,307884,0.01318681318681314
2025-03-06,233000,240000,231000,233000,201278,0.010845986984815648
2025-03-07,229500,255500,228000,250500,762489,0.07510729613733913
2025-03-10,254000,254500,240500,247000,306897,-0.013972055888223589
2025-03-11,237500,246000,236000,238000,247839,-0.036437246963562764
2025-03-12,240000,253500,238000,251000,309456,0.054621848739495826
2025-03-13,254000,254000,242500,242500,311370,-0.03386454183266929
2025-03-14,242500,245500,230000,231000,402574,-0.04742268041237119
2025-03-17,233500,240500,232500,235000,214597,0.017316017316017396
2025-03-18,237500,243000,231500,231500,222768,-0.014893617021276562
2025-03-19,237000,251500,236500,242000,611502,0.04535637149028071
2025-03-20,246000,262000,245000,257000,673739,0.06198347107438007
2025-03-21,259000,263500,246500,261500,625338,0.017509727626459082
2025-03-24,261500,267000,258000,264500,402599,0.011472275334607929
2025-03-25,265000,268500,258000,259500,255202,-0.018903591682419618
2025-03-26,262000,274500,261000,272000,412341,0.048169556840077066
2025-03-27,267000,276000,267000,269000,281035,-0.011029411764705843
2025-03-28,271500,272500,258000,259000,271423,-0.03717472118959109
2025-03-31,251500,253500,243500,245000,376594,-0.05405405405405406
2025-04-01,248500,251500,238500,244000,275259,-0.004081632653061273
2025-04-02,244500,246000,229500,232500,357276,-0.047131147540983576
2025-04-03,224000,227500,221000,223000,311765,-0.04086021505376347
