Date,Open,High,Low,Close,Volume,Change
2024-12-02,53900,54400,53000,53900,1217342,0.016981132075471805
2024-12-03,54700,56600,54600,56400,1655612,0.04638218923933213
2024-12-04,55300,55500,51900,52700,2898181,-0.06560283687943258
2024-12-05,52000,52200,49600,49800,2698547,-0.05502846299810249
2024-12-06,50800,52300,50200,51300,2179168,0.030120481927710774
2024-12-09,50000,51500,50000,50700,1971765,-0.011695906432748537
2024-12-10,50200,50700,49800,49950,1891657,-0.014792899408283988
2024-12-11,50700,51000,50000,50400,1332116,0.009009009009008917
2024-12-12,50500,51200,50100,50600,2480548,0.003968253968253954
2024-12-13,50400,50700,49300,49500,2268368,-0.021739130434782594
2024-12-16,49950,50400,49250,49500,1544004,0.0
2024-12-17,49400,49650,48500,48650,1626674,-0.01717171717171717
2024-12-18,48850,50300,48850,50000,1283410,0.027749229188078095
2024-12-19,48700,49250,48300,48850,1448266,-0.02300000000000002
2024-12-20,48550,48850,47800,48250,1330773,-0.0122824974411464
2024-12-23,48350,49450,48300,49300,829898,0.021761658031087983
2024-12-24,49200,49400,48750,49400,594327,0.0020283975659229903
2024-12-26,49500,49500,48500,48900,1011341,-0.010121457489878583
2024-12-27,48450,48900,48000,48350,898979,-0.011247443762781195
2024-12-30,48850,49350,47650,47650,843682,-0.014477766287487093
2025-01-02,47550,48550,47550,47750,594123,0.0020986358866736943
2025-01-03,47850,49100,47850,48200,1054730,0.009424083769633551
2025-01-06,48250,48950,48000,48950,983822,0.01556016597510368
2025-01-07,48950,49850,48800,48950,1204267,0.0
2025-01-08,48500,49700,48500,49150,821327,0.004085801838610736
2025-01-09,48850,50000,48800,49500,1083039,0.007121057985757906
2025-01-10,49200,50300,49100,49850,995783,0.007070707070707005
2025-01-13,49200,50300,49200,50000,969835,0.0030090270812437314
2025-01-14,50200,50300,49200,49500,800945,-0.010000000000000009
2025-01-15,50100,51400,49750,50300,1577800,0.016161616161616266
2025-01-16,50900,51000,50000,50300,818752,0.0
2025-01-17,50800,51100,49000,49450,1345174,-0.016898608349900646
2025-01-20,49600,50500,49600,49950,783496,0.010111223458038499
2025-01-21,50100,50400,49550,49750,740714,-0.004004004004004025
2025-01-22,50200,50600,50000,50000,932267,0.005025125628140614
2025-01-23,50400,51300,50000,50300,1215307,0.006000000000000005
2025-01-24,50500,50600,49700,50000,1098318,-0.005964214711729587
2025-01-31,51000,51900,50700,51100,1386966,0.02200000000000002
2025-02-03,51300,51400,49800,50200,1136445,-0.017612524461839585
2025-02-04,50300,51300,50100,51000,1082282,0.015936254980079667
2025-02-05,51200,52000,50600,50700,1164141,-0.00588235294117645
2025-02-06,50400,50600,49000,50000,1632445,-0.013806706114398382
2025-02-07,49900,50300,49150,49250,1097705,-0.015000000000000013
2025-02-10,48900,49850,48800,49400,1068542,0.003045685279187804
2025-02-11,49450,49750,48850,49100,812888,-0.006072874493927127
2025-02-12,48750,49450,48600,48600,1261936,-0.010183299389002087
2025-02-13,48450,49000,48400,48450,2128957,-0.0030864197530864335
2025-02-14,47500,48550,47500,48350,1527922,-0.0020639834881320818
2025-02-17,48300,48750,47950,48450,880421,0.0020682523267838704
2025-02-18,48350,48800,48250,48450,1384205,0.0
2025-02-19,48650,49050,48450,48450,1930383,0.0
2025-02-20,48050,48200,46650,47300,3083547,-0.023735810113519107
2025-02-21,47800,48450,47500,47650,2423401,0.007399577167019
2025-02-24,47550,47650,46200,47200,1666686,-0.009443861490031513
2025-02-25,46700,47000,46300,46350,1708278,-0.018008474576271194
2025-02-26,46350,47800,46300,47550,1987758,0.025889967637540368
2025-02-27,47400,47850,47050,47500,1258650,-0.001051524710830698
2025-02-28,46600,47300,45850,45850,3070901,-0.03473684210526318
2025-03-04,46400,47100,45950,46150,1570129,0.0065430752453652374
2025-03-05,46350,46600,44400,44650,1969675,-0.03250270855904658
2025-03-06,45200,46600,45200,46350,1925797,0.03807390817469214
2025-03-07,45750,46250,44900,45000,1803119,-0.029126213592232997
2025-03-10,45050,46050,44900,45600,968529,0.01333333333333342
2025-03-11,44900,45400,44700,45000,1316172,-0.013157894736842146
2025-03-12,45000,45550,44750,45150,1183350,0.0033333333333334103
2025-03-13,45250,46600,45250,45850,1607399,0.015503875968992276
2025-03-14,45400,46400,45200,45700,1036479,-0.0032715376226826187
2025-03-17,46100,46600,45900,46550,1005906,0.018599562363238453
2025-03-18,46700,47500,46500,46550,1051074,0.0
2025-03-19,46550,47500,46500,47250,988729,0.015037593984962516
