Date,Open,High,Low,Close,Volume,Change
2024-12-02,90100,90200,87700,88200,556888,-0.01672240802675584
2024-12-03,89100,89600,88200,89000,354051,0.009070294784580435
2024-12-04,87000,88000,86600,87300,544557,-0.019101123595505642
2024-12-05,87400,87600,85800,86000,397776,-0.014891179839633395
2024-12-06,86000,86600,83300,85100,455580,-0.010465116279069764
2024-12-09,83900,84400,82300,83200,567362,-0.022326674500587562
2024-12-10,83100,85000,82900,84300,965339,0.013221153846153744
2024-12-11,84300,86100,84000,85900,273017,0.018979833926453082
2024-12-12,86400,88200,85900,87800,634491,0.022118742724097862
2024-12-13,87600,88800,87600,88300,272310,0.005694760820045497
2024-12-16,88800,88900,87400,87800,276988,-0.005662514156285381
2024-12-17,87400,88100,86700,86800,371618,-0.011389521640091105
2024-12-18,87700,92300,87700,91500,795521,0.054147465437788034
2024-12-19,89500,90400,88000,88100,455731,-0.03715846994535521
2024-12-20,87800,88000,85600,86200,427186,-0.02156640181611802
2024-12-23,86400,87300,86300,86900,259210,0.008120649651972123
2024-12-24,87600,87700,86700,86900,151067,0.0
2024-12-26,87000,87200,85300,85700,255019,-0.013808975834292303
2024-12-27,85000,85700,83700,84500,292642,-0.014002333722287097
2024-12-30,84000,84900,83500,83500,261914,-0.011834319526627168
2025-01-02,83500,84400,82700,84000,257663,0.0059880239520957446
2025-01-03,83900,85700,83900,85100,252319,0.013095238095238049
2025-01-06,85900,85900,84400,85400,438799,0.003525264394829586
2025-01-07,86700,88500,85600,85600,753370,0.0023419203747072626
2025-01-08,85600,88300,85500,86800,447480,0.014018691588784993
2025-01-09,86800,87500,85500,85800,573671,-0.011520737327188946
2025-01-10,85700,86300,85600,85800,344963,0.0
2025-01-13,85600,85700,84000,84300,464331,-0.0174825174825175
2025-01-14,84600,84700,84100,84300,253992,0.0
2025-01-15,84700,85500,84200,84300,320655,0.0
2025-01-16,85100,85800,84900,85100,301418,0.009489916963226541
2025-01-17,85000,85300,83500,83700,390497,-0.016451233842538215
2025-01-20,84000,84400,83800,84100,236456,0.004778972520907976
2025-01-21,84300,84800,83900,84300,352784,0.0023781212841855748
2025-01-22,85100,89300,84400,86400,1314488,0.02491103202846978
2025-01-23,86700,86800,84500,84500,515475,-0.0219907407407407
2025-01-24,84900,88700,84500,85100,1001032,0.007100591715976323
2025-01-31,84900,85000,83800,84200,506930,-0.010575793184488869
2025-02-03,83100,83200,77600,78200,1326733,-0.07125890736342044
2025-02-04,79600,79700,78100,78400,629803,0.002557544757033181
2025-02-05,79100,80300,78900,79900,434946,0.01913265306122458
2025-02-06,80400,80600,79500,80600,401172,0.008760951188986343
2025-02-07,80000,80400,79500,79600,328226,-0.012406947890818865
2025-02-10,78900,79400,77700,79100,588765,-0.006281407035175879
2025-02-11,79400,79900,78200,79700,426719,0.007585335018963413
2025-02-12,79400,79900,78800,79100,440372,-0.007528230865746499
2025-02-13,79300,79800,78800,79500,749206,0.005056890012642201
2025-02-14,79700,80200,78900,79500,771963,0.0
2025-02-17,79500,80000,79200,79400,539176,-0.0012578616352201255
2025-02-18,79500,79800,78500,79700,690231,0.0037783375314861534
2025-02-19,79900,82500,79900,81500,1086060,0.02258469259723972
2025-02-20,81800,82800,81300,82500,526344,0.012269938650306678
2025-02-21,82600,83300,81500,82400,467758,-0.00121212121212122
2025-02-24,82400,84000,82300,83400,532688,0.012135922330097193
2025-02-25,83100,83300,82300,82300,340039,-0.013189448441247031
2025-02-26,82300,82800,81700,82300,261915,0.0
2025-02-27,83200,84400,82200,82600,514180,0.0036452004860267895
2025-02-28,81400,81800,78900,78900,856333,-0.044794188861985496
2025-03-04,78200,79300,78000,78200,420402,-0.008871989860583018
2025-03-05,78500,79300,78100,78600,337995,0.005115089514066584
