Date,Open,High,Low,Close,Volume,Change
2024-12-02,165990,166165,161168,161869,564644,-0.0128374010513862
2024-12-03,162044,165289,161343,163886,460954,0.012460693523775435
2024-12-04,159589,163096,159414,160466,832118,-0.020868164455780214
2024-12-05,161255,163535,158186,158712,484997,-0.010930664439819049
2024-12-06,158712,159940,155117,157923,685347,-0.004971268713140797
2024-12-09,153451,157309,153188,153538,806106,-0.027766696428006
2024-12-10,155030,159677,155030,159677,500820,0.03998358712501138
2024-12-11,159677,162132,158801,161518,397936,0.011529525229056148
2024-12-12,162044,162220,160905,162132,749764,0.003801433895912476
2024-12-13,162745,171954,162745,169585,1205438,0.0459687168480003
2024-12-16,173620,173882,170726,172040,1246799,0.01447651620131496
2024-12-17,171865,171865,168358,169410,1152279,-0.01528714252499419
2024-12-18,169410,175285,169410,174672,7722915,0.03106074021604388
2024-12-19,170200,172303,168358,168709,775957,-0.03413827058715768
2024-12-20,167568,169234,166254,168797,474721,0.0005216082129584354
2024-12-23,169498,170551,168797,170024,324371,0.007269086535898195
2024-12-24,170024,170726,168534,170462,411011,0.002576106902554942
2024-12-26,170462,172128,167042,167920,696654,-0.014912414497072701
2024-12-27,168195,170582,162320,165625,622974,-0.013667222486898556
2024-12-30,165258,174622,165074,172143,579096,0.039353962264151
2025-01-02,172143,172877,165349,165533,629419,-0.03839830838314662
2025-01-03,165809,167277,165533,166084,392605,0.0033286414189315217
2025-01-06,166176,169573,164982,168655,500674,0.015480118494255901
2025-01-07,168930,172143,168195,168838,541364,0.0010850552903856059
2025-01-08,168104,171501,168104,169389,476138,0.0032634833390587925
2025-01-09,169848,171041,168104,170307,472869,0.005419478242388864
2025-01-10,170399,171408,169206,169940,406550,-0.0021549319757848684
2025-01-13,169481,171592,167553,168746,484339,-0.007026009179710524
2025-01-14,169848,172419,168562,169389,407876,0.0038104606924016515
2025-01-15,169664,170307,165349,165900,610720,-0.02059755946371955
2025-01-16,167093,168655,167002,167093,427973,0.00719107896323079
2025-01-17,166359,167002,163880,165258,544957,-0.010981908278623331
2025-01-20,164523,166542,162687,165900,498118,0.003884834622227107
2025-01-21,165809,167828,164064,164982,424490,-0.005533453887884288
2025-01-22,165349,167002,164615,165716,472148,0.004448970190687573
