Date,Open,High,Low,Close,Volume,Change
2024-12-02,63300,64400,62700,63700,875393,0.02083333333333326
2024-12-03,64900,66200,64400,66000,1255678,0.03610675039246458
2024-12-04,64000,64500,60100,61600,3959392,-0.06666666666666665
2024-12-05,61200,61400,58600,59600,2396283,-0.03246753246753242
2024-12-06,59800,62000,59700,60800,2192638,0.020134228187919545
2024-12-09,59200,59800,56400,57200,2263732,-0.05921052631578949
2024-12-10,58400,58500,56900,57300,1781040,0.0017482517482516613
2024-12-11,57500,59400,57200,59200,1091288,0.03315881326352521
2024-12-12,59800,61300,59300,60000,1884109,0.013513513513513598
2024-12-13,59800,60100,59200,59700,1164514,-0.0050000000000000044
2024-12-16,59900,60400,58500,58900,1166218,-0.01340033500837523
2024-12-17,58100,59200,57400,58300,1451833,-0.01018675721561968
2024-12-18,57900,60000,57900,59800,901290,0.02572898799313883
2024-12-19,58500,59600,58100,58400,1093221,-0.02341137123745818
2024-12-20,58200,58400,56500,56800,1571271,-0.0273972602739726
2024-12-23,57300,59100,57200,59000,755438,0.03873239436619724
2024-12-24,58800,59000,58100,58900,502941,-0.0016949152542372614
2024-12-26,59000,59200,57900,58300,891621,-0.01018675721561968
2024-12-27,57500,58000,57100,57600,779839,-0.012006861063464824
2024-12-30,57800,58300,56800,56800,509855,-0.01388888888888884
2025-01-02,56900,58100,56600,56800,564964,0.0
2025-01-03,57100,58000,57000,57000,530060,0.0035211267605634866
2025-01-06,57200,57900,56500,57800,488149,0.01403508771929829
2025-01-07,58000,58700,57600,57700,577978,-0.0017301038062284002
2025-01-08,57300,58400,57200,57800,494540,0.0017331022530329143
2025-01-09,57500,58800,57400,58500,750459,0.01211072664359869
2025-01-10,58000,58900,57700,58600,760941,0.0017094017094017033
2025-01-13,58300,59300,58100,58600,766350,0.0
2025-01-14,59000,59100,57700,58000,586166,-0.010238907849829393
2025-01-15,58300,59200,57300,57800,1098200,-0.0034482758620689724
2025-01-16,58400,58700,57800,58100,845554,0.00519031141868509
2025-01-17,58100,59100,57000,57300,1130063,-0.013769363166953541
2025-01-20,57100,57900,57000,57200,626010,-0.0017452006980802626
2025-01-21,57500,58600,57400,58000,1110986,0.013986013986013957
2025-01-22,58600,59100,58000,58700,1017026,0.012068965517241459
2025-01-23,59000,60000,58900,59100,1352096,0.006814310051107331
2025-01-24,59400,59700,58800,59200,776640,0.0016920473773265332
2025-01-31,60100,60900,59600,60500,1308593,0.02195945945945943
2025-02-03,59700,60300,58800,59300,1003514,-0.01983471074380161
2025-02-04,59800,62300,59600,61500,1540601,0.03709949409780777
2025-02-05,61900,63700,61300,61800,1406330,0.004878048780487809
2025-02-06,61900,62600,60900,61400,1144658,-0.006472491909385147
2025-02-07,61400,61800,61000,61600,1071213,0.0032573289902280145
2025-02-10,61700,62500,60700,60700,835576,-0.01461038961038963
2025-02-11,61200,61600,60100,60600,625237,-0.0016474464579900872
2025-02-12,61000,61500,60600,60900,603264,0.004950495049504955
2025-02-13,60900,61400,60600,60600,877616,-0.0049261083743842304
2025-02-14,60500,61100,60200,60800,553878,0.0033003300330032292
2025-02-17,61000,61000,60000,60300,624388,-0.008223684210526327
2025-02-18,60100,61400,60100,61200,497851,0.014925373134328401
2025-02-19,61200,62800,61200,62100,935452,0.014705882352941124
2025-02-20,62100,62700,62000,62500,682490,0.006441223832528209
2025-02-21,62800,63100,62000,62300,804553,-0.0031999999999999806
2025-02-24,62300,62600,61800,62500,513177,0.0032102728731941976
2025-02-25,62200,62900,62000,62000,1481212,-0.008000000000000007
2025-02-26,62000,62800,61800,62500,1303228,0.008064516129032251
2025-02-27,62000,62000,60300,61500,1261187,-0.016000000000000014
2025-02-28,60900,61100,59500,59500,2001092,-0.03252032520325199
2025-03-04,59900,60200,59200,59400,764143,-0.001680672268907557
2025-03-05,59500,59900,57600,57800,1115620,-0.026936026936026924
2025-03-06,58000,59600,58000,59500,739368,0.02941176470588225
2025-03-07,58800,59100,58000,58000,684582,-0.025210084033613467
2025-03-10,57600,60000,57600,59300,687263,0.022413793103448265
2025-03-11,58300,59600,58200,58800,638980,-0.00843170320404718
2025-03-12,59200,60700,59100,60500,1150668,0.028911564625850428
2025-03-13,60600,61900,60200,61600,1647441,0.018181818181818077
2025-03-14,60500,61300,60000,60100,1107925,-0.024350649350649345
2025-03-17,60300,61000,60200,61000,699956,0.014975041597337757
2025-03-18,61700,62300,60900,61100,783093,0.0016393442622950616
2025-03-19,61500,62200,61200,62000,626136,0.014729950900163713
2025-03-20,62000,62400,61700,62200,732806,0.003225806451612856
2025-03-21,61500,62500,61400,62200,1068725,0.0
2025-03-24,61800,62900,61800,62500,555478,0.004823151125401992
2025-03-25,62000,62600,61600,62600,467432,0.0016000000000000458
2025-03-26,63200,63200,61700,62000,417289,-0.009584664536741228
2025-03-27,61500,61900,61200,61600,379815,-0.006451612903225823
2025-03-28,61500,61500,60700,61300,318284,-0.004870129870129913
2025-03-31,60200,60600,59300,59600,805310,-0.027732463295269127
2025-04-01,60200,61600,60100,61400,658739,0.030201342281879207
2025-04-02,60600,61400,60400,60600,569167,-0.013029315960912058
2025-04-03,58900,59400,58200,58900,1107004,-0.028052805280528004
2025-04-04,58200,59200,58000,58600,833879,-0.005093378607809895
2025-04-07,56000,56700,54600,55300,1757351,-0.05631399317406138
