Date,Open,High,Low,Close,Volume,Change
2024-12-02,116700,117200,112900,113500,185130,-0.009598603839441555
2024-12-03,114900,117900,114700,117600,192774,0.03612334801762107
2024-12-04,115400,117400,112100,113100,291048,-0.03826530612244894
2024-12-05,113300,114000,111200,111300,151041,-0.01591511936339518
2024-12-06,111300,115500,111200,114200,298322,0.02605570530098822
2024-12-09,113200,113500,107900,109100,305943,-0.04465849387040277
2024-12-10,110100,118800,110100,118300,368253,0.084326306141155
2024-12-11,118300,119400,116600,118600,177017,0.002535925612848766
2024-12-12,118800,120800,116100,117700,359030,-0.007588532883642474
2024-12-13,117100,120500,116300,120500,318501,0.023789294817332163
2024-12-16,120500,122100,119200,121400,290433,0.007468879668049766
2024-12-17,121600,122100,116900,119200,348803,-0.018121911037891292
2024-12-18,119700,120700,117400,119000,190616,-0.001677852348993314
2024-12-19,116500,117000,114900,115100,194424,-0.032773109243697474
2024-12-20,115100,119500,114100,116300,245554,0.010425716768027726
2024-12-23,117400,117400,112600,115100,184254,-0.010318142734307867
2024-12-24,115100,115800,112800,112800,122728,-0.019982623805386623
2024-12-26,113600,115600,112500,112500,153062,-0.0026595744680850686
2024-12-27,111700,113700,110000,111000,138924,-0.013333333333333308
2024-12-30,110300,114600,110300,112000,126051,0.009009009009008917
2025-01-02,112400,113700,110800,111000,114727,-0.008928571428571397
2025-01-03,110800,119000,110800,119000,354105,0.072072072072072
2025-01-06,119000,120100,117400,119000,182514,0.0
2025-01-07,118600,123300,118600,122600,492606,0.030252100840336027
2025-01-08,121400,124200,121100,123800,406507,0.00978792822185981
2025-01-09,124500,131000,122500,127500,1373828,0.02988691437802915
2025-01-10,127500,127900,124600,124700,447558,-0.0219607843137255
2025-01-13,124600,126500,124000,125500,275869,0.006415396952686558
2025-01-14,126800,128100,125200,127200,267356,0.013545816733067761
2025-01-15,126800,128500,124600,125100,209376,-0.01650943396226412
2025-01-16,127000,128500,125400,127600,208716,0.019984012789768135
2025-01-17,127100,130400,126600,128800,298005,0.00940438871473348
2025-01-20,130000,131200,125900,129400,233023,0.004658385093167627
2025-01-21,129400,129400,123300,124600,277474,-0.037094281298299836
2025-01-22,125900,129100,125100,127900,233401,0.026484751203852408
2025-01-23,128800,128800,126100,127100,168921,-0.006254886630179812
2025-01-24,128800,129800,126800,127100,143727,0.0
2025-01-31,129300,129800,126100,127500,176246,0.0031471282454760274
2025-02-03,124800,124800,120300,120900,234451,-0.051764705882352935
2025-02-04,123100,126900,122000,123400,195019,0.02067824648469818
2025-02-05,123500,126400,122900,125800,155635,0.01944894651539708
2025-02-06,124500,125500,120900,124500,180135,-0.010333863275039712
2025-02-07,123600,125100,121100,121100,136542,-0.027309236947791193
2025-02-10,120900,123400,120000,122100,185265,0.008257638315441795
2025-02-11,123400,124200,120500,120900,191701,-0.009828009828009798
2025-02-12,121600,123500,120200,121900,157638,0.008271298593879317
2025-02-13,122100,124300,120300,124300,393847,0.01968826907301069
2025-02-14,123700,124000,121400,122000,158652,-0.018503620273531807
2025-02-17,121800,128500,120700,128500,331331,0.05327868852459017
2025-02-18,128100,129400,126700,128800,207974,0.0023346303501945442
2025-02-19,129300,130200,127800,130000,248643,0.009316770186335477
2025-02-20,130000,133200,128600,131400,341348,0.010769230769230864
2025-02-21,132500,133400,130900,132400,243030,0.007610350076103556
2025-02-24,132700,134000,131600,133900,247440,0.011329305135951762
2025-02-25,132700,132700,128000,128800,227745,-0.03808812546676621
2025-02-26,128800,131500,128200,130800,178693,0.01552795031055898
2025-02-27,130700,132100,129300,132100,251609,0.009938837920489219
2025-02-28,130500,130800,125700,125700,814483,-0.04844814534443609
2025-03-04,125500,126800,122600,124200,197545,-0.011933174224343701
2025-03-05,124000,127400,124000,126700,168056,0.020128824476650653
2025-03-06,127700,129900,123800,126500,196054,-0.0015785319652722452
2025-03-07,125100,128300,124000,128000,181312,0.011857707509881354
2025-03-10,130000,135700,129100,135700,886360,0.06015624999999991
2025-03-11,133400,137000,131000,134400,373162,-0.009579955784819405
2025-03-12,134100,138600,133100,138600,390033,0.03125
2025-03-13,138600,140200,135600,139200,1044354,0.0043290043290042934
2025-03-14,137500,137500,130800,132000,331659,-0.051724137931034475
2025-03-17,130600,132000,125200,126200,369244,-0.043939393939393945
2025-03-18,127100,128000,125200,126100,181875,-0.0007923930269413404
2025-03-19,126100,128300,123300,124600,316698,-0.011895321173671647
2025-03-20,131700,133500,124300,125200,616815,0.0048154093097914075
2025-03-21,125200,125700,121100,123400,353512,-0.014376996805111841
2025-03-24,123400,127000,123400,125500,203566,0.01701782820097253
2025-03-25,125800,126500,123500,124100,135819,-0.011155378486055745
2025-03-26,124200,126400,123800,126000,132217,0.015310233682514163
2025-03-27,124300,124900,121200,121900,142172,-0.032539682539682535
2025-03-28,122300,122300,119700,121000,134770,-0.007383100902379036
2025-03-31,118500,119300,111600,112400,322282,-0.07107438016528922
2025-04-01,112500,113600,109400,110100,305814,-0.020462633451957313
2025-04-02,110900,111000,104750,106200,462467,-0.03542234332425065
