Date,Open,High,Low,Close,Volume,Change
2024-12-02,96800,97200,95900,96400,719699,0.0020790020790020236
2024-12-03,97400,101900,97400,101200,1757811,0.049792531120331995
2024-12-04,97300,98400,94000,95400,4313125,-0.05731225296442688
2024-12-05,92700,94200,85800,85800,4884267,-0.10062893081761004
2024-12-06,84900,88600,84900,85300,4850007,-0.005827505827505797
2024-12-09,83600,84600,81600,82800,3374866,-0.029308323563892125
2024-12-10,84000,85300,83300,83300,2698978,0.006038647342995196
2024-12-11,82800,85800,82400,85400,2355417,0.025210084033613356
2024-12-12,87000,88300,86000,87000,2791966,0.0187353629976581
2024-12-13,86100,87000,85000,85000,1694440,-0.02298850574712641
2024-12-16,85400,86500,84200,84600,1548003,-0.004705882352941226
2024-12-17,83900,85800,83700,84400,1655078,-0.0023640661938534313
2024-12-18,84500,87600,84500,87200,1285529,0.033175355450236976
2024-12-19,85600,87900,85100,86900,1653800,-0.0034403669724770714
2024-12-20,86100,86800,85300,85800,1727765,-0.012658227848101222
2024-12-23,86300,87800,85900,87000,720602,0.013986013986013957
2024-12-24,87300,87600,86000,86500,417559,-0.005747126436781658
2024-12-26,86600,86700,84800,85500,915276,-0.011560693641618491
2024-12-27,84500,85500,84300,85000,790972,-0.005847953216374324
2024-12-30,85000,85700,82900,82900,789952,-0.024705882352941133
2025-01-02,82900,85400,82900,83400,622880,0.006031363088057962
2025-01-03,85000,85700,83500,83800,846012,0.004796163069544335
2025-01-06,85000,85800,84000,85500,638318,0.02028639618138417
2025-01-07,85700,86700,85100,85600,656321,0.0011695906432749315
2025-01-08,84900,86200,84800,85600,732168,0.0
2025-01-09,85100,87300,85000,86700,906121,0.012850467289719614
2025-01-10,86100,88400,86100,87800,1245510,0.012687427912341454
2025-01-13,87800,90500,87600,89300,1407611,0.017084282460136713
2025-01-14,89000,89800,87800,88800,918143,-0.005599104143337086
2025-01-15,88700,90700,88700,89900,937623,0.012387387387387427
2025-01-16,91500,91700,89800,90400,791640,0.005561735261401468
2025-01-17,89500,90400,88400,88600,926849,-0.019911504424778736
2025-01-20,88300,89500,87900,88800,380114,0.0022573363431150906
2025-01-21,89600,90100,88100,88900,478811,0.0011261261261261701
2025-01-22,89900,90000,88900,89400,764445,0.0056242969628796935
2025-01-23,89800,91000,88600,88600,771073,-0.008948545861297563
2025-01-24,88600,89100,87800,88900,1024781,0.003386004514672747
2025-01-31,89700,91900,89700,91700,2113398,0.03149606299212593
2025-02-03,91600,92000,88100,88800,970789,-0.031624863685932425
2025-02-04,90000,92000,89700,91300,1272273,0.028153153153153143
2025-02-05,92300,93300,90400,91000,898948,-0.003285870755750264
2025-02-06,87900,88000,83100,84900,3473264,-0.06703296703296702
2025-02-07,85900,86300,84900,86000,2067392,0.012956419316843437
2025-02-10,85900,86900,84900,84900,1409776,-0.01279069767441865
2025-02-11,85100,85600,83800,84200,1278762,-0.00824499411071844
2025-02-12,83200,85000,81900,82000,1948739,-0.026128266033254133
2025-02-13,82000,82100,79100,79400,3880882,-0.03170731707317076
2025-02-14,79100,80200,78700,79700,2655434,0.0037783375314861534
2025-02-17,79200,81100,77600,81000,2650482,0.016311166875784266
2025-02-18,81000,82300,80600,82100,1279204,0.013580246913580174
2025-02-19,82400,82600,81800,82200,1334119,0.0012180267965895553
2025-02-20,83000,83400,81300,82700,1698239,0.006082725060827299
2025-02-21,82600,83500,82300,82700,1662225,0.0
2025-02-24,82700,83300,81700,82000,1001661,-0.008464328899637219
2025-02-25,81400,82200,81300,81400,798719,-0.007317073170731714
2025-02-26,82000,82100,80700,81500,1264119,0.0012285012285011554
2025-02-27,81500,81500,79900,80800,1512909,-0.008588957055214674
2025-02-28,80100,80700,78300,78300,1490037,-0.030940594059405968
2025-03-04,78500,79200,77100,77900,1154886,-0.005108556832694733
