Date,Open,High,Low,Close,Volume,Change
2024-12-02,1454083,1464385,1420233,1429063,34571,-0.0041025819714972656
2024-12-03,1446724,1458498,1418761,1423176,57990,-0.00411948248607652
2024-12-04,1402572,1429063,1384911,1414346,61444,-0.006204432902184975
2024-12-05,1418761,1443781,1417289,1418761,31998,0.003121584110252984
2024-12-06,1427592,1448196,1406987,1415818,53803,-0.002074345150451684
2024-12-09,1386383,1434950,1384911,1402572,80637,-0.009355722275038225
2024-12-10,1415818,1421705,1392270,1411402,58487,0.0062955769828572095
2024-12-11,1405515,1420233,1392270,1396685,46760,-0.010427220593424158
2024-12-12,1405515,1442309,1389326,1409931,82139,0.009483885056401409
2024-12-13,1411402,1464385,1398157,1451140,52191,0.029227671425055446
2024-12-16,1467329,1471744,1440837,1470272,44392,0.013184117314662958
2024-12-17,1467329,1470272,1432007,1433479,41106,-0.025024621294563176
2024-12-18,1439366,1451140,1421705,1442309,27726,0.006159839104723508
2024-12-19,1420233,1442309,1405515,1409931,48483,-0.022448726313154754
2024-12-20,1393742,1395213,1336343,1381968,68259,-0.019832885439074688
2024-12-23,1392270,1406987,1383439,1396685,22601,0.010649305917358465
2024-12-24,1402572,1409931,1368722,1380496,27583,-0.011591017301682216
2024-12-26,1380496,1401100,1373137,1379024,25527,-0.0010662834227698204
2024-12-27,1373137,1383439,1354004,1374609,23955,-0.003201539639629214
2024-12-30,1376081,1426120,1371665,1396685,35402,0.016059839561649802
2025-01-02,1398157,1401100,1359891,1374609,37311,-0.01580599777329894
2025-01-03,1374609,1399628,1371665,1383439,29945,0.006423644832821651
2025-01-06,1383439,1395213,1371665,1392270,30461,0.006383367824674524
2025-01-07,1399628,1479103,1398157,1446724,103052,0.03911166655892884
2025-01-08,1458498,1487933,1455555,1483518,72806,0.025432632623776152
2025-01-09,1471744,1492348,1459970,1480574,33836,-0.001984472045502672
2025-01-10,1473216,1501179,1470272,1471744,28759,-0.0059639031888983896
2025-01-13,1480574,1536501,1479103,1489405,49167,0.012000048921551487
2025-01-14,1543859,1562992,1498235,1507066,66565,0.011857755278114501
2025-01-15,1524727,1539444,1501179,1501179,48585,-0.003906265551740895
2025-01-16,1511481,1549746,1511481,1533557,58548,0.021568380586192593
2025-01-17,1524727,1527670,1493820,1493820,32426,-0.025911655060750882
2025-01-20,1504122,1515896,1490877,1493820,26393,0.0
2025-01-21,1505594,1511481,1471744,1473216,31093,-0.013792826444953166
2025-01-22,1487933,1526199,1479103,1492348,45370,0.01298655458534248
2025-01-23,1505594,1586540,1504122,1549746,109125,0.03846153846153855
2025-01-24,1577710,1607144,1564464,1599786,72583,0.03228916222400313
2025-01-31,1611560,1618918,1568879,1590955,56182,-0.0055201133151558945
2025-02-03,1570351,1611560,1524727,1611560,68729,0.012951340547029844
2025-02-04,1617447,1618918,1571823,1577710,68312,-0.021004492541388475
2025-02-05,1579181,1605673,1562992,1596842,39690,0.012126436417339015
2025-02-06,1611560,1611560,1589484,1602729,32187,0.0036866515284543766
2025-02-07,1604201,1714582,1599786,1707223,129249,0.06519754743315942
2025-02-10,1707223,1711638,1658656,1663071,66509,-0.025861882132562686
2025-02-11,1663071,1746960,1663071,1727828,62046,0.038938205284079874
2025-02-12,1710167,1720469,1673373,1702808,58415,-0.014480608023483832
2025-02-13,1713110,1745488,1693977,1735186,54349,0.0190144749143768
2025-02-14,1746960,1779339,1727828,1736658,64367,0.0008483240413419413
2025-02-17,1745488,1745488,1714582,1744017,31467,0.004237449169611995
2025-02-18,1732243,1748432,1711638,1729299,36860,-0.008439137921247286
2025-02-19,1711638,1738130,1692506,1701336,52871,-0.016170135991520285
2025-02-20,1692506,1701336,1657184,1691034,53339,-0.0060552412927252774
2025-02-21,1673373,1707223,1668958,1702808,31630,0.006962603945278367
2025-02-24,1688090,1701336,1674845,1693977,24176,-0.0051861396000019155
2025-02-25,1680732,1769036,1677788,1733714,73948,0.023457815542950122
2025-02-26,1738130,1746960,1689562,1718997,39368,-0.008488712671178789
2025-02-27,1716054,1724884,1693977,1705751,24540,-0.007705656263507166
2025-02-28,1689562,1699864,1639523,1642466,68704,-0.037100960222212986
2025-03-04,1639523,1685147,1633636,1648353,30429,0.0035842446662517347
2025-03-05,1655712,1691034,1648353,1682203,35512,0.020535649827433833
2025-03-06,1688090,1688090,1657184,1663071,29146,-0.011373181476908578
2025-03-07,1649825,1654240,1618918,1618918,33929,-0.026549076978673813
2025-03-10,1599786,1610088,1562992,1593899,43453,-0.015454149005693973
2025-03-11,1560049,1589484,1552690,1571823,31580,-0.01385031297466155
2025-03-12,1567407,1598314,1560049,1588012,37970,0.010299505733151859
2025-03-13,1588012,1599786,1545331,1549746,75003,-0.024096795238323088
2025-03-14,1549746,1551218,1518840,1546803,54648,-0.0018990208718073776
2025-03-17,1562992,1573294,1545331,1573294,36598,0.017126292100545504
2025-03-18,1585068,1601257,1570351,1595371,30326,0.014032342333982095
2025-03-19,1605673,1621862,1582125,1588012,26611,-0.004612720176059404
2025-03-20,1599786,1604201,1565936,1577710,29732,-0.006487356518716458
2025-03-21,1560049,1611560,1560049,1611560,60732,0.021455147016878895
2025-03-24,1596842,1602729,1580653,1586540,16060,-0.015525329494402884
2025-03-25,1585068,1593899,1561520,1580653,29289,-0.0037105903412457675
2025-03-26,1585068,1589484,1555633,1577710,23979,-0.00186188872573545
2025-03-27,1560049,1573294,1555633,1558577,15296,-0.012127070247383909
2025-03-28,1564464,1565936,1532085,1543859,17242,-0.00944322930467989
2025-03-31,1511481,1527670,1492348,1492348,37714,-0.03336509357395978
2025-04-01,1508538,1571823,1502651,1557105,42959,0.0433926939292979
2025-04-02,1545331,1555633,1521783,1545331,35263,-0.007561468237530566
2025-04-03,1523255,1658656,1523255,1638051,96170,0.06000009059547762
2025-04-04,1615975,1633636,1560049,1573294,68978,-0.039532957154569615
2025-04-07,1493820,1508538,1476159,1483518,76155,-0.05706244351024026
2025-04-08,1501179,1520312,1473216,1477631,95430,-0.003968270017620235
2025-04-09,1468800,1483518,1452611,1459970,69403,-0.011952239767573869
2025-04-10,1471744,1515896,1468800,1499707,118726,0.027217682555120915
2025-04-11,1480574,1542388,1476159,1537972,51372,0.02551498392686047
2025-04-14,1542388,1542388,1515896,1527670,32476,-0.006698431440884445
2025-04-15,1523255,1535029,1501179,1521783,45284,-0.0038535809435283896
2025-04-16,1526199,1536501,1499707,1505594,29182,-0.01063817903078168
2025-04-17,1512953,1565936,1510009,1558577,56449,0.03519076191855164
2025-04-18,1561520,1562992,1539444,1543859,19425,-0.00944322930467989
2025-04-21,1549746,1588012,1540916,1577710,27197,0.021926225128071852
2025-04-22,1574766,1595371,1565936,1582125,43896,0.0027983596478440287
2025-04-23,1593899,1595371,1539444,1568879,58218,-0.00837228411155877
2025-04-24,1576238,1582125,1514425,1539444,82650,-0.01876180381023651
2025-04-25,1540916,1545331,1514425,1523255,63585,-0.010516134396574395
2025-04-28,1535029,1537972,1515896,1526199,38944,0.0019327033228184742
2025-04-29,1532085,1552690,1523255,1549746,42541,0.015428525375786428
2025-04-30,1540916,1551218,1532085,1548275,37524,-0.0009491878023882849
2025-05-02,1535029,1598314,1533557,1596842,50260,0.03136845844568947
2025-05-07,1574766,1574766,1521783,1532085,81448,-0.04055316681299714
2025-05-08,1540916,1552690,1524727,1524727,46137,-0.004802605599558807
2025-05-09,1533557,1535029,1518840,1530614,25516,0.003861019054558712
2025-05-12,1532085,1533557,1455555,1458498,98357,-0.04711573264062652
2025-05-13,1470272,1490877,1464385,1471744,62693,0.009081945947131853
2025-05-14,1465857,1492348,1455555,1479103,46150,0.005000190250478376
2025-05-15,1465857,1480574,1464385,1468800,25899,-0.006965708270485593
2025-05-16,1471744,1482046,1467329,1474687,21337,0.004008033769063113
2025-05-19,1474687,1533557,1474687,1512953,53046,0.025948557219260815
2025-05-20,1520312,1526199,1502651,1511481,37836,-0.0009729317434182816
2025-05-21,1520312,1646882,1518840,1618918,145474,0.07108061563459955
2025-05-22,1708695,1751375,1579181,1589484,161918,-0.01818127910122691
2025-05-23,1589484,1595371,1495292,1495292,73781,-0.05925948295170003
2025-05-26,1515896,1535029,1490877,1535029,65065,0.026574742592082368
2025-05-27,1520312,1533557,1505594,1510009,42949,-0.01629936633118978
2025-05-28,1512953,1527670,1505594,1512953,26989,0.0019496572536985557
2025-05-29,1521783,1526199,1493820,1510009,61087,-0.0019458634868366742
2025-05-30,1504122,1543859,1499707,1518840,78919,0.0058483095133869956
2025-06-02,1505594,1535029,1505594,1517368,31964,-0.0009691606752522119
2025-06-04,1517368,1530614,1508538,1521783,53963,0.0029096435406572585
2025-06-05,1511481,1530614,1493820,1499707,61743,-0.014506667507785287
2025-06-09,1505594,1524727,1495292,1520312,52922,0.013739350419782026
2025-06-10,1521783,1532085,1505594,1530614,50649,0.006776240666389599
2025-06-11,1527670,1542388,1518840,1535029,42674,0.0028844633591487145
2025-06-12,1527670,1533557,1508538,1514425,65770,-0.013422547717339528
